Year,20_year_avg,peak_blossom
2015,96 days 01:12:00,93 days
2016,95 days 15:36:00,95 days
2017,95 days 18:00:00,99 days
2018,95 days 15:36:00,89 days
2019,95 days 16:48:00,95 days
2020,95 days 07:12:00,92 days
2021,94 days 18:00:00,85 days
2022,94 days 18:00:00,91 days
2023,94 days 01:12:00,84 days
812,,92 days
815,,105 days
831,,96 days
851,,108 days
