Date of travel,Number of tickets,30 day moving average
2022-06-09,1822953,1646093.0
2022-06-10,1846257,1652045.0
2022-06-11,1708636,1649975.0
2022-06-12,1031121,1625630.0
2022-06-13,1631852,1620852.0
2022-06-14,1773818,1645672.0
2022-06-15,1835868,1657546.0
2022-06-16,1908343,1665190.0
2022-06-17,1999457,1675259.0
2022-06-18,1787962,1675667.0
2022-06-19,1043823,1651122.0
2022-06-20,1623499,1647288.0
2022-06-21,396962,1624583.0
2022-06-22,1208616,1614675.0
2022-06-23,389748,1570647.0
2022-06-24,1478620,1561311.0
2022-06-25,494747,1515553.0
2022-06-26,900383,1480125.0
2022-06-27,1635369,1470364.0
2022-06-28,1769402,1491188.0
2022-06-29,1814384,1498400.0
2022-06-30,1894974,1504282.0
2022-07-01,2009478,1507617.0
2022-07-02,1811745,1510518.0
2022-07-03,1091546,1492800.0
2022-07-04,1636822,1495626.0
2022-07-05,1745661,1519944.0
2022-07-06,1768119,1518828.0
2022-07-07,1858214,1521856.0
2022-07-08,1916833,1527840.0
2022-07-09,1896326,1530286.0
2022-07-10,1172236,1507819.0
2022-07-11,1626840,1505092.0
2022-07-12,1726881,1528284.0
2022-07-13,1756432,1532437.0
2022-07-14,1808199,1533583.0
2022-07-15,1863640,1534509.0
2022-07-16,1813788,1531357.0
2022-07-17,1109794,1501701.0
2022-07-18,1270684,1484459.0
2022-07-19,1037178,1484237.0
2022-07-20,1671635,1485842.0
2022-07-21,1835680,1533799.0
2022-07-22,1810203,1553852.0
2022-07-23,1725284,1598370.0
2022-07-24,1044435,1583897.0
2022-07-25,1607767,1620998.0
2022-07-26,1793918,1650782.0
2022-07-27,428577,1610556.0
2022-07-28,1606725,1605133.0
2022-07-29,1927512,1608904.0
2022-07-30,1152531,1584156.0
2022-07-31,1096624,1553728.0
2022-08-01,1607521,1546920.0
2022-08-02,1700452,1567217.0
2022-08-03,1754084,1571126.0
2022-08-04,1816841,1573498.0
2022-08-05,1845684,1576084.0
2022-08-06,1888191,1577083.0
2022-08-07,1145922,1551386.0
2022-08-08,1624531,1542326.0
2022-08-09,1753339,1561696.0
2022-08-10,1778063,1566737.0
2022-08-11,1795503,1569025.0
2022-08-12,1824099,1571280.0
2022-08-13,1113855,1548135.0
2022-08-14,1067603,1521601.0
2022-08-15,1574315,1513618.0
2022-08-16,1691445,1533007.0
2022-08-17,1759460,1549299.0
2022-08-18,436103,1529263.0
2022-08-19,1674843,1529370.0
2022-08-20,502285,1484924.0
2022-08-21,1011449,1458299.0
2022-08-22,1570736,1453147.0
2022-08-23,1719536,1475650.0
2022-08-24,1786159,1481597.0
2022-08-25,1735791,1479659.0
2022-08-26,1842309,1526784.0
2022-08-27,1768820,1532187.0
2022-08-28,1177775,1507196.0
2022-08-29,1256413,1510658.0
2022-08-30,1726237,1531645.0
2022-08-31,1801158,1538100.0
2022-09-01,1796251,1541293.0
2022-09-02,1766596,1541710.0
2022-09-03,1735340,1538994.0
2022-09-04,978932,1510102.0
2022-09-05,1594916,1500326.0
2022-09-06,1738241,1520070.0
2022-09-07,1766097,1524789.0
2022-09-08,1813991,1526811.0
2022-09-09,1772626,1526629.0
2022-09-10,1688261,1523055.0
2022-09-11,997900,1495515.0
2022-09-12,1668350,1513998.0
2022-09-13,1787145,1537983.0
2022-09-14,1885970,1548371.0
2022-09-15,1766299,1550866.0
2022-09-16,1962172,1557623.0
2022-09-17,1883736,1605878.0
2022-09-18,1218574,1590669.0
2022-09-19,845538,1602111.0
2022-09-20,1871369,1630775.0
2022-09-21,1879369,1641062.0
2022-09-22,1947962,1648677.0
2022-09-23,1930147,1653476.0
2022-09-24,1781343,1654995.0
2022-09-25,1026044,1627786.0
2022-09-26,1683730,1624949.0
2022-09-27,1831083,1646726.0
2022-09-28,1901688,1668236.0
2022-09-29,1985861,1676890.0
2022-09-30,2023739,1684309.0
2022-10-01,399201,1637741.0
2022-10-02,1114807,1616014.0
2022-10-03,1739769,1616162.0
2022-10-04,1913358,1647310.0
2022-10-05,768892,1619775.0
2022-10-06,1894841,1624995.0
2022-10-07,1939489,1630775.0
2022-10-08,524134,1587780.0
2022-10-09,1012435,1562440.0
2022-10-10,1675719,1562022.0
2022-10-11,1902973,1592191.0
2022-10-12,1929769,1600905.0
2022-10-13,1999214,1607974.0
2022-10-14,2015464,1612291.0
2022-10-15,1800812,1613441.0
2022-10-16,1052857,1583131.0
2022-10-17,1687232,1576580.0
2022-10-18,1866760,1598187.0
2022-10-19,1907342,1633580.0
2022-10-20,1959397,1636514.0
2022-10-21,2003113,1640639.0
2022-10-22,1786685,1635263.0
2022-10-23,993848,1604053.0
2022-10-24,1726182,1602215.0
2022-10-25,1879147,1630651.0
2022-10-26,1926416,1638741.0
2022-10-27,1983332,1643816.0
2022-10-28,2057465,1649008.0
2022-10-29,1727940,1640411.0
2022-10-30,1064443,1608435.0
2022-10-31,1731202,1652835.0
2022-11-01,1872975,1678107.0
2022-11-02,1915583,1683967.0
2022-11-03,1832717,1681279.0
2022-11-04,1997667,1722238.0
2022-11-05,586475,1678626.0
2022-11-06,1013006,1647743.0
2022-11-07,903037,1660374.0
2022-11-08,1769843,1685621.0
2022-11-09,1678824,1685724.0
2022-11-10,2112852,1692720.0
2022-11-11,2177444,1700976.0
2022-11-12,2028901,1701965.0
2022-11-13,1117985,1672049.0
2022-11-14,1756082,1670558.0
2022-11-15,1867001,1697697.0
2022-11-16,1905119,1704959.0
2022-11-17,1997806,1709328.0
2022-11-18,2081710,1715140.0
2022-11-19,1896511,1713044.0
2022-11-20,997399,1679520.0
2022-11-21,1628422,1674244.0
2022-11-22,1875024,1703617.0
2022-11-23,1881160,1708783.0
2022-11-24,1976101,1712015.0
2022-11-25,2210007,1721468.0
2022-11-26,1104708,1692180.0
2022-11-27,1078212,1659539.0
2022-11-28,1743672,1660063.0
2022-11-29,1877688,1687171.0
2022-11-30,1904706,1692955.0
2022-12-01,2071859,1699584.0
2022-12-02,2168324,1708009.0
2022-12-03,2043823,1715046.0
2022-12-04,1121665,1685846.0
2022-12-05,1740322,1724307.0
2022-12-06,1921598,1754594.0
2022-12-07,1969200,1790132.0
2022-12-08,2083291,1800581.0
2022-12-09,2155908,1816483.0
2022-12-10,1959784,1811381.0
2022-12-11,1085755,1774991.0
2022-12-12,1415756,1754553.0
2022-12-13,468710,1732911.0
2022-12-14,481625,1690429.0
2022-12-15,1453548,1676647.0
2022-12-16,589336,1632788.0
2022-12-17,570853,1585223.0
2022-12-18,879164,1545138.0
2022-12-19,1603545,1535372.0
2022-12-20,1688925,1558423.0
2022-12-21,1667099,1559712.0
2022-12-22,1626968,1551444.0
2022-12-23,1508621,1539026.0
2022-12-24,436820,1487716.0
2022-12-25,232,1414057.0
2022-12-26,6448,1377449.0
2022-12-27,687735,1364433.0
2022-12-28,1026701,1340534.0
2022-12-29,1142092,1316014.0
2022-12-30,1151016,1290891.0
2022-12-31,1033832,1256290.0
2023-01-01,510347,1201024.0
2023-01-02,951982,1164629.0
2023-01-03,416677,1141130.0
2023-01-04,437877,1097715.0
2023-01-05,440308,1048339.0
2023-01-06,443466,997481.0
2023-01-07,373265,940480.0
2023-01-08,699211,891923.0
2023-01-09,1629360,880909.0
2023-01-10,1743754,902842.0
2023-01-11,1693953,912116.0
2023-01-12,1686039,952693.0
2023-01-13,1636756,991198.0
2023-01-14,1460006,991413.0
2023-01-15,901840,1001830.0
2023-01-16,1522571,1033554.0
2023-01-17,1713693,1061371.0
2023-01-18,1726008,1065453.0
2023-01-19,1823713,1069946.0
2023-01-20,1762993,1073143.0
2023-01-21,1581626,1071631.0
2023-01-22,932241,1052419.0
2023-01-23,1608966,1091490.0
2023-01-24,1791446,1151197.0
2023-01-25,1796026,1210850.0
2023-01-26,1911098,1251629.0
2023-01-27,1905607,1280926.0
2023-01-28,1679011,1298823.0
2023-01-29,935110,1291626.0
2023-01-30,1669654,1312820.0
2023-01-31,1902978,1359241.0
2023-02-01,706876,1351071.0
2023-02-02,1759386,1395828.0
2023-02-03,780629,1407253.0
2023-02-04,1752497,1450993.0
2023-02-05,872064,1465279.0
2023-02-06,1673851,1508632.0
2023-02-07,1846826,1546886.0
2023-02-08,1844414,1554054.0
2023-02-09,1921479,1559979.0
2023-02-10,1923010,1567614.0
2023-02-11,1689290,1567722.0
2023-02-12,1022088,1547233.0
2023-02-13,1694203,1555040.0
2023-02-14,1857943,1586910.0
2023-02-15,1909021,1599792.0
2023-02-16,1920170,1606674.0
2023-02-17,1913874,1612936.0
2023-02-18,1651253,1607188.0
2023-02-19,959198,1580395.0
2023-02-20,1747881,1585936.0
2023-02-21,1901510,1618245.0
2023-02-22,1900559,1627965.0
2023-02-23,2032604,1636004.0
2023-02-24,2016425,1643350.0
2023-02-25,1807001,1639880.0
2023-02-26,1068306,1611970.0
2023-02-27,1711552,1613055.0
2023-02-28,1885344,1644730.0
2023-03-01,1887350,1651986.0
2023-03-02,1920522,1652571.0
2023-03-03,1943715,1693799.0
2023-03-04,1837922,1696417.0
2023-03-05,997332,1703640.0
2023-03-06,1681403,1701270.0
2023-03-07,1850859,1733897.0
2023-03-08,1789599,1737755.0
2023-03-09,1876710,1738751.0
2023-03-10,1861097,1739307.0
2023-03-11,1759436,1733906.0
2023-03-12,1026621,1704026.0
2023-03-13,1667829,1703311.0
2023-03-14,1935341,1733753.0
2023-03-15,2168436,1749560.0
2023-03-16,874994,1716795.0
2023-03-17,1889336,1716139.0
2023-03-18,835794,1679993.0
2023-03-19,1022360,1650276.0
2023-03-20,1737305,1653145.0
2023-03-21,1916967,1685070.0
2023-03-22,1920795,1690834.0
2023-03-23,1950404,1692464.0
2023-03-24,1962120,1694516.0
2023-03-25,1890543,1689781.0
2023-03-26,1046144,1657438.0
2023-03-27,1718540,1654489.0
2023-03-28,1884805,1681706.0
2023-03-29,1889044,1687622.0
2023-03-30,1762011,1683511.0
2023-03-31,1923000,1684699.0
2023-04-01,1657843,1675944.0
2023-04-02,1109646,1648141.0
2023-04-03,1728756,1644502.0
2023-04-04,1895971,1674457.0
2023-04-05,1901880,1681806.0
2023-04-06,2003722,1686902.0
2023-04-07,1647712,1682172.0
2023-04-08,1622477,1673698.0
2023-04-09,901665,1641717.0
2023-04-10,1069247,1618710.0
2023-04-11,1826506,1645373.0
2023-04-12,1788144,1649384.0
2023-04-13,1876136,1647410.0
2023-04-14,1831557,1636181.0
2023-04-15,1824878,1667844.0
2023-04-16,1044667,1639688.0
2023-04-17,1716030,1669029.0
2023-04-18,1912122,1698688.0
2023-04-19,1945323,1705622.0
2023-04-20,2068138,1710661.0
2023-04-21,1948768,1711593.0
2023-04-22,1937436,1711161.0
2023-04-23,1185900,1685287.0
2023-04-24,1735221,1680110.0
2023-04-25,1985710,1711429.0
2023-04-26,2014624,1721298.0
2023-04-27,2048802,1726765.0
2023-04-28,2040592,1731816.0
2023-04-29,2143290,1744525.0
2023-04-30,1266274,1722635.0
2023-05-01,1283034,1710141.0
2023-05-02,1921062,1737188.0
2023-05-03,1971986,1745296.0
2023-05-04,2001514,1748814.0
2023-05-05,1964779,1750911.0
2023-05-06,1545228,1735627.0
2023-05-07,1227420,1721618.0
2023-05-08,1164131,1706339.0
2023-05-09,1918087,1740220.0
2023-05-10,1926399,1768792.0
2023-05-11,2107609,1778162.0
2023-05-12,895117,1748394.0
2023-05-13,1103586,1722643.0
2023-05-14,1105539,1698442.0
2023-05-15,1706130,1694484.0
2023-05-16,1885801,1722522.0
2023-05-17,1950322,1730331.0
2023-05-18,2025067,1734096.0
2023-05-19,1956094,1734455.0
2023-05-20,1886266,1728393.0
2023-05-21,1217277,1704010.0
2023-05-22,1756282,1697971.0
2023-05-23,1966127,1723979.0
2023-05-24,2014926,1733303.0
2023-05-25,2118665,1737734.0
2023-05-26,2153492,1742363.0
2023-05-27,2199298,1747380.0
2023-05-28,1498143,1729298.0
2023-05-29,1471930,1706920.0
2023-05-30,2080404,1734057.0
2023-05-31,796463,1717838.0
2023-06-01,2061160,1722508.0
2023-06-02,1108684,1693731.0
2023-06-03,822606,1654434.0
2023-06-04,1217624,1629529.0
2023-06-05,1803129,1638126.0
2023-06-06,1973247,1662987.0
2023-06-07,2030579,1691868.0
2023-06-08,2072459,1697014.0
2023-06-09,2018291,1700077.0
2023-06-10,1918517,1693774.0
2023-06-11,1185950,1703469.0
2023-06-12,1781330,1726060.0
2023-06-13,2038221,1757149.0
2023-06-14,2066662,1769167.0
2023-06-15,2118957,1776939.0
2023-06-16,2185540,1784780.0
2023-06-17,2016922,1784508.0
2023-06-18,1217246,1759880.0
2023-06-19,1858609,1758958.0
2023-06-20,2022505,1785799.0
2023-06-21,2048838,1795551.0
2023-06-22,2108246,1800288.0
2023-06-23,2066665,1802013.0
2023-06-24,1967659,1796979.0
2023-06-25,1215757,1765721.0
2023-06-26,1872457,1754827.0
2023-06-27,2028667,1772511.0
2023-06-28,2047001,1791680.0
2023-06-29,2109087,1792636.0
2023-06-30,2185229,1838928.0
2023-07-01,2101804,1840283.0
2023-07-02,1318078,1847263.0
2023-07-03,1797811,1879770.0
2023-07-04,1978892,1905145.0
2023-07-05,2023687,1912497.0
2023-07-06,2145584,1918242.0
2023-07-07,2230184,1924895.0
2023-07-08,1991612,1922200.0
2023-07-09,1338347,1899535.0
2023-07-10,1867973,1897851.0
2023-07-11,2009490,1925302.0
2023-07-12,2037613,1933845.0
2023-07-13,2120343,1936582.0
2023-07-14,1987290,1933936.0
2023-07-15,1835892,1924501.0
2023-07-16,1193170,1891422.0
2023-07-17,1753838,1882652.0
2023-07-18,1964671,1907567.0
2023-07-19,2031703,1913336.0
2023-07-20,1054471,1881069.0
2023-07-21,1941419,1877488.0
2023-07-22,1027715,1841470.0
2023-07-23,1173256,1811690.0
2023-07-24,1749379,1804414.0
2023-07-25,1909317,1827533.0
2023-07-26,1900503,1828468.0
2023-07-27,1962344,1826257.0
2023-07-28,2029597,1825677.0
2023-07-29,1130759,1793066.0
2023-07-30,1162533,1758976.0
2023-07-31,1673386,1744695.0
2023-08-01,1875939,1763291.0
2023-08-02,1801344,1763408.0
2023-08-03,1932818,1761873.0
2023-08-04,1906582,1757969.0
2023-08-05,1653033,1741551.0
2023-08-06,1305354,1710723.0
2023-08-07,1735961,1702201.0
2023-08-08,1845775,1719116.0
2023-08-09,1937072,1721419.0
2023-08-10,2005294,1721279.0
2023-08-11,1916142,1717230.0
2023-08-12,1898018,1709819.0
2023-08-13,1224401,1684390.0
2023-08-14,1710321,1680204.0
2023-08-15,1938356,1705043.0
2023-08-16,1891111,1709619.0
2023-08-17,2024766,1711622.0
2023-08-18,1927627,1708153.0
2023-08-19,1968479,1738620.0
2023-08-20,1242033,1715307.0
2023-08-21,1762631,1739804.0
2023-08-22,1905019,1764196.0
2023-08-23,1973509,1771667.0
2023-08-24,1977267,1773932.0
2023-08-25,2113338,1781027.0
2023-08-26,1176091,1754819.0
2023-08-27,1317485,1731081.0
2023-08-28,1447901,1741653.0
2023-08-29,1914871,1766731.0
2023-08-30,1941274,1775660.0
2023-08-31,2049735,1781454.0
2023-09-01,804616,1748229.0
2023-09-02,1070407,1719482.0
2023-09-03,1164842,1694758.0
2023-09-04,1848423,1701271.0
2023-09-05,1994130,1724230.0
2023-09-06,1987124,1732602.0
2023-09-07,2068668,1740032.0
2023-09-08,2034325,1743273.0
2023-09-09,1911951,1740162.0
2023-09-10,1152196,1714697.0
2023-09-11,1864382,1713576.0
2023-09-12,2033841,1740557.0
2023-09-13,2081989,1752946.0
2023-09-14,2156232,1760209.0
2023-09-15,2110024,1767506.0
2023-09-16,2126087,1770883.0
2023-09-17,1151536,1745014.0
2023-09-18,1898256,1742673.0
2023-09-19,2049297,1769582.0
2023-09-20,2008929,1777792.0
2023-09-21,2157494,1786207.0
2023-09-22,2116011,1790957.0
2023-09-23,1942241,1789790.0
2023-09-24,1168749,1758304.0
2023-09-25,1923982,1783233.0
2023-09-26,2113108,1809754.0
2023-09-27,2130126,1832495.0
2023-09-28,2216606,1842553.0
2023-09-29,2198734,1851135.0
2023-09-30,869962,1811809.0
2023-10-01,1229849,1825983.0
2023-10-02,1906040,1853838.0
2023-10-03,2154257,1886818.0
2023-10-04,729839,1849532.0
2023-10-05,2150897,1854758.0
2023-10-06,2097915,1858451.0
2023-10-07,1992196,1855902.0
2023-10-08,1145743,1826282.0
2023-10-09,1955659,1827739.0
2023-10-10,2131374,1860379.0
2023-10-11,2111444,1868614.0
2023-10-12,2217778,1874745.0
2023-10-13,2171278,1877721.0
2023-10-14,2112484,1876263.0
2023-10-15,1273998,1848396.0
2023-10-16,1938325,1842137.0
2023-10-17,2110964,1874118.0
2023-10-18,2058942,1879474.0
2023-10-19,2095832,1881025.0
2023-10-20,2044155,1882199.0
2023-10-21,1818305,1870893.0
2023-10-22,1198768,1840318.0
2023-10-23,1886218,1838451.0
2023-10-24,2012385,1866572.0
2023-10-25,2057740,1871031.0
2023-10-26,2167817,1872854.0
2023-10-27,2226274,1876059.0
2023-10-28,2044110,1870309.0
2023-10-29,1207241,1837260.0
2023-10-30,1939444,1872909.0
2023-10-31,2112083,1902317.0
2023-11-01,2161744,1910840.0
2023-11-02,1957181,1904271.0
2023-11-03,2154884,1951773.0
2023-11-04,1811613,1940463.0
2023-11-05,1166360,1909411.0
2023-11-06,1953189,1908111.0
2023-11-07,2147765,1941512.0
2023-11-08,2099317,1946300.0
2023-11-09,2216165,1949127.0
2023-11-10,2186678,1951635.0
2023-11-11,2278643,1953663.0
2023-11-12,1200692,1921311.0
2023-11-13,1851990,1912627.0
2023-11-14,2043787,1938287.0
2023-11-15,2099768,1943668.0
2023-11-16,2182328,1946047.0
2023-11-17,2263360,1952861.0
2023-11-18,2013943,1950132.0
2023-11-19,935478,1913176.0
2023-11-20,1888943,1915530.0
2023-11-21,2097132,1945476.0
2023-11-22,2118196,1953208.0
2023-11-23,2245421,1960976.0
2023-11-24,2366100,1971255.0
2023-11-25,2145587,1970514.0
2023-11-26,1177396,1935551.0
2023-11-27,1905370,1930927.0
2023-11-28,2106721,1960909.0
2023-11-29,2145565,1967780.0
2023-11-30,2235372,1971890.0
2023-12-01,2315565,1977017.0
2023-12-02,2016983,1979010.0
2023-12-03,994022,1940315.0
2023-12-04,1899710,1943252.0
2023-12-05,1994240,1970848.0
2023-12-06,1633596,1960194.0
2023-12-07,2109599,1958922.0
2023-12-08,2080583,1958298.0
2023-12-09,2379663,1963748.0
2023-12-10,1305703,1934382.0
2023-12-11,1991163,1924799.0
2023-12-12,2161822,1956837.0
2023-12-13,2220552,1969122.0
2023-12-14,2351260,1979371.0
2023-12-15,2405771,1989571.0
2023-12-16,2330644,1994515.0
2023-12-17,1384163,1965209.0
2023-12-18,1904616,1961565.0
2023-12-19,1970031,1996050.0
2023-12-20,2027577,2000671.0
2023-12-21,1970433,1996447.0
2023-12-22,1999430,1992489.0
2023-12-23,1826485,1978524.0
2023-12-24,740362,1924333.0
2023-12-25,327,1852824.0
2023-12-26,116135,1817449.0
2023-12-27,1290845,1796965.0
2023-12-28,1422978,1774173.0
2023-12-29,1604268,1756130.0
2023-12-30,1533472,1732733.0
2023-12-31,1151474,1693930.0
2024-01-01,812658,1653786.0
2024-01-02,1480766,1670011.0
2024-01-03,1642396,1661434.0
2024-01-04,1727301,1652536.0
2024-01-05,1653373,1653195.0
2024-01-06,1429102,1630512.0
2024-01-07,902474,1591241.0
2024-01-08,1611028,1565620.0
2024-01-09,1860586,1584116.0
2024-01-10,1860484,1579760.0
2024-01-11,1924227,1571841.0
2024-01-12,1797548,1557740.0
2024-01-13,1539759,1530690.0
2024-01-14,881093,1479868.0
2024-01-15,1769988,1461179.0
2024-01-16,1953803,1480167.0
2024-01-17,1936757,1481239.0
2024-01-18,2016669,1482793.0
2024-01-19,1892752,1478299.0
2024-01-20,1595210,1465792.0
2024-01-21,875799,1428337.0
2024-01-22,1561807,1419515.0
2024-01-23,1881517,1457553.0
2024-01-24,1928621,1521830.0
2024-01-25,2097567,1587877.0
2024-01-26,2106497,1615066.0
2024-01-27,1818312,1628244.0
2024-01-28,1037208,1609342.0
2024-01-29,1764657,1617048.0
2024-01-30,1288758,1621624.0
2024-01-31,1827382,1655448.0
2024-02-01,2087165,1675661.0
2024-02-02,1882575,1683667.0
2024-02-03,1565538,1678275.0
2024-02-04,911411,1653543.0
2024-02-05,1693869,1662369.0
2024-02-06,2005730,1699144.0
2024-02-07,2085435,1714957.0
2024-02-08,2092769,1722697.0
2024-02-09,2092713,1730438.0
2024-02-10,1923078,1730400.0
2024-02-11,1136071,1708350.0
2024-02-12,1977107,1722929.0
2024-02-13,2143678,1765015.0
2024-02-14,2160248,1778023.0
2024-02-15,2253325,1788008.0
2024-02-16,2168032,1795717.0
2024-02-17,1837168,1789733.0
2024-02-18,1018640,1760596.0
2024-02-19,1848273,1769032.0
2024-02-20,2050311,1808182.0
2024-02-21,2081464,1825504.0
2024-02-22,2156437,1834668.0
2024-02-23,2156385,1842260.0
2024-02-24,1890928,1835372.0
2024-02-25,1109182,1802128.0
2024-02-26,1870323,1803862.0
2024-02-27,2073164,1838394.0
2024-02-28,2123483,1850355.0
2024-02-29,2172005,1879796.0
2024-03-01,1954586,1884036.0
2024-03-02,1870758,1876823.0
2024-03-03,1112832,1851165.0
2024-03-04,1874838,1861475.0
2024-03-05,2088284,1900704.0
2024-03-06,2126548,1915127.0
2024-03-07,2216432,1922150.0
2024-03-08,2164909,1924799.0
2024-03-09,2038438,1922988.0
2024-03-10,1144267,1891373.0
2024-03-11,1897726,1890528.0
2024-03-12,2063109,1921429.0
2024-03-13,2081140,1924897.0
2024-03-14,2208832,1927069.0
2024-03-15,2113735,1925518.0
2024-03-16,2006317,1917285.0
2024-03-17,1220763,1885709.0
2024-03-18,1884637,1887292.0
2024-03-19,2081984,1922736.0
2024-03-20,2074328,1930272.0
2024-03-21,2181500,1934644.0
2024-03-22,2118833,1935890.0
2024-03-23,1922351,1928087.0
2024-03-24,1118788,1893501.0
2024-03-25,1848752,1892095.0
2024-03-26,2084513,1924606.0
2024-03-27,2078199,1931535.0
2024-03-28,2195947,1935628.0
2024-03-29,1643269,1919621.0
2024-03-30,1765188,1906060.0
2024-03-31,939055,1872209.0
2024-04-01,1167345,1848762.0
2024-04-02,1961679,1877057.0
2024-04-03,1967768,1880155.0
2024-04-04,1991738,1876936.0
2024-04-05,1718698,1863341.0
2024-04-06,1552375,1841206.0
2024-04-07,1182042,1808444.0
2024-04-08,1167132,1779400.0
2024-04-09,1949494,1806241.0
2024-04-10,2064001,1811784.0
2024-04-11,2186118,1815884.0
2024-04-12,2059435,1815161.0
2024-04-13,2001435,1808247.0
2024-04-14,1182319,1777200.0
2024-04-15,1812803,1770750.0
2024-04-16,2072494,1799141.0
2024-04-17,2117548,1806904.0
2024-04-18,2224758,1811664.0
2024-04-19,2073302,1811629.0
2024-04-20,2059672,1807568.0
2024-04-21,1324558,1781093.0
2024-04-22,1845781,1778540.0
2024-04-23,2082868,1810676.0
2024-04-24,2131765,1820110.0
2024-04-25,2203783,1824086.0
2024-04-26,2136345,1826024.0
2024-04-27,2091254,1822534.0
2024-04-28,1147488,1806008.0
2024-04-29,1868019,1809436.0
2024-04-30,2116511,1848684.0
2024-05-01,2109509,1880090.0
2024-05-02,2166390,1886913.0
2024-05-03,2073335,1890432.0
2024-05-04,2143527,1895492.0
2024-05-05,1390383,1884548.0
2024-05-06,1238860,1874098.0
2024-05-07,1285926,1877560.0
2024-05-08,1703800,1895449.0
2024-05-09,1973392,1896246.0
2024-05-10,2065553,1896298.0
2024-05-11,2012345,1890505.0
2024-05-12,1232010,1862924.0
2024-05-13,1888788,1859170.0
2024-05-14,2111972,1890158.0
2024-05-15,2149431,1901379.0
2024-05-16,2199147,1905601.0
2024-05-17,2117969,1905615.0
2024-05-18,1956152,1896661.0
2024-05-19,1315094,1871388.0
2024-05-20,1904417,1866212.0
2024-05-21,2102237,1892135.0
2024-05-22,2093401,1900389.0
2024-05-23,2243266,1905736.0
2024-05-24,2229013,1908977.0
2024-05-25,2206552,1909070.0
2024-05-26,1404050,1884660.0
2024-05-27,1410991,1861984.0
2024-05-28,2009166,1890707.0
2024-05-29,2131736,1899497.0
2024-05-30,2141046,1900315.0
2024-05-31,2086421,1899546.0
2024-06-01,1930852,1891694.0
2024-06-02,1230414,1863597.0
2024-06-03,1903336,1855591.0
2024-06-04,2082555,1878663.0
2024-06-05,2129036,1908336.0
2024-06-06,2203620,1938925.0
2024-06-07,2197428,1955380.0
2024-06-08,2027193,1957173.0
2024-06-09,1240925,1929685.0
2024-06-10,1907544,1926192.0
2024-06-11,2145581,1956644.0
2024-06-12,2165299,1965861.0
2024-06-13,2212797,1969222.0
2024-06-14,2182382,1970321.0
2024-06-15,1947129,1961920.0
2024-06-16,1308809,1934948.0
2024-06-17,1939833,1934404.0
2024-06-18,2166307,1962778.0
2024-06-19,2189559,1972283.0
2024-06-20,2325468,1979724.0
2024-06-21,2216116,1983814.0
2024-06-22,2136697,1980262.0
2024-06-23,1227998,1946895.0
2024-06-24,1983235,1939451.0
2024-06-25,2249452,1967631.0
2024-06-26,2199398,1993911.0
2024-06-27,2245204,2001779.0
2024-06-28,2206733,2004279.0
2024-06-29,2163423,2005025.0
2024-06-30,1306504,1979028.0
