General government gross debt (Percent of GDP),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
Sierra Leone,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,180.7,158.8,160.3,151.6,130.9,103.2,42.2,72,48.1,46.8,42,36.4,30.5,35.1,47.6,60.7,69.2,69.1,72.4,76.3,79.3,95.8,88.9,82.6,79,73.5,68.7,68.4
Singapore,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,73.5,76.4,79,71.2,70.7,69.8,71.3,70.8,84.6,85.3,82.3,94.5,96.3,99.1,95.7,92.7,86.5,87.8,97.9,101.7,98.7,103.1,106.7,98.2,97.7,102.2,106.5,107.8,109.4,127.8,149,147.7,167.5,167.9,168.3,168.8,169.3,169.8,170.2
Slovak Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,21.6,30.6,33,33.9,47.1,50.5,51.1,45.3,43.2,41.7,34.7,31.4,30.3,28.6,36.4,40.6,43.2,51.7,54.7,53.5,51.7,52.3,51.5,49.4,48,58.9,61,57.8,56.7,56.5,57.5,60.3,61.7,63
Slovenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,18.2,21.6,22.1,22.7,23.7,25.9,26.1,27.4,26.8,26.9,26.4,26.1,22.8,21.8,34.5,38.3,46.5,53.6,70,80.3,82.6,78.5,74.2,70.3,65.4,79.6,74.4,72.6,68.5,66.5,64.7,63.4,62.4,61.3
Solomon Islands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,25.9,39.5,42,44.3,52.8,65.7,61.3,58.2,44.7,42.3,33,28.9,18.9,22.9,18.3,15.2,13.5,10.5,9,7.1,8.5,7.9,7.9,13.5,15.4,16.9,22.2,25.7,27.7,29.3,30.7,32.1
South Africa,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,37.9,38,31.8,31.5,30.7,29.6,28,24.3,24,27,31.2,34.7,37.4,40.4,43.3,45.2,47.1,48.6,51.5,56.1,68.9,68.8,71.1,73.7,75.8,78.8,81.6,84.2,86.7
"South Sudan, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0,8.9,17.6,38.1,57.2,125.6,117.6,69.2,42.8,49.9,52.5,37.8,60.4,50.9,45.9,41.4,37.1,31.7
Spain,16.6,20,25.1,30.4,37.1,42.1,43.3,43.1,39.6,41,42.5,43.1,45.4,56.2,58.7,63.4,67.5,66.2,64.2,62.5,57.8,54,51.2,47.7,45.4,42.4,39.1,35.8,39.7,53.3,60.5,69.9,90,100.5,105.1,103.3,102.7,101.8,100.4,98.2,120.3,116.8,111.6,107.3,104.7,103.9,103.8,103.8,103.8
Sri Lanka,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,78.9,80.5,77.9,79.2,77.9,77.8,76.2,70.1,74.2,77.7,79.2,84.4,96.3,86.5,86.5,76.6,74.3,71.8,68.8,72.8,68.7,69.4,67.5,69.5,69.6,76.3,75,72.3,83.6,82.6,96.7,102.7,115.5,no data,no data,no data,no data,no data,no data
Sudan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,495.2,285.9,386.5,239,220.9,167.7,179.7,160.5,143.2,125.6,121.7,117.4,97.8,75.5,63.7,53.7,55.8,71,74.6,78.1,117.7,105.8,84.4,93.2,109.9,149.5,186.7,200.2,275.2,187.9,186.2,256,238.8,235.9,240,253.8,244.6
Suriname,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,72.9,75.7,64.4,51.1,30.5,16.3,11.8,16.8,21.6,32.3,35.7,37.2,35.6,31.3,29.5,27.1,22.5,16.4,14.8,14.6,17.3,18.7,20.1,27.9,25.2,41.2,75.4,73,68.6,84.7,147.8,119.6,120.1,107,93.9,83.7,77.6,72,68.7
Sweden,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,65.7,68.2,68.3,68.7,67.4,65.1,60.1,50.2,51.8,49.8,49.3,48.5,48.8,43.7,39,37.5,40.7,38.1,37.1,37.5,40.2,44.9,43.7,42.3,40.7,39.2,35.5,39.8,36.4,32.7,32.3,32.6,32.2,31.5,30.7,29.7
Switzerland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,33.3,35.1,39.5,44.4,47.1,50,51.3,53.7,56,52.7,52.2,51.1,57.7,56.9,57.8,54.9,48.5,44.8,44.8,43.1,41.5,41.9,42.6,42,42.1,42.2,40.9,41.8,39.8,39.6,43.2,41.1,40.9,39.5,37.7,36.4,35,33.9,32.6
Syria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,189.8,182.4,173.6,171.9,163,152.6,141.5,147.6,151.2,147.7,152.1,144.5,132.4,133.4,113,50.7,45,42.7,37.3,31.2,30,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
São Tomé and Príncipe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,410.1,362.4,325.6,347.4,295.7,269.6,103.8,58.5,67.8,82.3,79.8,88.6,80.1,82.1,104.3,112.4,110.1,95.9,98.2,86.7,76.7,77.7,58.5,54.4,51.2,48.1,44.3,41.1
Taiwan Province of China,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,25,23.7,23.7,26.2,30.1,29.8,32.1,33.4,34.1,33.3,32.2,33.4,36.7,36.9,38.3,39.2,38.9,37.5,35.9,35.4,34.5,33.9,32.7,32.1,30.1,29.7,26.6,23.3,20.3,17.5,14.9,12.5
Tajikistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,96.6,107.8,111.4,99.4,98.3,69.8,49.4,45.8,36.8,34.3,30.2,36.9,36.8,35.5,32.5,29.3,27.9,35,42.2,46.3,46.6,43.5,51.8,42.1,32.6,33.5,32.9,32.1,31.4,30.7,30.2
Tanzania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,50.8,47.4,44.4,44.5,46.1,34.5,23.8,21.7,24,27.6,28.4,30,32.7,36.1,39.2,39.8,40.7,40.5,39.1,39.8,42.1,42.3,42.6,41.8,40.3,38.8,37.4,36
Thailand,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15.2,40.5,49.9,56.6,57.8,57.5,54.9,47.5,46.3,45.5,39.2,36,34.9,42.4,39.8,39.1,41.9,42.2,43.3,42.6,41.7,41.8,41.9,41.1,49.4,58.4,60.5,61.4,62.9,62.6,62,61.5,60.7
Timor-Leste,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.5,2.9,4.7,6.7,9.3,9.5,10.1,6.5,5.6,16.4,19.7,21.5,23.2,24.8,26.3
Togo,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,63.1,67.7,70.5,67.3,57.6,33.5,33.8,34.3,41.1,44.9,52.2,59.8,56.7,57.7,54.1,61.8,64.6,66.3,67.2,67.6,66,64.3,62.8,61.4
Tonga,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,38,43.1,53.4,60.7,56.2,52.2,43.3,39.6,37.8,34,39.7,44.7,51.9,54.4,49,47.5,51.2,49.4,44.7,45.9,41.3,43.6,47.5,45.3,41.1,43.9,50.3,58,66.6,76.6
Trinidad and Tobago,no data,no data,no data,no data,no data,no data,no data,no data,65.3,51.9,49.5,50,49.5,59.6,54.8,51.1,48,46.5,43.4,43.4,40.6,37.2,37.2,31.8,25.1,20.7,17.5,16.9,14.2,18.7,20.9,29.4,24.3,22.2,23.9,26.7,35.3,40.8,41.5,46.4,62.3,61.6,51,52.5,52.9,52.3,52.5,53,53.7
Tunisia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,63.3,62.1,63.8,63.9,65.6,66.8,66.6,58.2,61.9,62.9,52.2,51.6,52.6,51.6,50,45.7,42.7,45.1,44.5,43.4,47,51.8,46.7,50.7,52.4,58.9,67.1,72.9,67.3,77.6,79.9,79.8,77.8,77.1,74.3,71.9,69.5,67.2
Turkmenistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,85.9,109.2,89.2,73.7,45.6,32.3,22.6,15.3,9.1,5.7,4.1,4.8,4.1,6.3,10.1,13.9,15.9,12.5,14.8,19,19.8,18.9,15.3,13.1,10.1,5.8,5.1,4.4,3.9,3.6,3.4,3.3
Tuvalu,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,37.4,37.5,32.4,19.8,20.6,21.1,19.1,19.3,17.8,16.4,14.4,11.5,12,11.9,11.5,12.3,11.5,10.1,8,6.8,5.8,9.3,13.1,17.3
"Türkiye, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,51.3,75.5,71.5,65.2,57.2,50.2,44.2,37.8,37.7,43.4,39.7,36.1,32.4,31.1,28.4,27.3,27.9,27.9,30,32.6,39.6,41.8,31.7,34.4,31.9,32.2,31.5,31.6,32.2
Uganda,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,44.2,45.1,47.7,48.5,51.4,54.7,55.1,49,42.6,27.8,17,15.7,14.8,18.4,18,19.5,22.1,24.8,28.3,30.9,33.6,34.9,37.6,46.4,50.6,48.4,48.3,47.7,46.3,44.5,41.4,37.5
Ukraine,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,28.9,46.5,59,43.8,36.7,33.6,29.4,24.8,17.7,14.8,12.3,20.4,35.4,40.6,36.9,37.5,40.5,70.3,79.3,79.5,71.6,60.3,50.4,60.5,48.9,78.5,88.1,98.6,100.7,99.5,98.4,94.6
United Arab Emirates,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.7,3.1,2.7,3.4,3.3,4.1,4.5,5.1,8.9,8.9,21.1,18.8,20.9,20.7,15.6,13.8,16.1,19.3,21.9,21.3,26.8,41.1,35.9,31.1,29.4,28.7,28.3,27.8,27.4,26.9
United Kingdom,42.5,44.7,43,41.8,42.2,41.3,41.3,39.3,37,32.5,28.5,28.4,33.2,37.9,40.7,43.6,43.7,43.2,40.8,39.3,36.6,33.8,34.1,35.3,38.2,39.4,40.5,41.6,49.2,63.1,74,79.8,83.1,84.1,86.1,86.7,86.6,85.6,85.2,84.5,104.6,105.2,101.9,104.1,105.9,107.3,108.5,108.2,108.2
United States,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,53.1,55.5,58.6,66.1,65.4,64.2,64.6,73.4,86.6,95.1,99.5,103,104.5,104.5,105.1,107.2,106.2,107.4,108.7,133.5,126.4,121.3,123.3,126.9,130.3,132.9,135.1,137.5
Uruguay,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,24.1,30.5,39.4,90.1,91.9,73.7,66.2,61.1,52.8,46.2,46.2,40.9,41.3,49.8,50,51.1,57.8,56.4,55.8,58,59.8,68.1,63.4,59.3,61.6,61.4,61.7,61.6,61.6,61.3
Uzbekistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15.3,18,18.4,29.5,44.8,41.6,31.4,26.9,21,13.5,9.6,8.3,7.3,6.6,6.3,6.8,6.2,6.1,10,8.2,19.3,19.6,28.5,37.4,36.6,34.9,35.1,34.8,33.9,33,32.4,32.1
Vanuatu,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15.9,21,20.3,21.6,24.1,23.1,22.9,28,30.6,36.1,37,38.8,38.3,30.4,26.3,22.2,19.5,21.2,21.1,20.2,21.3,19.3,18.6,20.3,37.7,43.7,52.6,45.3,45.1,48,47.5,42.7,46.8,50.6,54.4,58.8,62.8,67
Venezuela,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,30.7,29.6,27.7,30.7,48.2,56,41.8,34.9,25.7,26.4,20.3,27.6,37.7,52.5,58.4,85.4,84.9,129.8,138.4,133.6,174.6,205.1,327.7,248.4,159.5,no data,no data,no data,no data,no data,no data
Vietnam,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,24.8,25.4,27.7,29.8,29.4,28.7,30.2,32.2,31,36.3,36.8,35.8,38.3,41.4,43.6,46.1,47.5,46.3,43.5,40.8,41.1,39.1,35.3,34,32.7,31.7,31,30.4,29.7
West Bank and Gaza,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,20,22.2,20.9,20.7,21.1,24,19.3,23.7,23,24,22.7,26.3,29.8,30.2,34,37.1,31,31.8,33.1,34.5,47.1,50.2,49.1,47.4,47.1,47.3,48.2,49.4,50.9
Yemen,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,96.1,60.8,60.6,57.8,56.8,52.1,43.8,40.8,40.4,36.4,49.8,42.4,45.7,47.6,48.4,48.9,57.1,75.3,84,89.5,94.6,89.5,74.4,66,66.4,56.1,45.6,38,32.9,28.5
Zambia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,261,210.2,180.2,159.5,129.9,75.7,25,21.9,19.2,20.5,18.9,20.8,24.9,25.9,33.9,61.9,58,63.4,75.2,94.4,140.2,110.8,98.5,no data,no data,no data,no data,no data,no data
Zimbabwe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,33.1,39.4,44.7,61.1,58.7,47.6,42.9,38.4,37,42.3,48,49.9,74.1,50.9,82.3,84.4,59.8,98.4,95.4,56.9,52.2,48.2,48.4,42.7
Africa (Region),no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,65.7,63.9,59.7,55.3,49.8,43.2,35.2,30.8,28.9,33.2,32.6,34.1,34.9,37.3,38.8,45.2,51.7,52.8,54.1,56.3,65.6,64.9,64.6,65.2,62.6,61.2,60.3,59.5,58.3
Asia and Pacific,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,91.2,94.2,94.5,94.9,94.7,91,83.6,77.1,77.8,87,85.1,85.9,85.5,78.7,77.2,74.7,82.3,81.4,81.4,84.6,95.5,92.2,90.8,92.5,93.5,95.2,96.6,98.1,99.9
Australia and New Zealand,no data,no data,no data,no data,no data,no data,no data,no data,no data,21.8,21.2,25.9,31.2,33.7,34,32.9,30.5,27.1,25.1,23.7,20.8,18.5,16.5,14.7,13.3,12.2,11,10.5,12.6,17.5,21.3,25.1,28.4,30.9,34.1,37.3,39.7,39.9,40,44.8,55.3,54.8,50.2,51.2,54.8,55.8,55.7,55,54
Caribbean,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,48.2,51.6,55.2,59.7,59.5,55.8,54.3,51.3,48.1,47.8,52.2,55.7,57.7,57.1,56.2,55.7,56.8,61.2,61.2,59.6,62,76,70.5,60.1,56.4,54,51.8,49.6,48.5,47.4
Central America,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,35.1,37.1,38.5,46.2,42.2,40.6,36.9,32,30.1,33.4,34.3,34.5,36.4,38.2,38.4,38.8,39.9,41.3,43.4,46,58.8,55.1,52.4,51.8,51.2,50.5,50,49.3,48.5
Central Asia and the Caucasus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,66.7,59.4,51.4,44.2,35.7,29.8,29.6,33.8,31.2,27.8,25.6,24.8,23.4,24.9,25.5,26.4,27.5,29.2,35.8,37,28.9,31.1,29.5,30,29.8,30.1,30.7
East Asia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,78,79.2,79.8,87.9,98,101.6,104.7,106.7,110,111.7,109.2,101.7,94.8,95.9,106.4,105.8,106.8,105.4,95.5,92.6,87,97.5,96.2,94.8,98,108.5,103.8,104,107.4,109.2,112,114.6,117.4,120.7
Eastern Europe ,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,56.6,45.8,40.4,38.3,35.2,30.4,26.4,22.5,20.3,20.8,26.6,27.6,27.5,27.4,29.1,32.4,35.1,35.7,32.8,31.5,30.2,39.5,36.6,35.6,39.5,40.8,41.6,42,42.2,41.9
Europe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,65.2,66.4,63.8,60,58.3,58.4,59.6,59.4,58.8,56.5,54.1,57.2,67.6,71.4,72.5,74.8,76.7,78.6,79,78.7,75.9,74.3,72.4,85.2,82.5,78,79.1,78.8,78.5,78.1,77.7,77.3
Middle East (Region),no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,48.2,52.6,61.4,55.5,58.8,43.2,33.5,29.1,24.3,30.4,25.9,22.9,22.5,21.8,21.4,31.1,38.2,39.6,37.7,41,52,47.3,38.2,37.4,35.7,35.6,35.8,36,36.5
North Africa,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,45.4,46.5,51,52.7,58.9,67.1,67.3,66.9,66.6,76,79.9,77.8,77.4,75,74.8,74.9,74.6,74.1
North America,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,53.8,56,58.8,64.9,64.1,62.7,62.8,70.8,83.5,90.5,93.9,97.3,98.7,98.9,100.8,103.1,102,103,104.1,128.6,121.8,116.5,117.6,120.4,123.1,125.2,127,129
Pacific Islands ,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,41.1,38.9,40,44.5,43.4,40,41,46.3,47.9,42.9,40.3,35.6,32.9,28.8,27.8,27.6,24.7,23.2,24.6,28.7,29.8,32.4,35.1,34.2,37.4,40.2,48.8,53.9,51.8,51.9,51.9,51.8,50.4,48.7,48.6
South America,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,48.3,52.4,72,68.9,63.4,56.7,52.6,50.4,48,51.2,50.1,49.8,50,50.8,52.7,60.1,63.8,67.5,73.5,75.3,84.9,78,75.9,77.2,77.1,77.7,78.1,78.1,77.9
South Asia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,70.7,66.3,63.6,65,65.6,68.7,71.5,76.4,79.5,76.2,74.9,72.8,69.9,67.8,66.7,66.6,62.8,64.3,63.8,63.5,62.9,64.2,64.3,64.9,66.1,70.9,81.8,78,76.3,77.6,77.9,77.6,77.1,76.4,75.6
Southeast Asia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,64.5,64,60.7,58,55.8,51.3,45.9,45.4,42.7,45.4,44,42.7,43.9,44.2,44.4,45.9,46.2,46.6,47.4,48.6,58.3,62.7,64.1,63.9,63.3,62.7,62,61.2,60.4
Sub-Saharan Africa (Region) ,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,65.4,62.4,56,50.6,45.5,37.8,29.1,25.6,25,28.8,28,29.9,30.4,32.2,33.6,39.8,45.2,47.8,49.8,52.6,61.4,58.9,59.1,60.1,58,56,54.8,53.7,52.3
Western Europe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,52.7,56.8,62.1,64.5,66.2,68.2,67,65.7,64.3,61.2,60,60.4,62,62.6,63,61.6,59.8,64.3,74.5,79.9,81.9,85.6,87.5,88.2,86.7,86.1,84.3,82.7,81.1,94.3,92.1,88.1,87.7,87,86.4,85.8,85.3,84.8
Western Hemisphere (Region),no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,53.6,57,59.5,64.6,63.2,61.4,60.9,67,78.2,82.9,84.9,87.8,89.4,90.2,94.1,96.9,96.1,98.2,99.7,123,116.1,110.9,111.9,114.2,116.6,118.4,119.9,121.4
ASEAN-5,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,66.8,65.2,62.3,59.6,57.6,53,47,46.6,43.9,46.4,44.7,43.5,45,45,45.1,46.5,46.6,47.1,48.4,50.1,61.6,66.1,68.3,68.3,67.8,67.2,66.5,65.7,65
Advanced economies,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,70.1,71.1,73.2,76.6,76.1,73.4,71,77.7,91,97.4,101.4,105.6,104.2,103.7,103.3,105.8,103.4,102.9,104.1,122.9,117,112.3,112.1,112.7,113.8,114.6,115.3,116.3
Emerging and Developing Asia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,43.5,44,44.6,44.8,43.7,41.9,39.2,40.5,36.7,41.5,40.2,39.5,39.4,41.1,43.1,44.6,51.2,54.4,55.7,58.9,68.8,70.2,73.3,77.4,80.5,83.3,85.9,88.3,90.8
Emerging and Developing Europe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,51,50.5,48,43.9,37.2,32.1,26.8,23.3,23.4,28.8,28.6,27.3,26.1,27,29.3,31,31.8,29.9,29.5,29,37.7,35.3,32.9,36.8,37.4,38.2,38.4,38.6,38.5
Emerging market and developing economies,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,47,48,51.1,49.2,46.4,41.5,37,35.5,33.4,38.5,37.4,36.7,36.7,38,39.9,43.7,49.1,51.3,52.6,55,64.6,64.1,64.2,67,68.6,70.5,72.2,73.8,75.4
Euro area,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,71.2,73.3,72.7,72.4,71.4,68.9,67.9,67.9,69.2,69.5,70.2,68.1,65.7,69.4,79.9,85.3,87.2,90.6,92.6,92.8,90.9,90.1,87.7,85.7,83.7,96.8,94.8,91,89.6,88.3,87.1,86.1,85.5,84.9
European Union,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,70.4,72.7,72.1,70.6,69.5,66.5,65.5,65.5,66.7,66.8,67.1,64.8,62.2,65.4,75.6,80.5,82.6,86.6,88.9,89.1,87.1,86.2,83.7,81.6,79.4,91.8,89.3,85.2,84,83,82,81.2,80.6,80.1
Latin America and the Caribbean,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,44.5,46.3,56.6,57.2,53.4,49.3,46.6,45.3,45.3,48.3,47.4,47.5,47.7,48.8,50.8,56.6,60.2,62.6,66.3,67.2,76,70.7,68.3,68.1,68.3,68.7,68.9,69,68.9
Major advanced economies (G7),no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,74.8,76.6,79.7,84.8,84.9,82.4,80.7,88.6,103.5,111.7,116.6,120.7,118.5,117.4,116.4,119.6,117.5,117.3,118.3,140.4,133.9,128,127.8,128.9,130.5,131.7,132.8,134.3
Middle East and Central Asia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,56.8,50.4,53.8,59.7,53.7,53.9,41.5,32.8,28.2,24.2,30.1,27.2,25.1,25.9,25.9,25.9,35.6,42.9,43.7,42.4,46.1,56.7,52.6,45.4,44.6,42.1,42.3,42.6,42.9,43.2
Other advanced economies,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,35.1,35.8,36.1,36.9,35.1,34.1,33.3,31.5,32.9,35.6,35.8,36.8,38.3,39.3,40.6,41.6,42.1,41.6,41.3,43.3,50.3,50.1,49.5,49.6,49.8,49.7,49.4,49,48.4
Sub-Saharan Africa,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,62.8,59.8,53.2,48.1,43.5,36.1,27.3,23.9,23.2,26.7,25.7,27.9,27.8,29.9,31.9,37.6,42.4,44.7,47.1,49.8,57.1,56.6,57.1,57.7,55.8,54,52.9,51.8,50.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©IMF, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
