id,name,nominal,pct
32319,Plaisance,s,s
32344,Riscle,s,s
32410,Samatan,48 ,0.9
32462,Vic-Fezensac,192 ,1.7
33005,Andernos-les-Bains,20 ,0.1
33011,Arès,< 20,0.1
33036,Bazas,51 ,0.2
33051,Biganos,< 20,0.0
33058,Blaye,41 ,0.2
33063,Bordeaux,1.143 ,0.1
33067,Bourg,23 ,0.2
33081,Cadillac,21 ,0.1
33104,Castelnau-de-Médoc,< 20,0.1
33108,Castillon-la-Bataille,272 ,1.1
33123,Cézac,32 ,0.1
33138,Coutras,27 ,0.1
33140,Créon,41 ,0.2
33213,La Brède,< 20,0.1
33214,Lacanau,24 ,0.3
33227,Langon,50 ,0.1
33236,Lège-Cap-Ferret,< 20,0.1
33240,Lesparre-Médoc,54 ,0.2
33243,Libourne,148 ,0.2
33289,Monségur,165 ,3.3
33314,Pauillac,29 ,0.2
33327,Podensac,< 20,0.0
33334,Portets,< 20,0.1
33352,La Réole,76 ,0.5
33366,Saint-André-de-Cubzac,32 ,0.1
33389,Saint-Ciers-sur-Gironde,204 ,1.3
33478,Saint-Seurin-sur-l'Isle,55 ,0.6
33498,Salles,< 20,0.0
33506,Sauveterre-de-Guyenne,59 ,0.9
33514,Soulac-sur-Mer,< 20,0.2
33529,La Teste-de-Buch - Arcachon,40 ,0.1
34003,Agde,100 ,0.4
34022,Baillargues,23 ,0.2
34028,Bédarieux,229 ,1.0
34031,Bessan,28 ,0.3
34032,Béziers,247 ,0.2
34052,Capestang,146 ,1.1
34058,Castries,48 ,0.2
34079,Clermont-l'Hérault,62 ,0.5
34088,Cournonterral,< 20,0.0
34101,Florensac,29 ,0.3
34111,Ganges,50 ,0.3
34114,Gignac,80 ,0.4
34142,Lodève,226 ,1.4
34145,Lunel,91 ,0.1
34147,Magalas,285 ,1.2
34150,Marseillan,78 ,1.0
34154,Mauguio,39 ,0.2
34157,Mèze,< 20,0.1
34162,Montagnac,47 ,0.9
34172,Montpellier,772 ,0.2
34192,Palavas-les-Flots,< 20,0.1
34194,Paulhan,90 ,0.6
34199,Pézenas,207 ,1.0
