country_code,year,gdp_per_hour,indexed_2000,p10,p90
CZE,2009,43.5761520357214,134.18190259832255,105.7490664780711,173.91482001758484
CZE,2010,44.7374497086952,137.7578294290095,105.90222399779203,166.44317037272864
CZE,2011,45.6080774101195,140.43871050671802,108.95620079869195,180.43075115664453
CZE,2012,45.7910675728372,141.00218311829948,105.37574340122478,176.0323580881275
CZE,2013,45.945454840297,141.47758024073772,108.9135688534266,190.73485473224028
CZE,2014,46.4492426353503,143.0288692299686,107.60143025708284,181.8643256072528
CZE,2015,48.6890166758697,149.92569531733997,111.57575360781838,204.26970091518817
CZE,2016,48.7809088359651,150.20865432816228,109.75213327284052,198.27358864357458
CZE,2017,50.5607595986224,155.68926127754727,112.92094199837705,211.68474587727326
CZE,2018,51.1720604082316,157.57160980676156,112.48580492122971,212.09309167065194
CZE,2019,53.0856036804544,163.4638895280319,112.82315704504768,219.9496804785964
CZE,2020,54.85641381913,168.91665812846065,114.12420197413894,229.2672017515385
CZE,2021,54.9053845476751,169.06745128528692,115.52379133507482,242.81399760127127
CZE,2022,54.0818816190185,166.53167920353332,114.89515334036724,261.32531394956897
CZE,2023,53.1614338516969,163.69738964624642,114.60564836443956,240.21474771711718
CZE,2024,52.8232361818237,162.65599418845784,115.95562727554262,294.32620970159763
DEU,1995,62.2291313840504,91.17211667745454,73.7287099532162,119.15794100451153
DEU,1996,63.4044784407137,92.89412173526699,78.28575490181568,95.44325262887716
DEU,1997,65.0100253221109,95.24641405152109,82.55805453775649,120.84553546820604
DEU,1998,65.7255975799219,96.2948014535187,90.56580611858341,98.57605642354187
DEU,1999,66.6181582048032,97.60249512726067,93.32340216806978,125.09885976387092
DEU,2000,68.2545647198281,100.0,100.0,100.0
DEU,2001,69.9074712121369,102.42167904680612,99.92210708877577,130.14958514213373
DEU,2002,70.5199783158404,103.31906533330246,100.07003879457697,112.9141862624287
DEU,2003,71.1702034975086,104.27171250691971,101.10170135197774,143.08608166613882
DEU,2004,71.7913477777074,105.18175315071912,103.59517462071307,128.13986034782982
DEU,2005,73.0604665846134,107.0411435257299,102.41753553303921,169.77326069660705
DEU,2006,74.264903359263,108.80576803046975,106.36716301113105,152.86255982958795
DEU,2007,75.0604057866086,109.97126140166182,107.60781837840227,173.8745015838049
DEU,2008,75.046382983403,109.95071654394695,107.02448773829661,166.8277879232891
DEU,2009,72.8139713005139,106.68000242826439,105.7490664780711,173.91482001758484
DEU,2010,74.4869873782033,109.1311440985055,105.90222399779203,166.44317037272864
DEU,2011,76.3133338389968,111.80693064595519,108.95620079869195,180.43075115664453
DEU,2012,76.9148624524882,112.68823230828437,105.37574340122478,176.0323580881275
DEU,2013,77.2051385160038,113.1135167778391,108.9135688534266,190.73485473224028
DEU,2014,77.9440898816713,114.19615699201489,107.60143025708284,181.8643256072528
DEU,2015,78.4437700379091,114.92824012563226,111.57575360781838,204.26970091518817
DEU,2016,79.5624323774726,116.56719620740552,109.75213327284052,198.27358864357458
DEU,2017,81.0511996311229,118.7483942851625,112.92094199837705,211.68474587727326
DEU,2018,81.3208280265056,119.14342778437164,112.48580492122971,212.09309167065194
DEU,2019,81.8901407115718,119.97752977799381,112.82315704504768,219.9496804785964
DEU,2020,82.6259542577938,121.05557276199401,114.12420197413894,229.2672017515385
DEU,2021,83.7521803804331,122.70561056864071,115.52379133507482,242.81399760127127
DEU,2022,92.4007538215573,135.3766655766463,114.89515334036724,261.32531394956897
DEU,2023,83.1779919181735,121.86436505690604,114.60564836443956,240.21474771711718
DEU,2024,98.3939859852682,144.1573708500767,115.95562727554262,294.32620970159763
DNK,1995,68.5521622423654,93.9190185068634,73.7287099532162,119.15794100451153
DNK,1996,70.1832027915716,96.15360487898621,78.28575490181568,95.44325262887716
DNK,1997,70.6286680805383,96.76390893578186,82.55805453775649,120.84553546820604
DNK,1998,70.6223159779967,96.75520631843693,90.56580611858341,98.57605642354187
DNK,1999,71.3541612271541,97.75786159948794,93.32340216806978,125.09885976387092
DNK,2000,72.9907140558073,100.0,100.0,100.0
DNK,2001,72.8258683469962,99.77415523201341,99.92210708877577,130.14958514213373
DNK,2002,73.4170472237912,100.58409233763344,100.07003879457697,112.9141862624287
