Occupation,Median,Employment,OCC_CODE,Employment_Rank,education,Automation_Risk
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",43290,27320.0,51-9021,346.0,2.2271,0.97
"Grinding and Polishing Workers, Hand",36960,14190.0,51-9022,426.0,2.2131,0.97
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",41440,22740.0,37-3012,366.0,2.5275,0.97
Log Graders and Scalers,42370,3950.0,45-4023,519.5,2.2897000000000003,0.97
Ophthalmic Laboratory Technicians,36810,20200.0,51-9083,378.5,3.0107,0.97
Cashiers,28240,3296040.0,41-2011,3.0,1.7351,0.97
Camera and Photographic Equipment Repairers,44060,2120.0,49-9061,543.0,2.8902,0.97
Motion Picture Projectionists,33360,1900.0,39-3021,546.0,2.3837,0.97
Prepress Technicians and Workers,43560,25250.0,51-5111,355.0,3.3898,0.97
Counter and Rental Clerks,35830,370770.0,41-2021,65.0,3.3548,0.97
File Clerks,37290,87250.0,43-4071,208.0,4.0538,0.97
Real Estate Brokers,62190,52310.0,41-9021,266.0,5.2126,0.97
Telephone Operators,38330,4030.0,43-2021,518.0,1.8514,0.97
Payroll and Timekeeping Clerks,49630,159190.0,43-3051,136.0,4.3984000000000005,0.97
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",27720,400420.0,35-9031,60.0,1.9154,0.97
Models,43130,2070.0,41-9012,544.5,2.0305,0.98
"Inspectors, Testers, Sorters, Samplers, and Weighers",43900,579740.0,51-9061,39.0,2.3415,0.98
"Bookkeeping, Accounting, and Auditing Clerks",45860,1550750.0,43-3031,11.0,3.3738,0.98
Driver/Sales Workers,32690,489510.0,53-3031,44.0,1.649,0.98
"Claims Adjusters, Examiners, and Investigators",72230,285270.0,13-1031,88.0,5.2477,0.98
Parts Salespersons,35800,259280.0,41-2022,95.0,2.3442,0.98
Credit Analysts,78850,71960.0,13-2041,232.0,6.1000000000000005,0.98
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",46870,15480.0,51-4035,412.0,2.6033,0.98
Procurement Clerks,45240,63340.0,43-3061,242.0,3.7125,0.98
Packaging and Filling Machine Operators and Tenders,36750,369330.0,51-9111,66.0,1.9021,0.98
Etchers and Engravers,37980,8400.0,51-9194,477.0,2.0623,0.98
Tellers,36380,352440.0,43-3071,72.0,2.6844,0.98
"Umpires, Referees, and Other Sports Officials",36010,12720.0,27-2023,438.0,2.9999,0.98
"Insurance Appraisers, Auto Damage",69380,11430.0,13-1032,452.0,3.4155,0.98
Loan Officers,65740,345550.0,13-2072,73.0,5.3976,0.98
Order Clerks,38060,113500.0,43-4151,172.0,3.1599000000000004,0.98
Brokerage Clerks,54680,42700.0,43-4011,293.0,4.3089,0.98
Insurance Claims and Policy Processing Clerks,46080,227580.0,43-9041,103.0,3.1553,0.98
Timing Device Assemblers and Adjusters,42290,370.0,51-2061,557.0,2.3419,0.98
Data Entry Keyers,36190,157380.0,43-9021,138.0,2.9378,0.99
Library Technicians,37600,73330.0,25-4031,231.0,4.4709,0.99
New Accounts Clerks,40820,45170.0,43-4141,287.0,3.0408,0.99
Photographic Process Workers and Processing Machine Operators,36280,5380.0,51-9151,509.0,2.4014,0.99
Tax Preparers,48250,82370.0,13-2082,215.0,3.7275,0.99
Cargo and Freight Agents,46860,93480.0,43-5011,201.0,4.3188,0.99
Insurance Underwriters,76230,105900.0,13-2053,189.0,5.399900000000001,0.99
"Sewers, Hand",31530,3440.0,51-6051,527.0,2.5185,0.99
"Title Examiners, Abstractors, and Searchers",50490,53680.0,23-2093,261.0,3.0504,0.99
Telemarketers,31030,96520.0,41-9041,198.0,1.9195,0.99
