Date,Adj Close,Close,High,Low,Open,Midmarket_Rate
2016-10-21,0.010048,0.010048,0.010074,0.009997,0.010035,0.010036
2016-10-24,0.010043,0.010043,0.010055,0.009999,0.010044,0.010027
2016-10-25,0.010044,0.010044,0.01006,0.009995,0.010045,0.010027
2016-10-26,0.010051,0.010051,0.010059,0.009998,0.010044,0.010028
2016-10-27,0.010038,0.010038,0.010054,0.010008,0.01005,0.010031
2016-10-28,0.010035,0.010035,0.010054,0.009992,0.010038,0.010023
2016-10-31,0.010022,0.010022,0.010048,0.009852,0.010021,0.00995
2016-11-01,0.010031,0.010031,0.010051,0.009857,0.010023,0.009954
2016-11-02,0.010021,0.010021,0.010051,0.009857,0.010031,0.009954
2016-11-03,0.01002,0.01002,0.010047,0.009977,0.010021,0.010012
2016-11-04,0.010003,0.010003,0.010051,0.009968,0.010021,0.010009
2016-11-07,0.010022,0.010022,0.010031,0.00993,0.009965,0.00998
2016-11-08,0.010021,0.010021,0.010035,0.009961,0.010021,0.009998
2016-11-09,0.010019,0.010019,0.010028,0.009947,0.01002,0.009987
2016-11-10,0.010013,0.010013,0.010026,0.009966,0.010017,0.009996
2016-11-11,0.010009,0.010009,0.010024,0.009959,0.010013,0.009991
2016-11-14,0.010017,0.010017,0.010038,0.009949,0.009964,0.009993
2016-11-15,0.010017,0.010017,0.010018,0.009838,0.010011,0.009928
2016-11-16,0.009998,0.009998,0.01004,0.00995,0.010016,0.009995
2016-11-17,0.010008,0.010008,0.010045,0.009822,0.009997,0.009934
2016-11-18,0.010002,0.010002,0.010015,0.009941,0.010009,0.009978
2016-11-21,0.009997,0.009997,0.010019,0.009818,0.009919,0.009919
2016-11-22,0.009999,0.009999,0.010021,0.009947,0.009997,0.009984
2016-11-23,0.010002,0.010002,0.010008,0.009955,0.01,0.009982
2016-11-24,0.009999,0.009999,0.010011,0.009959,0.01,0.009985
2016-11-25,0.010005,0.010005,0.010012,0.009818,0.01,0.009915
2016-11-28,0.009999,0.009999,0.010059,0.009971,0.010037,0.010015
2016-11-29,0.010008,0.010008,0.01001,0.009962,0.01,0.009986
2016-11-30,0.010009,0.010009,0.010015,0.009955,0.010008,0.009985
2016-12-01,0.010002,0.010002,0.010012,0.009818,0.010008,0.009915
2016-12-02,0.009977,0.009977,0.010007,0.009961,0.010003,0.009984
2016-12-05,0.009996,0.009996,0.010023,0.009898,0.009898,0.009961
2016-12-06,0.00999,0.00999,0.010025,0.009814,0.009997,0.009919
2016-12-07,0.009981,0.009981,0.010025,0.009804,0.00999,0.009914
2016-12-08,0.009994,0.009994,0.010006,0.009945,0.00998,0.009975
2016-12-09,0.009963,0.009963,0.010008,0.00979,0.009995,0.009899
2016-12-12,0.009988,0.009988,0.010018,0.009814,0.009943,0.009916
2016-12-13,0.009984,0.009984,0.010022,0.009949,0.009986,0.009985
2016-12-14,0.009971,0.009971,0.010044,0.009799,0.009984,0.009922
2016-12-15,0.009967,0.009967,0.010002,0.009793,0.009971,0.009898
2016-12-16,0.009963,0.009963,0.009998,0.00993,0.009968,0.009964
2016-12-19,0.009967,0.009967,0.010013,0.009933,0.009967,0.009973
2016-12-20,0.009963,0.009963,0.009985,0.009928,0.009968,0.009956
2016-12-21,0.009954,0.009954,0.009981,0.009938,0.009962,0.00996
2016-12-22,0.009952,0.009952,0.009977,0.009945,0.009954,0.009961
2016-12-23,0.009949,0.009949,0.009981,0.009913,0.009953,0.009947
2016-12-26,0.009954,0.009954,0.009954,0.00995,0.00995,0.009952
2016-12-27,0.009952,0.009952,0.009954,0.00977,0.009942,0.009862
2016-12-28,0.009949,0.009949,0.009981,0.009891,0.009952,0.009936
2016-12-29,0.00994,0.00994,0.00997,0.009892,0.009946,0.009931
2016-12-30,0.009855,0.009855,0.009967,0.009855,0.009939,0.009911
2017-01-02,0.009944,0.009944,0.010011,0.009764,0.009764,0.009888
2017-01-03,0.009913,0.009913,0.009957,0.00987,0.009943,0.009913
2017-01-04,0.009839,0.009839,0.009914,0.009836,0.00989,0.009875
2017-01-05,0.009813,0.009813,0.009871,0.009798,0.009838,0.009834
2017-01-06,0.009824,0.009824,0.009856,0.009759,0.009813,0.009807
2017-01-09,0.009803,0.009803,0.009843,0.009648,0.009648,0.009745
2017-01-10,0.009814,0.009814,0.009846,0.009629,0.009803,0.009738
2017-01-11,0.009801,0.009801,0.009836,0.009748,0.009813,0.009792
2017-01-12,0.0098,0.0098,0.009832,0.00976,0.009803,0.009796
2017-01-13,0.009801,0.009801,0.009829,0.009753,0.009801,0.009791
2017-01-16,0.009802,0.009802,0.009827,0.00962,0.00979,0.009724
