date,month,value,year,series
2013-07-01,July,102.8,2013,Food
2013-08-01,August,103.4,2013,Food
2013-09-01,September,103.5,2013,Food
2013-10-01,October,103.6,2013,Food
2013-11-01,November,103.6,2013,Food
2013-12-01,December,104.3,2013,Food
2014-01-01,January,104.3,2014,Food
2014-02-01,February,104.6,2014,Food
2014-03-01,March,104.2,2014,Food
2014-04-01,April,103.6,2014,Food
2014-05-01,May,102.4,2014,Food
2014-06-01,June,102.4,2014,Food
2014-07-01,July,102.2,2014,Food
2014-08-01,August,102.1,2014,Food
2014-09-01,September,102.0,2014,Food
2014-10-01,October,102.0,2014,Food
2014-11-01,November,101.9,2014,Food
2014-12-01,December,102.4,2014,Food
2015-01-01,January,101.4,2015,Food
2015-02-01,February,101.1,2015,Food
2015-03-01,March,100.9,2015,Food
2015-04-01,April,100.5,2015,Food
2015-05-01,May,100.6,2015,Food
2015-06-01,June,100.2,2015,Food
2015-07-01,July,99.5,2015,Food
2015-08-01,August,99.3,2015,Food
2015-09-01,September,99.5,2015,Food
2015-10-01,October,99.0,2015,Food
2015-11-01,November,99.1,2015,Food
2015-12-01,December,99.1,2015,Food
2016-01-01,January,98.6,2016,Food
2016-02-01,February,98.7,2016,Food
2016-03-01,March,97.9,2016,Food
2016-04-01,April,97.9,2016,Food
2016-05-01,May,97.4,2016,Food
2016-06-01,June,96.9,2016,Food
2016-07-01,July,96.8,2016,Food
2016-08-01,August,97.4,2016,Food
2016-09-01,September,97.0,2016,Food
2016-10-01,October,96.9,2016,Food
2016-11-01,November,97.3,2016,Food
2016-12-01,December,98.1,2016,Food
2017-01-01,January,98.2,2017,Food
2017-02-01,February,98.9,2017,Food
2017-03-01,March,99.5,2017,Food
2017-04-01,April,99.7,2017,Food
2017-05-01,May,99.8,2017,Food
2017-06-01,June,99.5,2017,Food
2017-07-01,July,99.5,2017,Food
2017-08-01,August,99.6,2017,Food
2017-09-01,September,100.4,2017,Food
2017-10-01,October,101.0,2017,Food
2017-11-01,November,101.6,2017,Food
2017-12-01,December,102.2,2017,Food
2018-01-01,January,102.1,2018,Food
2018-02-01,February,102.2,2018,Food
2018-03-01,March,102.5,2018,Food
2018-04-01,April,102.0,2018,Food
2018-05-01,May,101.8,2018,Food
2018-06-01,June,101.2,2018,Food
2018-07-01,July,101.4,2018,Food
2018-08-01,August,101.7,2018,Food
2018-09-01,September,101.5,2018,Food
2018-10-01,October,101.4,2018,Food
2018-11-01,November,101.7,2018,Food
2018-12-01,December,102.6,2018,Food
2019-01-01,January,102.5,2019,Food
2019-02-01,February,103.0,2019,Food
2019-03-01,March,102.9,2019,Food
2019-04-01,April,102.6,2019,Food
2019-05-01,May,102.7,2019,Food
2019-06-01,June,102.7,2019,Food
2019-07-01,July,102.9,2019,Food
2019-08-01,August,103.4,2019,Food
2019-09-01,September,103.1,2019,Food
2019-10-01,October,102.4,2019,Food
2019-11-01,November,103.5,2019,Food
2019-12-01,December,104.0,2019,Food
2020-01-01,January,103.8,2020,Food
2020-02-01,February,103.9,2020,Food
2020-03-01,March,104.1,2020,Food
2020-04-01,April,104.0,2020,Food
2020-05-01,May,104.5,2020,Food
2020-06-01,June,103.9,2020,Food
2020-07-01,July,103.6,2020,Food
2020-08-01,August,103.8,2020,Food
2020-09-01,September,103.0,2020,Food
2020-10-01,October,103.0,2020,Food
2020-11-01,November,103.0,2020,Food
2020-12-01,December,102.4,2020,Food
2021-01-01,January,103.0,2021,Food
2021-02-01,February,103.5,2021,Food
2021-03-01,March,102.6,2021,Food
2021-04-01,April,103.5,2021,Food
2021-05-01,May,103.2,2021,Food
2021-06-01,June,103.5,2021,Food
2021-07-01,July,103.1,2021,Food
2021-08-01,August,104.1,2021,Food
2021-09-01,September,103.9,2021,Food
2021-10-01,October,104.4,2021,Food
2021-11-01,November,105.5,2021,Food
2021-12-01,December,107.0,2021,Food
2022-01-01,January,107.6,2022,Food
2022-02-01,February,108.6,2022,Food
2022-03-01,March,108.7,2022,Food
2022-04-01,April,110.5,2022,Food
2022-05-01,May,112.1,2022,Food
2022-06-01,June,113.8,2022,Food
2022-07-01,July,116.4,2022,Food
2022-08-01,August,118.2,2022,Food
2022-09-01,September,119.4,2022,Food
2022-10-01,October,121.9,2022,Food
2022-11-01,November,123.2,2022,Food
2022-12-01,December,125.2,2022,Food
2023-01-01,January,125.9,2023,Food
2023-02-01,February,128.6,2023,Food
2023-03-01,March,130.1,2023,Food
2023-04-01,April,132.0,2023,Food
2023-05-01,May,133.2,2023,Food
2023-06-01,June,133.6,2023,Food
2023-07-01,July,133.8,2023,Food
2023-08-01,August,134.1,2023,Food
2023-09-01,September,134.2,2023,Food
1988-01-01,January,50.1,1988,Bread and cereals
1988-02-01,February,50.4,1988,Bread and cereals
1988-03-01,March,50.3,1988,Bread and cereals
1988-04-01,April,50.5,1988,Bread and cereals
1988-05-01,May,51.0,1988,Bread and cereals
1988-06-01,June,51.0,1988,Bread and cereals
1988-07-01,July,51.2,1988,Bread and cereals
1988-08-01,August,51.2,1988,Bread and cereals
1988-09-01,September,51.5,1988,Bread and cereals
1988-10-01,October,51.6,1988,Bread and cereals
1988-11-01,November,51.8,1988,Bread and cereals
1988-12-01,December,52.3,1988,Bread and cereals
1989-01-01,January,52.7,1989,Bread and cereals
1989-02-01,February,53.1,1989,Bread and cereals
1989-03-01,March,53.5,1989,Bread and cereals
1989-04-01,April,54.0,1989,Bread and cereals
1989-05-01,May,54.0,1989,Bread and cereals
1989-06-01,June,54.3,1989,Bread and cereals
1989-07-01,July,54.4,1989,Bread and cereals
1989-08-01,August,54.3,1989,Bread and cereals
1989-09-01,September,54.6,1989,Bread and cereals
1989-10-01,October,54.7,1989,Bread and cereals
1989-11-01,November,55.0,1989,Bread and cereals
1989-12-01,December,55.5,1989,Bread and cereals
1990-01-01,January,56.0,1990,Bread and cereals
1990-02-01,February,56.5,1990,Bread and cereals
1990-03-01,March,56.9,1990,Bread and cereals
1990-04-01,April,57.4,1990,Bread and cereals
1990-05-01,May,57.8,1990,Bread and cereals
1990-06-01,June,58.1,1990,Bread and cereals
1990-07-01,July,58.1,1990,Bread and cereals
1990-08-01,August,58.5,1990,Bread and cereals
1990-09-01,September,58.8,1990,Bread and cereals
1990-10-01,October,59.1,1990,Bread and cereals
1990-11-01,November,59.5,1990,Bread and cereals
1990-12-01,December,60.0,1990,Bread and cereals
1991-01-01,January,61.0,1991,Bread and cereals
1991-02-01,February,61.3,1991,Bread and cereals
1991-03-01,March,61.7,1991,Bread and cereals
1991-04-01,April,62.0,1991,Bread and cereals
1991-05-01,May,62.0,1991,Bread and cereals
1991-06-01,June,62.4,1991,Bread and cereals
1991-07-01,July,62.4,1991,Bread and cereals
1991-08-01,August,62.8,1991,Bread and cereals
1991-09-01,September,62.3,1991,Bread and cereals
1991-10-01,October,62.6,1991,Bread and cereals
1991-11-01,November,62.9,1991,Bread and cereals
1991-12-01,December,63.0,1991,Bread and cereals
1992-01-01,January,63.6,1992,Bread and cereals
1992-02-01,February,64.0,1992,Bread and cereals
1992-03-01,March,64.3,1992,Bread and cereals
1992-04-01,April,64.2,1992,Bread and cereals
1992-05-01,May,64.5,1992,Bread and cereals
1992-06-01,June,64.6,1992,Bread and cereals
1992-07-01,July,64.9,1992,Bread and cereals
1992-08-01,August,64.5,1992,Bread and cereals
1992-09-01,September,65.1,1992,Bread and cereals
1992-10-01,October,64.9,1992,Bread and cereals
1992-11-01,November,64.7,1992,Bread and cereals
1992-12-01,December,65.5,1992,Bread and cereals
1993-01-01,January,65.7,1993,Bread and cereals
1993-02-01,February,65.9,1993,Bread and cereals
1993-03-01,March,66.1,1993,Bread and cereals
1993-04-01,April,66.6,1993,Bread and cereals
1993-05-01,May,66.6,1993,Bread and cereals
1993-06-01,June,66.7,1993,Bread and cereals
1993-07-01,July,67.3,1993,Bread and cereals
1993-08-01,August,67.2,1993,Bread and cereals
1993-09-01,September,67.2,1993,Bread and cereals
1993-10-01,October,67.0,1993,Bread and cereals
1993-11-01,November,66.6,1993,Bread and cereals
1993-12-01,December,66.6,1993,Bread and cereals
1994-01-01,January,66.7,1994,Bread and cereals
1994-02-01,February,66.8,1994,Bread and cereals
1994-03-01,March,66.8,1994,Bread and cereals
1994-04-01,April,66.9,1994,Bread and cereals
1994-05-01,May,66.4,1994,Bread and cereals
1994-06-01,June,66.4,1994,Bread and cereals
1994-07-01,July,66.6,1994,Bread and cereals
1994-08-01,August,66.6,1994,Bread and cereals
1994-09-01,September,66.4,1994,Bread and cereals
1994-10-01,October,65.9,1994,Bread and cereals
1994-11-01,November,66.2,1994,Bread and cereals
1994-12-01,December,66.5,1994,Bread and cereals
1995-01-01,January,66.2,1995,Bread and cereals
1995-02-01,February,65.8,1995,Bread and cereals
1995-03-01,March,66.4,1995,Bread and cereals
1995-04-01,April,66.0,1995,Bread and cereals
1995-05-01,May,66.8,1995,Bread and cereals
1995-06-01,June,67.1,1995,Bread and cereals
1995-07-01,July,67.5,1995,Bread and cereals
1995-08-01,August,67.2,1995,Bread and cereals
1995-09-01,September,67.4,1995,Bread and cereals
1995-10-01,October,67.6,1995,Bread and cereals
1995-11-01,November,67.6,1995,Bread and cereals
1995-12-01,December,67.9,1995,Bread and cereals
1996-01-01,January,68.0,1996,Bread and cereals
1996-02-01,February,68.4,1996,Bread and cereals
1996-03-01,March,68.4,1996,Bread and cereals
1996-04-01,April,68.3,1996,Bread and cereals
1996-05-01,May,68.8,1996,Bread and cereals
1996-06-01,June,68.9,1996,Bread and cereals
1996-07-01,July,68.8,1996,Bread and cereals
1996-08-01,August,68.7,1996,Bread and cereals
1996-09-01,September,68.6,1996,Bread and cereals
1996-10-01,October,68.5,1996,Bread and cereals
1996-11-01,November,67.9,1996,Bread and cereals
1996-12-01,December,67.7,1996,Bread and cereals
1997-01-01,January,67.9,1997,Bread and cereals
1997-02-01,February,68.3,1997,Bread and cereals
1997-03-01,March,67.8,1997,Bread and cereals
1997-04-01,April,67.8,1997,Bread and cereals
1997-05-01,May,67.9,1997,Bread and cereals
1997-06-01,June,68.5,1997,Bread and cereals
1997-07-01,July,68.4,1997,Bread and cereals
1997-08-01,August,68.6,1997,Bread and cereals
1997-09-01,September,68.3,1997,Bread and cereals
1997-10-01,October,68.7,1997,Bread and cereals
1997-11-01,November,67.9,1997,Bread and cereals
1997-12-01,December,68.2,1997,Bread and cereals
1998-01-01,January,67.7,1998,Bread and cereals
1998-02-01,February,67.5,1998,Bread and cereals
1998-03-01,March,67.1,1998,Bread and cereals
1998-04-01,April,67.6,1998,Bread and cereals
1998-05-01,May,67.5,1998,Bread and cereals
1998-06-01,June,68.3,1998,Bread and cereals
1998-07-01,July,68.3,1998,Bread and cereals
1998-08-01,August,68.4,1998,Bread and cereals
1998-09-01,September,68.7,1998,Bread and cereals
1998-10-01,October,68.6,1998,Bread and cereals
1998-11-01,November,68.8,1998,Bread and cereals
1998-12-01,December,69.0,1998,Bread and cereals
1999-01-01,January,68.2,1999,Bread and cereals
1999-02-01,February,68.2,1999,Bread and cereals
1999-03-01,March,67.7,1999,Bread and cereals
1999-04-01,April,68.3,1999,Bread and cereals
1999-05-01,May,68.0,1999,Bread and cereals
1999-06-01,June,67.9,1999,Bread and cereals
1999-07-01,July,68.5,1999,Bread and cereals
1999-08-01,August,68.3,1999,Bread and cereals
1999-09-01,September,68.1,1999,Bread and cereals
1999-10-01,October,68.0,1999,Bread and cereals
1999-11-01,November,68.0,1999,Bread and cereals
1999-12-01,December,68.4,1999,Bread and cereals
2000-01-01,January,68.5,2000,Bread and cereals
2000-02-01,February,68.2,2000,Bread and cereals
2000-03-01,March,67.9,2000,Bread and cereals
2000-04-01,April,67.9,2000,Bread and cereals
2000-05-01,May,67.8,2000,Bread and cereals
2000-06-01,June,67.7,2000,Bread and cereals
2000-07-01,July,68.0,2000,Bread and cereals
2000-08-01,August,67.7,2000,Bread and cereals
2000-09-01,September,68.0,2000,Bread and cereals
2000-10-01,October,68.0,2000,Bread and cereals
2000-11-01,November,68.1,2000,Bread and cereals
2000-12-01,December,68.0,2000,Bread and cereals
2001-01-01,January,68.1,2001,Bread and cereals
2001-02-01,February,68.4,2001,Bread and cereals
2001-03-01,March,68.2,2001,Bread and cereals
2001-04-01,April,68.1,2001,Bread and cereals
2001-05-01,May,68.5,2001,Bread and cereals
2001-06-01,June,68.4,2001,Bread and cereals
2001-07-01,July,68.5,2001,Bread and cereals
2001-08-01,August,68.7,2001,Bread and cereals
2001-09-01,September,69.1,2001,Bread and cereals
2001-10-01,October,69.1,2001,Bread and cereals
2001-11-01,November,69.4,2001,Bread and cereals
2001-12-01,December,69.4,2001,Bread and cereals
2002-01-01,January,69.1,2002,Bread and cereals
2002-02-01,February,69.4,2002,Bread and cereals
2002-03-01,March,69.2,2002,Bread and cereals
2002-04-01,April,69.3,2002,Bread and cereals
2002-05-01,May,69.3,2002,Bread and cereals
2002-06-01,June,69.5,2002,Bread and cereals
2002-07-01,July,69.4,2002,Bread and cereals
2002-08-01,August,69.4,2002,Bread and cereals
2002-09-01,September,69.3,2002,Bread and cereals
2002-10-01,October,69.4,2002,Bread and cereals
2002-11-01,November,69.0,2002,Bread and cereals
2002-12-01,December,69.0,2002,Bread and cereals
2003-01-01,January,68.7,2003,Bread and cereals
2003-02-01,February,69.3,2003,Bread and cereals
2003-03-01,March,69.5,2003,Bread and cereals
2003-04-01,April,70.1,2003,Bread and cereals
2003-05-01,May,70.2,2003,Bread and cereals
2003-06-01,June,69.6,2003,Bread and cereals
2003-07-01,July,70.0,2003,Bread and cereals
2003-08-01,August,70.0,2003,Bread and cereals
2003-09-01,September,69.9,2003,Bread and cereals
2003-10-01,October,71.1,2003,Bread and cereals
2003-11-01,November,71.1,2003,Bread and cereals
2003-12-01,December,70.9,2003,Bread and cereals
2004-01-01,January,71.2,2004,Bread and cereals
2004-02-01,February,71.4,2004,Bread and cereals
2004-03-01,March,71.6,2004,Bread and cereals
2004-04-01,April,72.1,2004,Bread and cereals
2004-05-01,May,71.8,2004,Bread and cereals
2004-06-01,June,71.6,2004,Bread and cereals
2004-07-01,July,71.4,2004,Bread and cereals
2004-08-01,August,70.8,2004,Bread and cereals
2004-09-01,September,70.6,2004,Bread and cereals
2004-10-01,October,70.8,2004,Bread and cereals
2004-11-01,November,70.7,2004,Bread and cereals
2004-12-01,December,71.3,2004,Bread and cereals
2005-01-01,January,71.4,2005,Bread and cereals
2005-02-01,February,72.4,2005,Bread and cereals
2005-03-01,March,72.1,2005,Bread and cereals
2005-04-01,April,71.9,2005,Bread and cereals
2005-05-01,May,71.9,2005,Bread and cereals
2005-06-01,June,72.2,2005,Bread and cereals
2005-07-01,July,72.0,2005,Bread and cereals
2005-08-01,August,72.5,2005,Bread and cereals
2005-09-01,September,72.4,2005,Bread and cereals
2005-10-01,October,72.3,2005,Bread and cereals
2005-11-01,November,72.7,2005,Bread and cereals
2005-12-01,December,73.0,2005,Bread and cereals
2006-01-01,January,72.9,2006,Bread and cereals
2006-02-01,February,73.2,2006,Bread and cereals
2006-03-01,March,73.0,2006,Bread and cereals
2006-04-01,April,73.1,2006,Bread and cereals
2006-05-01,May,73.0,2006,Bread and cereals
2006-06-01,June,73.1,2006,Bread and cereals
2006-07-01,July,73.4,2006,Bread and cereals
2006-08-01,August,73.6,2006,Bread and cereals
2006-09-01,September,74.0,2006,Bread and cereals
2006-10-01,October,74.0,2006,Bread and cereals
2006-11-01,November,74.6,2006,Bread and cereals
2006-12-01,December,75.1,2006,Bread and cereals
2007-01-01,January,74.5,2007,Bread and cereals
2007-02-01,February,75.0,2007,Bread and cereals
2007-03-01,March,76.2,2007,Bread and cereals
2007-04-01,April,76.1,2007,Bread and cereals
2007-05-01,May,76.7,2007,Bread and cereals
2007-06-01,June,77.0,2007,Bread and cereals
2007-07-01,July,75.6,2007,Bread and cereals
2007-08-01,August,75.6,2007,Bread and cereals
2007-09-01,September,76.7,2007,Bread and cereals
2007-10-01,October,77.4,2007,Bread and cereals
2007-11-01,November,79.2,2007,Bread and cereals
2007-12-01,December,80.7,2007,Bread and cereals
2008-01-01,January,80.3,2008,Bread and cereals
2008-02-01,February,80.9,2008,Bread and cereals
2008-03-01,March,81.8,2008,Bread and cereals
2008-04-01,April,82.6,2008,Bread and cereals
2008-05-01,May,83.6,2008,Bread and cereals
2008-06-01,June,86.1,2008,Bread and cereals
2008-07-01,July,87.6,2008,Bread and cereals
2008-08-01,August,88.8,2008,Bread and cereals
2008-09-01,September,88.7,2008,Bread and cereals
2008-10-01,October,88.2,2008,Bread and cereals
2008-11-01,November,88.8,2008,Bread and cereals
2008-12-01,December,89.7,2008,Bread and cereals
2009-01-01,January,88.2,2009,Bread and cereals
2009-02-01,February,90.0,2009,Bread and cereals
2009-03-01,March,89.8,2009,Bread and cereals
2009-04-01,April,89.9,2009,Bread and cereals
2009-05-01,May,90.1,2009,Bread and cereals
2009-06-01,June,89.7,2009,Bread and cereals
2009-07-01,July,90.0,2009,Bread and cereals
2009-08-01,August,89.1,2009,Bread and cereals
2009-09-01,September,89.1,2009,Bread and cereals
2009-10-01,October,89.8,2009,Bread and cereals
2009-11-01,November,90.1,2009,Bread and cereals
2009-12-01,December,89.9,2009,Bread and cereals
2010-01-01,January,89.6,2010,Bread and cereals
2010-02-01,February,90.1,2010,Bread and cereals
2010-03-01,March,89.9,2010,Bread and cereals
2010-04-01,April,89.9,2010,Bread and cereals
2010-05-01,May,90.6,2010,Bread and cereals
2010-06-01,June,90.5,2010,Bread and cereals
2010-07-01,July,90.9,2010,Bread and cereals
2010-08-01,August,92.0,2010,Bread and cereals
2010-09-01,September,92.0,2010,Bread and cereals
2010-10-01,October,92.9,2010,Bread and cereals
2010-11-01,November,94.7,2010,Bread and cereals
2010-12-01,December,95.7,2010,Bread and cereals
2011-01-01,January,94.8,2011,Bread and cereals
2011-02-01,February,97.5,2011,Bread and cereals
2011-03-01,March,94.9,2011,Bread and cereals
2011-04-01,April,96.1,2011,Bread and cereals
2011-05-01,May,95.8,2011,Bread and cereals
2011-06-01,June,98.2,2011,Bread and cereals
2011-07-01,July,99.7,2011,Bread and cereals
2011-08-01,August,98.5,2011,Bread and cereals
2011-09-01,September,99.0,2011,Bread and cereals
2011-10-01,October,98.6,2011,Bread and cereals
2011-11-01,November,97.6,2011,Bread and cereals
2011-12-01,December,98.7,2011,Bread and cereals
2012-01-01,January,98.0,2012,Bread and cereals
2012-02-01,February,99.3,2012,Bread and cereals
2012-03-01,March,99.5,2012,Bread and cereals
2012-04-01,April,98.9,2012,Bread and cereals
2012-05-01,May,98.7,2012,Bread and cereals
2012-06-01,June,99.3,2012,Bread and cereals
2012-07-01,July,98.8,2012,Bread and cereals
2012-08-01,August,100.0,2012,Bread and cereals
2012-09-01,September,100.1,2012,Bread and cereals
2012-10-01,October,99.9,2012,Bread and cereals
2012-11-01,November,101.4,2012,Bread and cereals
2012-12-01,December,101.8,2012,Bread and cereals
2013-01-01,January,102.0,2013,Bread and cereals
2013-02-01,February,102.3,2013,Bread and cereals
2013-03-01,March,103.1,2013,Bread and cereals
2013-04-01,April,103.4,2013,Bread and cereals
2013-05-01,May,103.5,2013,Bread and cereals
2013-06-01,June,103.1,2013,Bread and cereals
2013-07-01,July,103.4,2013,Bread and cereals
2013-08-01,August,104.7,2013,Bread and cereals
2013-09-01,September,104.4,2013,Bread and cereals
2013-10-01,October,103.8,2013,Bread and cereals
2013-11-01,November,103.7,2013,Bread and cereals
2013-12-01,December,105.1,2013,Bread and cereals
2014-01-01,January,103.0,2014,Bread and cereals
2014-02-01,February,104.6,2014,Bread and cereals
2014-03-01,March,104.1,2014,Bread and cereals
2014-04-01,April,104.0,2014,Bread and cereals
2014-05-01,May,102.3,2014,Bread and cereals
2014-06-01,June,103.5,2014,Bread and cereals
2014-07-01,July,102.4,2014,Bread and cereals
2014-08-01,August,103.0,2014,Bread and cereals
2014-09-01,September,101.7,2014,Bread and cereals
2014-10-01,October,102.9,2014,Bread and cereals
2014-11-01,November,101.4,2014,Bread and cereals
2014-12-01,December,102.5,2014,Bread and cereals
2015-01-01,January,100.6,2015,Bread and cereals
2015-02-01,February,101.3,2015,Bread and cereals
2015-03-01,March,101.0,2015,Bread and cereals
2015-04-01,April,100.1,2015,Bread and cereals
2015-05-01,May,100.2,2015,Bread and cereals
2015-06-01,June,99.1,2015,Bread and cereals
2015-07-01,July,99.8,2015,Bread and cereals
2015-08-01,August,99.4,2015,Bread and cereals
2015-09-01,September,99.4,2015,Bread and cereals
2015-10-01,October,99.7,2015,Bread and cereals
2015-11-01,November,99.5,2015,Bread and cereals
2015-12-01,December,100.1,2015,Bread and cereals
2016-01-01,January,98.8,2016,Bread and cereals
2016-02-01,February,99.0,2016,Bread and cereals
2016-03-01,March,98.9,2016,Bread and cereals
2016-04-01,April,98.4,2016,Bread and cereals
2016-05-01,May,98.4,2016,Bread and cereals
2016-06-01,June,97.8,2016,Bread and cereals
2016-07-01,July,97.1,2016,Bread and cereals
2016-08-01,August,98.5,2016,Bread and cereals
2016-09-01,September,97.9,2016,Bread and cereals
2016-10-01,October,97.6,2016,Bread and cereals
2016-11-01,November,98.5,2016,Bread and cereals
2016-12-01,December,99.8,2016,Bread and cereals
2017-01-01,January,98.0,2017,Bread and cereals
2017-02-01,February,99.9,2017,Bread and cereals
2017-03-01,March,100.3,2017,Bread and cereals
2017-04-01,April,101.1,2017,Bread and cereals
2017-05-01,May,100.5,2017,Bread and cereals
2017-06-01,June,100.8,2017,Bread and cereals
2017-07-01,July,100.7,2017,Bread and cereals
2017-08-01,August,101.3,2017,Bread and cereals
2017-09-01,September,100.9,2017,Bread and cereals
2017-10-01,October,101.8,2017,Bread and cereals
2017-11-01,November,102.3,2017,Bread and cereals
2017-12-01,December,104.0,2017,Bread and cereals
2018-01-01,January,102.1,2018,Bread and cereals
2018-02-01,February,102.6,2018,Bread and cereals
2018-03-01,March,102.2,2018,Bread and cereals
2018-04-01,April,102.0,2018,Bread and cereals
2018-05-01,May,102.0,2018,Bread and cereals
2018-06-01,June,101.9,2018,Bread and cereals
2018-07-01,July,102.3,2018,Bread and cereals
2018-08-01,August,102.1,2018,Bread and cereals
2018-09-01,September,101.1,2018,Bread and cereals
2018-10-01,October,101.9,2018,Bread and cereals
2018-11-01,November,101.3,2018,Bread and cereals
2018-12-01,December,103.8,2018,Bread and cereals
2019-01-01,January,100.5,2019,Bread and cereals
2019-02-01,February,103.1,2019,Bread and cereals
2019-03-01,March,103.9,2019,Bread and cereals
2019-04-01,April,103.8,2019,Bread and cereals
2019-05-01,May,103.7,2019,Bread and cereals
2019-06-01,June,103.0,2019,Bread and cereals
2019-07-01,July,103.6,2019,Bread and cereals
2019-08-01,August,104.9,2019,Bread and cereals
2019-09-01,September,102.2,2019,Bread and cereals
2019-10-01,October,103.7,2019,Bread and cereals
2019-11-01,November,104.1,2019,Bread and cereals
2019-12-01,December,104.6,2019,Bread and cereals
2020-01-01,January,103.2,2020,Bread and cereals
2020-02-01,February,103.0,2020,Bread and cereals
2020-03-01,March,106.6,2020,Bread and cereals
2020-04-01,April,104.7,2020,Bread and cereals
2020-05-01,May,105.7,2020,Bread and cereals
2020-06-01,June,104.4,2020,Bread and cereals
2020-07-01,July,105.8,2020,Bread and cereals
2020-08-01,August,104.3,2020,Bread and cereals
2020-09-01,September,103.9,2020,Bread and cereals
2020-10-01,October,105.6,2020,Bread and cereals
2020-11-01,November,105.4,2020,Bread and cereals
2020-12-01,December,105.3,2020,Bread and cereals
2021-01-01,January,104.5,2021,Bread and cereals
2021-02-01,February,105.6,2021,Bread and cereals
2021-03-01,March,104.5,2021,Bread and cereals
2021-04-01,April,105.7,2021,Bread and cereals
2021-05-01,May,104.0,2021,Bread and cereals
2021-06-01,June,105.8,2021,Bread and cereals
2021-07-01,July,105.6,2021,Bread and cereals
2021-08-01,August,106.4,2021,Bread and cereals
2021-09-01,September,105.4,2021,Bread and cereals
2021-10-01,October,105.8,2021,Bread and cereals
2021-11-01,November,106.5,2021,Bread and cereals
2021-12-01,December,109.0,2021,Bread and cereals
2022-01-01,January,108.3,2022,Bread and cereals
2022-02-01,February,110.1,2022,Bread and cereals
2022-03-01,March,110.0,2022,Bread and cereals
2022-04-01,April,112.3,2022,Bread and cereals
2022-05-01,May,114.1,2022,Bread and cereals
2022-06-01,June,116.0,2022,Bread and cereals
2022-07-01,July,118.6,2022,Bread and cereals
2022-08-01,August,118.9,2022,Bread and cereals
2022-09-01,September,120.6,2022,Bread and cereals
2022-10-01,October,121.8,2022,Bread and cereals
2022-11-01,November,124.1,2022,Bread and cereals
2022-12-01,December,125.4,2022,Bread and cereals
2023-01-01,January,125.6,2023,Bread and cereals
2023-02-01,February,128.5,2023,Bread and cereals
2023-03-01,March,131.3,2023,Bread and cereals
2023-04-01,April,133.3,2023,Bread and cereals
2023-05-01,May,134.4,2023,Bread and cereals
2023-06-01,June,135.3,2023,Bread and cereals
2023-07-01,July,135.6,2023,Bread and cereals
2023-08-01,August,136.6,2023,Bread and cereals
2023-09-01,September,136.9,2023,Bread and cereals
1988-01-01,January,53.7,1988,Meat
1988-02-01,February,53.4,1988,Meat
1988-03-01,March,53.7,1988,Meat
1988-04-01,April,53.7,1988,Meat
1988-05-01,May,54.2,1988,Meat
1988-06-01,June,54.7,1988,Meat
1988-07-01,July,54.4,1988,Meat
1988-08-01,August,54.7,1988,Meat
1988-09-01,September,54.9,1988,Meat
1988-10-01,October,54.6,1988,Meat
1988-11-01,November,55.3,1988,Meat
1988-12-01,December,55.6,1988,Meat
1989-01-01,January,55.7,1989,Meat
1989-02-01,February,55.3,1989,Meat
1989-03-01,March,55.6,1989,Meat
1989-04-01,April,56.8,1989,Meat
1989-05-01,May,57.6,1989,Meat
1989-06-01,June,58.0,1989,Meat
1989-07-01,July,58.6,1989,Meat
1989-08-01,August,58.6,1989,Meat
1989-09-01,September,59.6,1989,Meat
1989-10-01,October,60.3,1989,Meat
1989-11-01,November,60.8,1989,Meat
1989-12-01,December,61.1,1989,Meat
1990-01-01,January,61.6,1990,Meat
1990-02-01,February,61.9,1990,Meat
1990-03-01,March,62.1,1990,Meat
1990-04-01,April,62.6,1990,Meat
1990-05-01,May,63.5,1990,Meat
1990-06-01,June,64.0,1990,Meat
1990-07-01,July,64.2,1990,Meat
1990-08-01,August,63.9,1990,Meat
1990-09-01,September,64.1,1990,Meat
1990-10-01,October,63.8,1990,Meat
1990-11-01,November,63.9,1990,Meat
1990-12-01,December,63.8,1990,Meat
1991-01-01,January,63.8,1991,Meat
1991-02-01,February,63.7,1991,Meat
1991-03-01,March,63.7,1991,Meat
1991-04-01,April,64.5,1991,Meat
1991-05-01,May,64.6,1991,Meat
1991-06-01,June,64.9,1991,Meat
1991-07-01,July,63.3,1991,Meat
1991-08-01,August,62.8,1991,Meat
1991-09-01,September,63.0,1991,Meat
1991-10-01,October,62.8,1991,Meat
1991-11-01,November,63.0,1991,Meat
1991-12-01,December,63.3,1991,Meat
1992-01-01,January,64.0,1992,Meat
1992-02-01,February,64.3,1992,Meat
1992-03-01,March,64.9,1992,Meat
1992-04-01,April,64.7,1992,Meat
1992-05-01,May,65.4,1992,Meat
1992-06-01,June,64.6,1992,Meat
1992-07-01,July,64.1,1992,Meat
1992-08-01,August,64.3,1992,Meat
1992-09-01,September,63.8,1992,Meat
1992-10-01,October,64.0,1992,Meat
1992-11-01,November,64.0,1992,Meat
1992-12-01,December,64.7,1992,Meat
1993-01-01,January,64.5,1993,Meat
1993-02-01,February,65.2,1993,Meat
1993-03-01,March,66.3,1993,Meat
1993-04-01,April,66.8,1993,Meat
1993-05-01,May,67.6,1993,Meat
1993-06-01,June,67.6,1993,Meat
1993-07-01,July,67.3,1993,Meat
