General government gross debt (Percent of GDP),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,Estimates start after
Morocco,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,70.5,59.1,67,74.7,69.3,72.2,65.3,68,64.5,63.4,64.9,60.4,59.4,56.9,54.4,54.8,50.6,47.1,42,42.6,45.3,48.6,52.3,57.1,58.6,58.4,60.1,60.3,60.5,60.3,72.2,69.4,71.4,68.7,67.7,67.1,65.8,64.9,63.9,62.8,61.9,61,2024
Mozambique,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,94.7,95.8,99.8,63.4,63.2,50.8,60.1,40,31.2,32.8,39.3,38.6,34.2,36.7,49.5,63.4,86,124.8,103.8,105.5,98.3,120,104.3,100.4,90.8,91.4,102.5,106.1,113.3,120.5,126.2,122.6,111.5,2023
Myanmar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,208.6,150.7,164.5,262,190.6,146,126.6,119,103.1,77.4,59.8,56.4,54.4,49.9,48,44.8,34.5,36.6,35.7,41.9,39.9,37.6,49.1,63.4,56,53.2,50.6,51.9,51.9,51.9,51.4,50.2,49.4,48.5,2020
Namibia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,17.2,16.4,18,18.7,17.7,19.6,21.8,20.9,24.4,22.2,27.1,29.2,26.9,26.1,19.4,19.1,15.9,16.3,27.4,24.6,26.1,27.6,42.1,45.8,43.8,48.7,57.6,64.3,69.6,70.1,67.9,69.8,70.2,70.5,71.2,72.4,73.3,74.5,75.7,2024
Nauru,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,295.6,298.9,236.8,157.3,166.9,147.7,113,86.3,78,71.1,59.6,56.3,24.2,18.9,19.2,16.9,14.6,12.7,10.5,9,7.6,6.5,5.5,2025
Nepal,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,50.8,50.8,51.8,53,51.3,45.1,42.9,37.9,36.8,39.5,35.4,32.4,34.5,31.9,27.6,25.7,25,25,31.1,34,43.3,43.3,42.7,47,48.3,48.1,49.6,49.4,48.3,47.2,46.1,45.3,2025
Netherlands,43.6,46.9,52.4,58.4,61.9,67.1,68.9,71.3,73.7,73.7,75,74.8,75.6,76.7,73.5,73,71.2,65.7,62.7,58.6,52.2,49.4,48.7,49.8,50.1,49.6,45,42.7,54.4,56.3,58.9,61.2,65.7,67.2,67.2,63.8,60.9,56,51.6,47.7,53.4,50.5,48.4,45.8,43.7,43.3,44.1,44.5,44.9,45.9,46.9,48,2024
New Caledonia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2026
New Zealand,no data,no data,no data,no data,no data,64.1,68.5,62.9,54.7,54.9,55.5,58,58.7,54.6,48.9,43.5,37.3,34.6,34.5,32,30,28.2,26.4,24.7,22.5,20.8,18.4,16.3,19,24.3,29.6,34.7,35.7,34.6,34.2,34.2,33.4,31.1,28.1,31.8,43.2,47.5,46.9,47.3,51.4,54.7,56.7,57.8,57.8,57.1,55.5,54.8,2025
Nicaragua,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,86.4,86.5,99.8,95.2,87.5,110.4,109.5,84,66.6,51.2,30.9,26,29.3,30.3,28.8,27.9,28.8,28.7,28.9,30.9,34.7,39.1,44.2,49.2,48.4,45.9,42.4,37.9,34.8,33.2,32.6,32.5,32,31,30.6,2024
Niger,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,69.4,63.5,69.1,61.3,63.3,82.1,74,69,60.6,55,49.5,18.3,17.8,14.2,15.9,15.1,14.7,18.1,19.6,22.1,29.9,32.8,36.5,37,39.8,45,51.3,50.7,51.8,47.7,45.4,45.5,44.9,44.7,44.6,44.4,44.3,2024
Nigeria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,50.9,53.2,49.8,50.4,39.7,24.2,17.9,17.1,15.8,46.1,40.9,37.7,30.7,29.9,25.2,13.4,6.7,5.8,5.2,6.1,6.7,12.4,12.5,13,15.8,14.9,17.4,18,20.4,21.4,25.7,26.6,29.8,36.3,39.3,35.5,32.3,33.1,32.5,31.7,30.9,30.1,2024
Niue,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2026
North Macedonia ,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,29.8,45.6,45.2,40.5,36.5,34.6,36.7,30.6,23.5,20.6,23.7,24.3,27.7,33.7,34,38,38,39.7,39.4,40.4,40.4,50.8,52.7,50.4,50.5,52.9,52.5,53.1,53.4,53.6,54,53.8,53.8,2025
Northern Mariana Islands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2026
Norway,47.9,43.5,38.6,35.5,35.3,37,46.1,38.6,32.6,32.5,29.1,39.5,45.3,54,51,32.9,28.6,26,23.8,25.1,28.8,27.3,34,43.1,43.8,42.1,52.2,48.9,46.8,41.7,42.1,28.9,30.2,30.6,28.8,33.2,36.7,36.9,38.1,39,44.3,40.1,34.8,42.4,52.8,45,42.9,39.4,35.9,32.5,29,25.5,2024
Oman,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,17.8,22.6,23.1,22.2,23.6,21.9,21.2,20.8,30.9,28.9,21.7,22.5,15.9,13,14.5,8.4,7.6,4.4,3.2,5.8,5.5,4.4,4.6,4.7,4,13.9,29.3,40.1,44.7,52.5,67.9,61.9,41.7,37.4,35.5,35.8,32.7,32.7,31.9,30.8,29.6,29.1,2024
Pakistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,58.5,52.3,52.5,52.8,53.8,60.7,61.7,65.1,60.5,56.3,50.6,47.9,46.2,44.2,49.5,54.6,56.7,56.2,58.4,59.2,58.8,59.1,62.1,62.1,66.3,78.7,80.8,74.7,77.3,78.5,70.2,72.8,70.1,67.1,64,60.8,59,58.2,2025
Palau,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,37.1,34.6,33.9,34.8,34.2,30.5,28.6,33.7,32,36.6,34.5,30.6,30.8,27.4,27.5,21.7,23.7,26.9,29.5,30.5,52.1,69.9,68.9,76.4,66.3,62.3,56.7,50.5,44.9,39.9,35.3,28.2,2024
Panama,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,88.7,86.7,73.6,67.3,64.3,60.4,58,62.1,60.9,59.9,61.5,61.5,56.1,48.2,40.6,39.5,38.5,35.9,31.3,30.8,32.9,34.1,34,34.3,36.3,42.5,62.4,58,56.2,54.4,57.8,56.6,57.7,57.5,57.1,56.3,55.3,53.9,2025
Papua New Guinea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,40.1,36.6,37.8,43.9,45.7,41.8,42.3,47.7,48.4,40.4,37.2,31.6,26,22.2,21.6,21.7,17.3,16.3,19.1,24.9,26.9,29.9,33.7,32.5,36.7,38.2,48.7,52.6,48.2,53.9,53.3,52.1,49.2,46.4,43.2,40.1,37.2,34.4,2025
Paraguay,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,67,49.4,34.4,26.6,18.7,17.6,16.8,18,22.1,32,33.6,37.1,50.5,37.5,36,28.3,21,16.8,16,14.9,13,11.1,12.3,13.5,15.6,18.6,19.4,19.8,22.3,25.8,36.9,37.5,40.6,41,44.6,38.1,37.8,37.6,37.4,37.2,36.9,36.6,2025
Peru,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,44.9,43.8,45.5,49.4,46.7,40.4,34.9,31.9,28.1,28.2,25.1,23.1,20.7,19.9,20.5,23.7,23.9,24.8,25.7,26.5,34.3,35.5,33.5,32.4,32.1,30.2,30,30.9,31.6,32.1,32.1,32.2,2025
Philippines,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,73.9,63.6,60.8,53.1,56.9,50.8,54.2,59.2,59.5,65.2,71.4,71.1,64.7,57.2,50.2,50,49.8,47.6,45.4,45.7,43.9,40.3,39.7,37.4,38.1,37.1,37,51.6,57,57.4,56.5,56.6,59.4,60.2,59.9,59.2,58,56.4,54.7,2025
Pitcairn,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2026
Poland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,48.6,43,42.6,38.6,39.2,36.3,37,41.4,46.2,45,46.5,47.1,44.4,46.6,49.7,53.7,54.8,54.5,56.9,51.1,51.1,54.1,50.4,48.2,45.2,56.6,53,48.8,49.5,55.1,58.8,65.7,69.6,71.6,73.9,75.8,77.6,2024
Portugal,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,60.2,63.9,58.1,57.2,60.4,62.2,63.3,58.7,55.6,55.4,54.2,57.4,60,63.9,67.1,72.2,73.7,72.7,75.6,87.8,100.1,114,128.6,130.8,132.5,131,131.2,126,121.1,116.1,134.1,123.9,111.2,96.9,93.5,89.9,85.6,82.2,79.3,77,75.5,74.4,2024
Puerto Rico,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,33.4,36.9,40.8,46.5,48.3,50,53.7,52.3,54.5,52.7,49.9,51.2,52.4,48.8,50.2,48.9,16.7,16.6,16.9,18,18.8,19.3,19.5,19.2,18.9,18.6,2024
Qatar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.6,21.8,19.9,46.3,54.8,50.2,57.8,54.4,76.6,81.8,51.6,59.2,47.7,38.8,30.1,19.1,13.9,9.4,11.4,36,30.4,33.5,32.1,30.9,24.9,35.5,46.7,51.6,52.2,62.1,72.6,58.4,42.6,42.8,41.3,41.4,43.3,40.9,39.7,37.7,36.5,35.5,2023
Reunion,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2026
Romania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,29.6,27.4,27.4,24.9,21.3,17.8,12.7,12.4,13,22.5,30.2,32.6,36.2,39.3,40.5,39.4,39.5,37.1,36.4,36.8,49.5,51.8,51.9,52.6,57.5,60.6,61.9,63.9,65.3,67.3,68.8,70.4,2024
Russian Federation,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,51.5,135.2,92.4,55.9,44.4,37.6,28.3,20.8,14.9,9.8,8,7.4,9.9,10.1,10.3,11.2,12.3,15.1,15.3,14.8,14.3,13.6,13.7,19.2,16.5,15.1,15.2,14.8,17.2,19.1,21.2,23.6,25.4,27.2,29.1,2025
Rwanda,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,102.2,84.6,73.3,71.1,79.5,87.2,85.2,93.4,80.7,82.1,59.8,22.8,22.4,18.5,18.7,19,18.9,19.3,27,29.5,33.5,41.5,46.1,49.2,52.8,66.7,66.2,59,61.4,63.4,64.6,66.8,67.4,67.4,67.2,65.2,61.6,2025
Saint Helena,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2026
Saint Kitts and Nevis,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,50.7,67.2,79,89.2,92.9,100.5,115.2,136.6,147.2,124,134.8,130.1,123.4,129.1,134.9,127.1,118,89.3,67.9,62.2,57.4,56.2,54.7,57.2,71.7,73,64.5,60,58.1,58.4,64,68.7,71.3,73.8,76.5,79.2,2024
Saint Lucia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,16.7,19.3,22.1,22.7,23.4,22.7,23.9,26.6,29.1,28.8,32.8,38,47.7,44.7,48.8,50.4,48,48.2,46.9,50.2,52.2,54.9,60.2,61.2,61.9,60.6,60.2,59.9,60.3,62.1,94.4,81.9,73.9,75.2,76.7,77.1,77.5,77.7,77.7,77.7,77.6,77.4,2025
Saint Martin,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2026
Saint Vincent and the Grenadines,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,55.3,53.5,50.7,49.3,54.2,47.6,41.2,39.3,39.9,53.4,54.2,51.9,53.2,55.3,58.5,50.5,44.7,48.4,50.2,57.2,61.1,64,67.8,70,75.1,76,78.1,69.5,69.3,68,81.7,88.3,88.6,91.3,102.8,113.4,120.1,126.1,131.3,135.6,140.1,144.7,2024
Saint-Pierre and Miquelon,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2026
Samoa,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,58.9,59.4,55.8,53.8,50.3,42.8,39.8,34.2,33.5,31.5,28.2,33.3,40.3,41.5,50.9,54.1,54.9,56.4,49,46.7,49.4,44.3,43.2,45.4,41,31.8,25.2,21.2,17.1,16.6,17.2,17.7,18.5,19.2,2025
San Marino,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.6,17.2,16.1,16.9,14.5,14.2,12.6,15.5,20.1,20,16.6,17.2,23.2,21,19.3,21.4,56.6,56.7,56.2,69.8,77.2,70.6,68.3,62.9,60.6,77.3,58.4,55.6,52.9,50.3,47.7,2024
Saudi Arabia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,39.4,47.8,58.6,67.9,74.2,75.2,76.7,101.5,103,86.7,93.1,96.4,81.6,62.9,37.3,25.8,17.1,12.1,14,8.4,5.3,3,2.1,1.5,5.5,12.2,15.9,16.8,20.3,29.7,25.5,21.3,23,25.9,31.7,32.1,34.8,37.1,38.9,40.6,42.2,2025
Senegal,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.1,67.8,18.8,15,57.5,53.2,52,42.9,38,36.1,17.5,19,19.1,29.9,34.6,32.9,34.5,36.9,42.4,44.5,47.5,61.1,61.5,81.5,90.1,98.7,104.7,118.4,132.4,130.2,132.3,133.4,132,130.5,126,121.4,2024
Serbia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,200.6,95.9,68.4,64.4,57.6,50.1,37,30,29.4,35.3,42.4,46,58,61.2,63.5,67.1,65,55.3,51.1,49.5,54.3,53.6,50.9,45.7,44.1,42.4,42.6,43,42.7,42.6,42.4,42.1,2025
Seychelles,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,80.4,89.2,79.9,82.2,123.5,133.5,146.7,143,161.2,159.8,177.8,199.8,195.9,177,163.2,144.1,135.1,144,192.1,106.1,82.2,82.5,80.1,68.2,70.4,75.4,64.3,56.7,51.3,48.9,77.4,71,60.6,55.1,56.1,51.5,55,54,52.4,50.6,48.9,46.6,2025
Sierra Leone,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,113.5,99.8,99.8,93.2,78.9,61.9,26.4,46.1,31.1,28.9,25.8,24.1,22.3,26.8,28.4,38.9,44.2,44.2,45.3,46.4,47.1,54,49.4,46.7,45.2,44.3,41.2,38.4,36.2,34.1,31.8,2024
Singapore,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,73.5,76.4,79,71.2,70.7,69.8,71.3,70.8,84.6,85.3,82.3,94.5,96.3,99.1,95.7,92.7,86.5,87.8,97.9,101.7,98.7,103.1,106.7,98.2,97.7,102.1,105.9,107.3,109.2,127.7,147.1,139.9,153.3,170.4,166,171.3,171.9,172.7,173.4,173.9,174.3,174.7,2025
Sint Maarten,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2026
Slovak Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,21.3,30.3,32.8,33.9,47.1,50.6,51.4,45.6,43.6,42,35,31.5,30.4,28.6,36.4,40.7,43.3,51.7,54.6,53.4,51.6,52.1,51.4,49.3,48,58.4,60.2,57.8,55.8,59.7,61.6,63,65.5,67.2,69.4,72,75,2024
Slovenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,18.2,21.6,22.1,22.8,23.8,26.1,26.3,27.7,27,27.1,26.6,26.2,22.9,21.9,34.9,38.6,46.8,54.1,70.8,81.1,83.4,79.4,74.9,71,66,80.2,74.8,72.8,68.3,66.6,65.9,65.2,65.4,65.4,65.8,66.3,67.1,2024
Solomon Islands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,21.9,33.3,35.4,37.4,44.6,55.5,51.8,49.4,38.5,36.9,29.5,26.1,17.2,21.6,18.1,13.3,11.6,10.1,7.9,7.5,8.8,7.9,7.8,9.1,16.1,16.5,22.3,26.1,28.7,29.9,31.3,32.5,33.4,34.1,34.9,2024
Somalia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2025
South Africa,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,37.9,38,31.8,31.5,30.7,29.6,28,24.3,24,27,31.2,34.7,37.4,40.4,43.3,45.2,47.1,48.6,51.5,56.1,68.9,68.8,70.7,73.2,76,78.6,78.9,79.7,80.9,81.7,82.2,82.6,2025
"South Sudan, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0,8.9,17.6,39.6,58.2,128.9,77.5,84.3,43.4,48.3,56.4,42.1,62,53.4,62.1,57.3,49.9,47.6,45.8,44,42.8,2024
Spain,16.1,19.4,24.4,29.5,36,40.9,42.1,41.9,38.5,39.9,41.3,41.9,44.1,54.6,57,61.6,65.4,64.3,62.4,60.9,57.8,54.1,51.2,47.7,45.3,42.4,39,35.7,39.6,53.1,60.3,69.5,89.6,100,104.4,102.4,102,101.1,99.7,97.6,119.2,115.6,109.2,105.1,101.6,100.4,98.2,96.2,94.2,92.9,91.7,90.4,2025
Sri Lanka,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,78.9,80.5,77.9,79.2,77.9,77.8,76.2,70.1,74.2,77.7,79.2,84.4,96.3,86.5,86.5,76.6,74.3,71.8,68.8,72.8,68.7,69.4,67.5,69.5,69.6,76.3,75,72.3,83.6,82.6,96.9,102.7,115.9,110.4,100.8,no data,no data,no data,no data,no data,no data,no data,2025
Sudan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,495.2,285.9,386.5,239,220.9,167.7,179.7,160.5,143.2,125.6,121.7,117.4,97.8,75.5,63.7,53.7,55.8,71,74.6,78.1,117.7,105.8,84.4,93.2,109.9,149.5,209.8,216.5,278.8,191.3,189,261.2,262.6,187.6,169.1,153,134.5,128.9,124.4,116.3,2021
Suriname,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,72.9,75.7,64.4,51.1,30.5,16.3,11.8,16.8,21.6,32.3,48.4,37.2,37.4,31.5,29.4,27.1,22.5,16.4,14.8,14.6,17.3,18.7,20.1,27.9,25.2,41.2,75.4,73,68.6,84,146.4,115.8,111.7,97.7,88,105.8,87.1,77,58.4,41,36.2,35.4,2023
Svalbard and Jan Mayen Islands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2026
Sweden,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,66.1,68.6,68.7,68.9,67.7,65.4,60.3,50.4,52,49.9,49.5,48.7,48.9,43.8,39.2,37.9,41.2,38.6,37.7,38,40.8,45.7,44.5,42.9,41.6,39.9,35.8,40.4,37.3,34.2,32.1,33.9,34.9,36.7,38.2,38.3,37.8,37.2,36.6,2024
Switzerland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,32.8,34.6,38.9,43.7,46.4,49.3,50.6,52.9,55.3,52,51.7,50.5,56.9,56.2,57.1,54.1,47.7,44,44.2,42.4,40.7,41.2,41.9,41.2,41.2,41.4,40.3,41.1,39,38.8,42.4,39.7,35.9,37.3,40.5,39.4,38.5,37.5,36.3,35.4,34.3,33.5,2025
Syria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,189.8,182.4,173.6,171.9,163,152.6,141.5,147.6,151.2,147.7,152.1,144.5,132.4,133.4,113,50.7,45,42.7,37.3,31.2,30,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2009
São Tomé and Príncipe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,418.4,366.5,329.4,354.5,334.2,283.2,110.1,60.7,70.3,83,86,59.6,76.8,92.5,101.1,104.6,92.3,95.9,98.6,91,85.1,86.8,73.2,65.2,55.7,50.4,47.4,45.3,43.2,40.3,38.3,2025
Taiwan Province of China,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,25,23.7,23.7,26.2,30.1,29.8,32.1,33.4,34.1,33.3,32.2,33.4,36.7,36.9,38.3,39.2,38.9,37.5,35.9,35.4,34.5,33.8,32.6,32,30.1,29.5,29,26.8,22.4,27.6,27.6,27.6,27.6,27.6,27.6,2024
Tajikistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,96.6,107.8,111.4,99.4,98.3,69.8,49.4,45.8,36.8,34.3,30.2,36.9,36.8,35.5,32.5,29.3,27.9,35,42.2,46.3,46.3,43.2,50.9,42,31.8,29.9,24.9,21.6,21.9,22.3,23.4,24.4,25.1,25.7,2023
Tanzania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,50.8,47.4,44.4,44.5,25.4,17.4,23.8,21.6,23.9,27.6,28.4,30,32.7,36.4,39.5,39.8,40.1,42,40.4,41.3,43.4,44.9,47.8,49.9,49.7,48.7,47.5,46.2,45.1,44,42.6,2023
Thailand,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15.2,40.5,49.9,56.6,57.8,57.5,54.9,47.5,46.3,45.5,39.2,36,34.9,42.4,39.8,39.1,41.9,42.2,43.3,42.6,41.7,41.8,41.9,41.1,49.4,58.4,60.5,62.2,62.9,64.7,66.8,67.8,68.6,69.1,69.5,69.7,2024
Timor-Leste,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.5,2.9,4.7,6.7,9.3,9.5,10.1,6.5,7.9,12.4,14.4,14.3,14.9,14.9,14.8,14.7,14.7,16,2024
Togo,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,63.1,67.7,70.5,67.3,57.6,33.5,37,34.3,41.1,44.9,52.4,59.9,57.1,58,54.9,61.4,63.3,63,64.1,66.2,63,64.7,63.1,61.5,60.2,58.3,56.7,2025
Tokelau,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2026
Tonga,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,38.4,43.6,53.4,60.7,56.2,52.2,43.3,39.6,37.8,34,39.7,44.7,51.9,60,48.9,47.4,51.1,49.4,44.7,45.5,41.8,41.7,43,40.2,37.2,31.9,27.4,34.4,41.1,48.9,57.6,67.3,76.7,2024
Trinidad and Tobago,no data,no data,no data,no data,no data,no data,no data,no data,65.3,51.9,49.5,50,49.5,59.6,64.8,57.3,51.9,51.3,47.4,55.2,52.3,54.2,58.2,52.4,43.3,36.6,32.7,29.4,24.6,34.2,28.9,39.2,32.9,32.9,37.1,43.2,53.3,57.2,58.1,62.9,81.6,80.2,69.9,78.2,81.8,84.2,84.1,82.8,80.7,80.7,81.2,82.1,2025
