,COU,Reporting country,MEASURE,Currency,MEASURE_PRINCIPLE,Measurement principle,FDI_TYPE,Type of FDI,TYPE_ENTITY,Type of entity,ACCOUNTING_ENTRY,Accounting entry,LEVEL_COUNTERPART,Level of counterpart,COUNTERPART_AREA,Partner country/territory,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
7503,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),BHS,Bahamas,2021,2021,USD,US Dollar,6,Millions,,,4545.3756066025,,
7536,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),IRN,"Iran, Islamic Republic of",2021,2021,USD,US Dollar,6,Millions,,,519.07758803301,,
7681,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),COL,Colombia,2021,2021,USD,US Dollar,6,Millions,,,,C,Non-publishable and confidential value
7782,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),GEO,Georgia,2021,2021,USD,US Dollar,6,Millions,,,1.0952841513067,,
7797,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),ETH,Ethiopia,2021,2021,USD,US Dollar,6,Millions,,,,C,Non-publishable and confidential value
7859,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),DZA,Algeria,2021,2021,USD,US Dollar,6,Millions,,,,C,Non-publishable and confidential value
7900,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),TTO,Trinidad and Tobago,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
8063,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),WSM,Samoa,2021,2021,USD,US Dollar,6,Millions,,,199.08311017882,,
8102,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),S37,Other Near and Middle East (Western Asia),2021,2021,USD,US Dollar,6,Millions,,,2949.4103507565,,
8131,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),JAM,Jamaica,2021,2021,USD,US Dollar,6,Millions,,,18.550855928473,,
8175,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),IRL,Ireland,2021,2021,USD,US Dollar,6,Millions,,,54753.555942228,,
8186,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),PRY,Paraguay,2021,2021,USD,US Dollar,6,Millions,,,,C,Non-publishable and confidential value
8197,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),CHL,Chile,2021,2021,USD,US Dollar,6,Millions,,,426.66660055021,,
8267,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),CPV,Cape Verde,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
8332,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),NFK,Norfolk Island,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
8377,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),BFA,Burkina Faso,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
8458,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),PNG,Papua New Guinea,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
8625,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),CHE,Switzerland,2021,2021,USD,US Dollar,6,Millions,,,120308.06352132,,
8654,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),JPN,Japan,2021,2021,USD,US Dollar,6,Millions,,,124032.44894085,,
8697,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),ZMB,Zambia,2021,2021,USD,US Dollar,6,Millions,,,86.341714786795,,
8818,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),EST,Estonia,2021,2021,USD,US Dollar,6,Millions,,,304.39259215956,,
8911,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),VAT,Holy See (Vatican City State),2021,2021,USD,US Dollar,6,Millions,,,0.0,,
9007,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),MUS,Mauritius,2021,2021,USD,US Dollar,6,Millions,,,2892.6385983494,,
9116,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),SEN,Senegal,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
9156,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),TKM,Turkmenistan,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
9197,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),CYP,Cyprus,2021,2021,USD,US Dollar,6,Millions,,,7032.1228170564,,
9244,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),AIA,Anguilla,2021,2021,USD,US Dollar,6,Millions,,,81.977196189821,,
9279,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),CAN,Canada,2021,2021,USD,US Dollar,6,Millions,,,29504.028555708,,
9280,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),NAM,Namibia,2021,2021,USD,US Dollar,6,Millions,,,1.0952841513067,,
9315,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),LVA,Latvia,2021,2021,USD,US Dollar,6,Millions,,,95.455013700138,,
9426,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),FRA,France,2021,2021,USD,US Dollar,6,Millions,,,127961.75367263,,
9632,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),SVK,Slovakia,2021,2021,USD,US Dollar,6,Millions,,,35.205518762036,,
9686,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),ASM,American Samoa,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
9760,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),URY,Uruguay,2021,2021,USD,US Dollar,6,Millions,,,196.64745171939,,
9799,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),PLW,Palau,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
9804,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),HTI,Haiti,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
9834,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),SWE,Sweden,2021,2021,USD,US Dollar,6,Millions,,,14593.057345254,,
9844,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),AND,Andorra,2021,2021,USD,US Dollar,6,Millions,,,5.4711765790922,,
9915,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),ATG,Antigua and Barbuda,2021,2021,USD,US Dollar,6,Millions,,,,C,Non-publishable and confidential value
9938,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),RWA,Rwanda,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
10002,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),FRO,Faroe Islands,2021,2021,USD,US Dollar,6,Millions,,,13.861798308116,,
10003,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),MMR,Myanmar,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
10007,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),HND,Honduras,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
10043,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),BIH,Bosnia and Herzegovina,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
10053,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),SOM,Somalia,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
10059,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),ESP,Spain,2021,2021,USD,US Dollar,6,Millions,,,59797.645103164,,
10113,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),CIV,Côte d'Ivoire,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
10148,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),DEU,Germany,2021,2021,USD,US Dollar,6,Millions,,,57997.728651994,,
10179,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),BLZ,Belize,2021,2021,USD,US Dollar,6,Millions,,,67.368767331499,,
10307,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),MLI,Mali,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
10333,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),NCL,New Caledonia,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
10384,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),MAC,Macao,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
10503,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),IOT,British Indian Ocean Territory (EUROSTAT),2021,2021,USD,US Dollar,6,Millions,,,0.0,,
10511,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),ISL,Iceland,2021,2021,USD,US Dollar,6,Millions,,,429.36580990371,,
10532,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),VNM,Viet Nam,2021,2021,USD,US Dollar,6,Millions,,,,d,Secondary Confidentiality
10601,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),ZAF,South Africa,2021,2021,USD,US Dollar,6,Millions,,,11047.027885832,,
10624,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),MAR,Morocco,2021,2021,USD,US Dollar,6,Millions,,,496.21815667125,,
10659,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),IND,India,2021,2021,USD,US Dollar,6,Millions,,,14726.898046768,,
10680,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),MNG,Mongolia,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
10734,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),BGD,Bangladesh,2021,2021,USD,US Dollar,6,Millions,,,68.160074470426,,
10741,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),SLV,El Salvador,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
10770,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),BWA,Botswana,2021,2021,USD,US Dollar,6,Millions,,,923.24868225585,,
10821,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),LTU,Lithuania,2021,2021,USD,US Dollar,6,Millions,,,76.558722104539,,
10853,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),LBY,Libya,2021,2021,USD,US Dollar,6,Millions,,,,C,Non-publishable and confidential value
10910,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),MOZ,Mozambique,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
11116,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),ARG,Argentina,2021,2021,USD,US Dollar,6,Millions,,,0.9635175130674,,
11131,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),ERI,Eritrea,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
11135,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),HUN,Hungary,2021,2021,USD,US Dollar,6,Millions,,,357.09748431912,,
11204,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),VIR,"Virgin Islands, U.S.",2021,2021,USD,US Dollar,6,Millions,,,,C,Non-publishable and confidential value
11225,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),MDG,Madagascar,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
11326,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),CXR,Christmas islands,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
11331,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),ITA,Italy,2021,2021,USD,US Dollar,6,Millions,,,15930.577730399,,
11364,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),DNK,Denmark,2021,2021,USD,US Dollar,6,Millions,,,17994.393136176,,
11370,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),SDN,Sudan,2021,2021,USD,US Dollar,6,Millions,,,,C,Non-publishable and confidential value
11526,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),GBR,United Kingdom,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
11557,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),BGR,Bulgaria,2021,2021,USD,US Dollar,6,Millions,,,141.6095218707,,
11682,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),AGO,Angola,2021,2021,USD,US Dollar,6,Millions,,,47.803349339752,,
11912,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),VUT,Vanuatu,2021,2021,USD,US Dollar,6,Millions,,,1.0955563851444,,
11976,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),OMN,Oman,2021,2021,USD,US Dollar,6,Millions,,,107.11704463549,,
12035,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),LSO,Lesotho,2021,2021,USD,US Dollar,6,Millions,,,,C,Non-publishable and confidential value
12109,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),UZB,Uzbekistan,2021,2021,USD,US Dollar,6,Millions,,,,C,Non-publishable and confidential value
12192,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),TCA,Turks and Caicos Islands,2021,2021,USD,US Dollar,6,Millions,,,6.7520342544704,,
12198,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),GRC,Greece,2021,2021,USD,US Dollar,6,Millions,,,-1082.2045037139,,
12371,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),ARE,United Arab Emirates,2021,2021,USD,US Dollar,6,Millions,,,8144.690394773,,
12372,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),BLR,Belarus,2021,2021,USD,US Dollar,6,Millions,,,0.96703818707015,,
12387,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),BDI,Burundi,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
12400,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),DOM,Dominican Republic,2021,2021,USD,US Dollar,6,Millions,,,183.58437317744,,
12403,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),KAZ,Kazakhstan,2021,2021,USD,US Dollar,6,Millions,,,63.961584415406,,
12408,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),AFG,Afghanistan,2021,2021,USD,US Dollar,6,Millions,,,,C,Non-publishable and confidential value
12469,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),BRB,Barbados,2021,2021,USD,US Dollar,6,Millions,,,48513.501251719,,
12691,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),TUV,Tuvalu,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
12716,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),VEN,Venezuela,2021,2021,USD,US Dollar,6,Millions,,,,C,Non-publishable and confidential value
12737,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),ZWE,Zimbabwe,2021,2021,USD,US Dollar,6,Millions,,,3.0227051348006,,
12774,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),EGY,Egypt,2021,2021,USD,US Dollar,6,Millions,,,30.050740605227,,
12826,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),BEL,Belgium,2021,2021,USD,US Dollar,6,Millions,,,170520.46354883,,
12946,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),CZE,Czech Republic,2021,2021,USD,US Dollar,6,Millions,,,2292.0497166437,,
12960,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),CAF,Central African Republic,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
13102,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),TUN,Tunisia,2021,2021,USD,US Dollar,6,Millions,,,1.3703873149931,,
13136,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),STP,Sao Tome and Principe,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
13176,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),CUB,Cuba,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
13212,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),GRL,Greenland,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
