DATE,DATE_NAME,DATE_CODE,DATE_TYPE,DATE_TYPECODE,DATE_SORTORDER,GEOGRAPHY,GEOGRAPHY_NAME,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,GEOGRAPHY_SORTORDER,CELL,CELL_NAME,CELL_CODE,CELL_TYPE,CELL_TYPECODE,CELL_SORTORDER,MEASURES,MEASURES_NAME,OBS_VALUE,OBS_STATUS,OBS_STATUS_NAME,OBS_CONF,OBS_CONF_NAME,URN,RECORD_OFFSET,RECORD_COUNT
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957699,England,E92000001,countries,499,2,402724097,T01:61 (Aged 16-19 - Inactive : All People ),T01:61,T,1,3,20100,Value,1066500,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957699dd20100,62,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957699,England,E92000001,countries,499,2,402724097,T01:61 (Aged 16-19 - Inactive : All People ),T01:61,T,1,3,20701,Confidence,22400,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957699dd20701,63,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957699,England,E92000001,countries,499,2,402724353,T01:64 (Aged 20-24 - All : All People ),T01:64,T,1,4,20100,Value,3162800,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957699dd20100,64,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957699,England,E92000001,countries,499,2,402724353,T01:64 (Aged 20-24 - All : All People ),T01:64,T,1,4,20701,Confidence,38500,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957699dd20701,65,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957699,England,E92000001,countries,499,2,402725889,T01:82 (Aged 20-24 - Inactive : All People ),T01:82,T,1,5,20100,Value,765600,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957699dd20100,66,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957699,England,E92000001,countries,499,2,402725889,T01:82 (Aged 20-24 - Inactive : All People ),T01:82,T,1,5,20701,Confidence,19000,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957699dd20701,67,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957699,England,E92000001,countries,499,2,402726145,T01:85 (Aged 25-34 - All : All People ),T01:85,T,1,6,20100,Value,6727000,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957699dd20100,68,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957699,England,E92000001,countries,499,2,402726145,T01:85 (Aged 25-34 - All : All People ),T01:85,T,1,6,20701,Confidence,56200,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957699dd20701,69,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957699,England,E92000001,countries,499,2,402727681,T01:103 (Aged 25-34 - Inactive : All People ),T01:103,T,1,7,20100,Value,1123400,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957699dd20100,70,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957699,England,E92000001,countries,499,2,402727681,T01:103 (Aged 25-34 - Inactive : All People ),T01:103,T,1,7,20701,Confidence,23000,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957699dd20701,71,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957699,England,E92000001,countries,499,2,402727937,T01:106 (Aged 35-49 - All : All People ),T01:106,T,1,8,20100,Value,10974600,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957699dd20100,72,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957699,England,E92000001,countries,499,2,402727937,T01:106 (Aged 35-49 - All : All People ),T01:106,T,1,8,20701,Confidence,71800,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957699dd20701,73,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957699,England,E92000001,countries,499,2,402729473,T01:124 (Aged 35-49 - Inactive : All People ),T01:124,T,1,9,20100,Value,1667600,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957699dd20100,74,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957699,England,E92000001,countries,499,2,402729473,T01:124 (Aged 35-49 - Inactive : All People ),T01:124,T,1,9,20701,Confidence,28000,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957699dd20701,75,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957699,England,E92000001,countries,499,2,402729729,T01:127 (Aged 50+ - All : All People ),T01:127,T,1,10,20100,Value,16452900,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957699dd20100,76,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957699,England,E92000001,countries,499,2,402729729,T01:127 (Aged 50+ - All : All People ),T01:127,T,1,10,20701,Confidence,87900,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957699dd20701,77,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957699,England,E92000001,countries,499,2,402731265,T01:145 (Aged 50+ - Inactive : All People ),T01:145,T,1,11,20100,Value,10086700,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957699dd20100,78,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957699,England,E92000001,countries,499,2,402731265,T01:145 (Aged 50+ - Inactive : All People ),T01:145,T,1,11,20701,Confidence,68800,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957699dd20701,79,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957699,England,E92000001,countries,499,2,402731521,T01:148 (Aged 50-64 - All : All People ),T01:148,T,1,12,20100,Value,8798600,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957699dd20100,80,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957699,England,E92000001,countries,499,2,402731521,T01:148 (Aged 50-64 - All : All People ),T01:148,T,1,12,20701,Confidence,64300,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957699dd20701,81,3920
2005-03,Apr 2004-Mar 2005,2005-03,date,0,0,2092957699,England,E92000001,countries,499,2,402733057,T01:166 (Aged 50-64 - Inactive : All People ),T01:166,T,1,13,20100,Value,2927000,A,Normal Value,F,Free (free for publication),Nm-17d1d32083e0d2092957699dd20100,82,3920
