"ID","Constituency","County","Region_or_Country","Country","ElectorateSize","Turnout","PartyNameWinner","PartyNameRunnerUp","WinMargin","GE_ElectionYear","VoteShare_CON","VoteShare_LAB","VoteShare_LIBDEM","VoteShare_SNP","VoteShare_GREEN","VoteShare_PLAID_CYMRU","VoteShare_UKIP","VoteShare_OTHER","ENOP","VoteShare_Remaining","ShareMuslimReligion"
"E14000769","KETTERING","Northamptonshire","East Midlands","England",73164,0.674662402274343,"CON","LAB",0.339640606956909,2019,0.603452118068921,0.263811511112012,0.0682117461153542,0,0.0312594963635259,0,0,0.0332651283401876,2.27021177807658,0.0645246247037135,0.0143444365698086
"E14000770","KINGSTON AND SURBITON","London","London","England",81975,0.742250686184812,"LIBDEM","CON",0.172386023732045,2019,0.338789731453177,0.107287249778128,0.511175755185222,0,0.017059461591559,0,0.0129507280675804,0.0127370739243336,2.57592096590201,0.042747263583473,0.0764423038201016
"E14000771","KINGSTON UPON HULL EAST","Humberside","Yorkshire and The Humber","England",65745,0.493451973534109,"LAB","CON",0.0381912335860921,2019,0.35367733185377,0.391868565439862,0.0526169779914925,0,0.0241662043030639,0,0.177670920411812,0,3.1890995514931,0.201837124714876,0.0116960345186337
"E14000772","KINGSTON UPON HULL NORTH","Humberside","Yorkshire and The Humber","England",65515,0.522063649545906,"LAB","CON",0.221998070344707,2019,0.27599918135836,0.497997251703067,0.0609303277490279,0,0.0255825512381955,0,0.139490687951349,0,2.87355137236608,0.165073239189545,0.0356357585721926
"E14000773","KINGSTON UPON HULL WEST AND HESSLE","Humberside","Yorkshire and The Humber","England",60192,0.520933014354067,"LAB","CON",0.0910830463069269,2019,0.335757111876515,0.426840158183442,0.0560020410766679,0,0.00159459114682995,0,0.179806097716545,0,3.02668602204903,0.181400688863375,0.0526269119929062
"E14000774","KINGSWOOD","Avon","South West","England",68972,0.714985791335614,"CON","LAB",0.227521596301253,2019,0.561949953360101,0.334428357058847,0.0693717808330292,0,0.024333860566979,0,0,0.00991604818104392,2.3087597458319,0.0342499087480229,0.0131622136151776
"E14000775","KNOWSLEY","Merseyside","North West","England",84082,0.653385980352513,"LAB","CON",0.727037751647312,2019,0.0806727583821763,0.807710510029488,0.0203320106301649,0,0.0229713495212785,0,0.0609414248789545,0.00737194655793804,1.50690091669824,0.091284720958171,0.0063372948906682
"E14000776","LANCASTER AND FLEETWOOD","Lancashire","North West","England",70059,0.645441699139297,"LAB","CON",0.0526327428735708,2019,0.415842897896902,0.468475640770473,0.044627258453305,0,0.0308719785930693,0,0.0401822242862514,0,2.51918342982001,0.0710542028793206,0.025630256744659
"E14000777","LEEDS CENTRAL","West Yorkshire","Yorkshire and The Humber","England",90971,0.541755064800871,"LAB","CON",0.390999107215323,2019,0.226097719340963,0.617096826556286,0.0475407840272705,0,0.0427116305494684,0,0.060851391932473,0.00570164759353949,2.27402717771224,0.109264670075481,0.133151619295924
"E14000778","LEEDS EAST","West Yorkshire","Yorkshire and The Humber","England",67286,0.580388193680706,"LAB","CON",0.141631670593055,2019,0.356780702652873,0.498412373245929,0.045989962101813,0,0.0224828433883028,0,0.0763341186110827,0,2.60311717581104,0.0988169619993854,0.140110021069893
"E14000779","LEEDS NORTH EAST","West Yorkshire","Yorkshire and The Humber","England",70580,0.715500141683196,"LAB","CON",0.33839603960396,2019,0.236336633663366,0.574732673267327,0.112178217821782,0,0.0382376237623762,0,0.035029702970297,0.00348514851485149,2.49092093626582,0.0767524752475248,0.135537533790809
"E14000780","LEEDS NORTH WEST","West Yorkshire","Yorkshire and The Humber","England",67741,0.727520999099511,"LAB","CON",0.218107663900331,2019,0.268287239007366,0.486394902907696,0.190674269017714,0,0.0281841608668303,0,0.0264594282003936,0,2.88675961426426,0.054643589067224,0.0472848425174313
"E14000781","LEEDS WEST","West Yorkshire","Yorkshire and The Humber","England",67727,0.594755415122477,"LAB","CON",0.262257640078449,2019,0.288523125046548,0.550780765124997,0.0443633474839254,0,0.031627814602418,0,0.0666567364266031,0.0180482113155086,2.53586776622669,0.11633276234453,0.0589803129732458
"E14000782","LEICESTER EAST","Leicestershire","East Midlands","England",78433,0.630104675327987,"LAB","CON",0.121790332045082,2019,0.385888589870703,0.507678921915785,0.0566560773760142,0,0.0179680702535359,0,0.0251512514922806,0.00665708909168167,2.43393357188176,0.0497764108374982,0.258879974830895
"E14000783","LEICESTER SOUTH","Leicestershire","East Midlands","England",77708,0.645326092551603,"LAB","CON",0.452170618381957,2019,0.217979141324506,0.670149759706463,0.054918539493888,0,0.0332821504775959,0,0.0236704089975472,0,1.99481490844885,0.0569525594751431,0.320320905646255
"E14000784","LEICESTER WEST","Leicestershire","East Midlands","England",64940,0.535494302433015,"LAB","CON",0.121121495327103,2019,0.376103522645579,0.497225017972682,0.0519913731128684,0,0.0280948957584472,0,0.0465851905104242,0,2.53582368089243,0.0746800862688713,0.10995846955907
