"ID","Constituency","County","Region_or_Country","Country","ElectorateSize","Turnout","PartyNameWinner","PartyNameRunnerUp","WinMargin","GE_ElectionYear","VoteShare_CON","VoteShare_LAB","VoteShare_LIBDEM","VoteShare_SNP","VoteShare_GREEN","VoteShare_PLAID_CYMRU","VoteShare_UKIP","VoteShare_OTHER","ENOP","VoteShare_Remaining"
"S14000004","ANGUS",NA,"Scotland","Scotland",62860,0.603881641743557,"SNP","CON",0.0864594309799789,2010,0.309220231822972,0.172154899894626,0.107744994731296,0.39567966280295,0,0,0.015200210748156,0,3.4053347415331,0.015200210748156
"S14000005","ARGYLL AND BUTE",NA,"Scotland","Scotland",67165,0.673073773542768,"LIBDEM","CON",0.075895325945097,2010,0.240250403698542,0.227265688941978,0.316145729643639,0.18941756807574,0.0174530493065233,0,0,0.00946756033357666,4.07180496215509,0.0269206096401
"S14000006","AYR, CARRICK AND CUMNOCK",NA,"Scotland","Scotland",73320,0.625927441352973,"LAB","CON",0.215958860828449,2010,0.255398426775325,0.471357287603774,0.0929117730372824,0.180332512583618,0,0,0,0,3.04359837518121,0
"S14000007","BANFF AND BUCHAN",NA,"Scotland","Scotland",64300,0.598227060653188,"SNP","CON",0.104689855976707,2010,0.307830291686164,0.139915769770707,0.113476836686944,0.412520147662871,0,0,0,0.0262569541933136,3.35485806413782,0.0262569541933136
"S14000008","BERWICKSHIRE, ROXBURGH AND SELKIRK",NA,"Scotland","Scotland",73826,0.66391244277084,"LIBDEM","CON",0.115783245603297,2010,0.337760639817195,0.102072877137144,0.453543885420492,0.0917492961194761,0,0,0.0121393887460726,0.0027339127596197,2.95180339311024,0.0148733015056923
"S14000009","CAITHNESS, SUTHERLAND AND EASTER ROSS",NA,"Scotland","Scotland",47263,0.608679093582718,"LIBDEM","LAB",0.167755839822024,2010,0.130144605116796,0.246141546162403,0.413897385984427,0.191740823136819,0,0,0,0.0180756395995551,3.49741334837715,0.0180756395995551
"S14000010","CENTRAL AYRSHIRE",NA,"Scotland","Scotland",68352,0.642483029026217,"LAB","CON",0.273414550836844,2010,0.203643402026642,0.477057952863486,0.119230331321872,0.19045884094273,0,0,0,0.00960947284526927,3.12854200280072,0.00960947284526927
"S14000011","COATBRIDGE, CHRYSTON AND BELLSHILL",NA,"Scotland","Scotland",70067,0.594216963763255,"LAB","SNP",0.49751411072415,2010,0.0810375885673112,0.665978143388976,0.084520235378888,0.168464032664825,0,0,0,0,2.05923268013373,0
"S14000012","CUMBERNAULD, KILSYTH AND KIRKINTILLOCH EAST",NA,"Scotland","Scotland",64037,0.642597248465731,"LAB","SNP",0.334264884568651,2010,0.0827946537059538,0.572272174969623,0.0953584447144593,0.238007290400972,0,0,0,0.0115674362089915,2.49859512884923,0.0115674362089915
"S14000013","DUMFRIES AND GALLOWAY",NA,"Scotland","Scotland",74584,0.699520004290464,"LAB","CON",0.142774998562475,2010,0.316274701473942,0.459049700036417,0.0883215456270485,0.123032986410596,0,0,0.0133210664519962,0,2.99516362655588,0.0133210664519962
"S14000014","DUMFRIESSHIRE, CLYDESDALE AND TWEEDDALE",NA,"Scotland","Scotland",66627,0.68878982994882,"CON","LAB",0.0913884772945176,2010,0.38039309683605,0.289004619541532,0.197855835439728,0.107752985269764,0.0111130480257997,0,0.0138804148871263,0,3.58042590753974,0.024993462912926
"S14000015","DUNDEE EAST",NA,"Scotland","Scotland",65471,0.619633120007332,"SNP","LAB",0.0448875961348846,2010,0.152262867284559,0.33348944981266,0.105625123249852,0.378377045947545,0.0133602839676592,0,0.0106241372510353,0.00626109248668902,3.45954179777194,0.0302455137053836
"S14000016","DUNDEE WEST",NA,"Scotland","Scotland",63013,0.589180010474029,"LAB","SNP",0.196035123633033,2010,0.0932230781662447,0.484673813499973,0.114017130851694,0.28863868986694,0,0,0,0.0194472876151484,2.93867303053296,0.0194472876151484
"S14000017","DUNFERMLINE AND WEST FIFE",NA,"Scotland","Scotland",73590,0.665131131947275,"LAB","LIBDEM",0.11175352932764,2010,0.067522013606554,0.462520685639569,0.350767156311929,0.106257789037122,0,0,0.0129323554048256,0,2.83302034888079,0.0129323554048256
"S14000018","EAST DUNBARTONSHIRE",NA,"Scotland","Scotland",63795,0.751594952582491,"LIBDEM","LAB",0.0455493451238842,2010,0.154980395428381,0.341348961374823,0.386898306498707,0.105405856344373,0,0,0.0113664803537165,0,3.31710244811813,0.0113664803537165
"S14000019","EAST KILBRIDE, STRATHAVEN AND LESMAHAGOW",NA,"Scotland","Scotland",76534,0.665664933232289,"LAB","SNP",0.284673968515683,2010,0.129804106308641,0.515074785066541,0.0991638205158403,0.230400816550858,0.0196875122678915,0,0,0.00586895929022887,2.89442987352422,0.0255564715581204
"S14000020","EAST LOTHIAN",NA,"Scotland","Scotland",73348,0.670243224082456,"LAB","CON",0.24934399218893,2010,0.196517564736275,0.445861556925205,0.168588922113057,0.16035068448567,0.0175342242834767,0,0.011147047456317,0,3.42491612061996,0.0286812717397937
"S14000021","EAST RENFREWSHIRE",NA,"Scotland","Scotland",66249,0.772555057434829,"LAB","CON",0.203591176413122,2010,0.304155839080909,0.507747015494031,0.0922217229049843,0.0886071002911237,0,0,0.00726832222895215,0,2.72682627816813,0.00726832222895215
"S14000022","EDINBURGH EAST",NA,"Scotland","Scotland",60945,0.654114365411437,"LAB","SNP",0.230302270161796,2010,0.109318951461181,0.43431581587859,0.194431205317948,0.204013545716794,0.051047284585476,0,0,0.00687319704001003,3.53783246013593,0.057920481625486
"S14000023","EDINBURGH NORTH AND LEITH",NA,"Scotland","Scotland",69207,0.684266042452353,"LAB","LIBDEM",0.0364051017822452,2010,0.14948475377988,0.374609342005237,0.338204240222992,0.0964608497339302,0.0224258805642368,0,0,0.0188149336937241,3.48163258894595,0.041240814257961
"S14000024","EDINBURGH SOUTH",NA,"Scotland","Scotland",59362,0.737862605707355,"LAB","LIBDEM",0.00721444715874064,2010,0.215794159950686,0.34736649848177,0.340152051323029,0.0765735942101779,0.0201136960343371,0,0,0,3.45778957836205,0.0201136960343371
"S14000025","EDINBURGH SOUTH WEST",NA,"Scotland","Scotland",66361,0.68507105076777,"LAB","CON",0.185803528221372,2010,0.242532224715147,0.428335752936518,0.180238440895693,0.121640051031631,0.0191808543398883,0,0,0.0080726760811227,3.44817279579435,0.027253530421011
"S14000026","EDINBURGH WEST",NA,"Scotland","Scotland",65159,0.712825549808929,"LIBDEM","LAB",0.0818782698559649,2010,0.23181260361272,0.277326845652034,0.359205115507998,0.131655435227248,0,0,0,0,3.60999451485351,0
"S14000027","NA H-EILEANAN AN IAR",NA,"Scotland","Scotland",21780,0.675711662075298,"SNP","LAB",0.128083169124142,2010,0.0439627641503024,0.328735475980159,0.0745396480260923,0.456818645104301,0,0,0,0.0959434667391452,2.99900145020679,0.0959434667391452
"S14000028","FALKIRK",NA,"Scotland","Scotland",81869,0.620222550660201,"LAB","SNP",0.1544596963192,2010,0.112216160860232,0.457037635149773,0.102900919707742,0.302577938830573,0,0,0.0252673454516809,0,3.08398004130618,0.0252673454516809
"S14000029","GLASGOW CENTRAL",NA,"Scotland","Scotland",60105,0.508776308127444,"LAB","SNP",0.345029431000654,2010,0.0705689993459778,0.520209287115762,0.16383257030739,0.175179856115108,0.026160889470242,0,0.00804447351209941,0.0360039241334205,2.98354128794646,0.0702092871157619
"S14000030","GLASGOW EAST",NA,"Scotland","Scotland",61865,0.519906247474339,"LAB","SNP",0.368113418729014,2010,0.0451747295112548,0.615501803258301,0.0502735978112175,0.247388384529287,0,0,0.00649794801641587,0.0351635368735232,2.24270373354843,0.0416614848899391
"S14000031","GLASGOW NORTH",NA,"Scotland","Scotland",51490,0.575121382792775,"LAB","LIBDEM",0.131631378110965,2010,0.0705433424509506,0.445108567183332,0.313477189072367,0.119204403471448,0.0319791983250599,0,0,0.0196872994968426,3.1547144873634,0.0516664978219025
"S14000032","GLASGOW NORTH EAST",NA,"Scotland","Scotland",59861,0.491288150882879,"LAB","SNP",0.54207895542181,2010,0.0533510149954096,0.68346424563909,0.076915230031623,0.14138529021728,0,0,0,0.044884219116597,2.00847555839918,0.044884219116597
