"ID","Constituency","County","Region_or_Country","Country","ElectorateSize","Turnout","PartyNameWinner","PartyNameRunnerUp","WinMargin","GE_ElectionYear","VoteShare_CON","VoteShare_LAB","VoteShare_LIBDEM","VoteShare_GREEN","VoteShare_SNP","VoteShare_PLAID_CYMRU","VoteShare_UKIP","VoteShare_OTHER","ENOP","VoteShare_Remaining"
"W07000065","PRESELI PEMBROKESHIRE",NA,"Wales","Wales",58554,0.720651022987328,"CON","LAB",0.0074412872953053,2017,0.433727516174136,0.42628622887883,0.0262103941038462,0,0,0.0642462734317606,0.020143612105126,0.0293859753063014,2.66011656389663,0.0495295874114274
"W07000066","CARMARTHEN WEST AND SOUTH PEMBROKESHIRE",NA,"Wales","Wales",58565,0.721010842653462,"CON","LAB",0.0736513048832473,2017,0.468218633069673,0.394567328186425,0.0226400795718278,0,0,0.0931416662719651,0.0214322929001089,0,2.60037884105516,0.0214322929001089
"W07000067","CARMARTHEN EAST AND DINEFWR",NA,"Wales","Wales",55976,0.732974846362727,"PLAID_CYMRU","LAB",0.0952497014306954,2017,0.26269224207268,0.297813741499915,0.022423164103439,0,0,0.39306344293061,0.0240074093933559,0,3.19205038662343,0.0240074093933559
"W07000068","BRECON AND RADNORSHIRE",NA,"Wales","Wales",56010,0.737975361542582,"CON","LIBDEM",0.19446460540959,2017,0.485822809309527,0.177456815212658,0.291358203899937,0,0,0.0314269124691537,0.0139352591087241,0,2.82816492528581,0.0139352591087241
"W07000069","NEATH",NA,"Wales","Wales",55862,0.68534961154273,"LAB","CON",0.329920334334596,2017,0.237220843672457,0.567141178007052,0.0191197596970093,0,0,0.139454094292804,0.0370641243306778,0,2.5055773939678,0.0370641243306778
"W07000070","CYNON VALLEY",NA,"Wales","Wales",51334,0.61951143491643,"LAB","CON",0.416263128105151,2017,0.193887176907113,0.610150305012263,0.0183950694924848,0,0,0.137601408716433,0.0399660398717062,0,2.32155677324399,0.0399660398717062
"W07000071","MERTHYR TYDFIL AND RHYMNEY",NA,"Wales","Wales",55463,0.604817626165191,"LAB","CON",0.486928007154568,2017,0.181040393501267,0.667968400655835,0.0250708004173498,0,0,0.0816813235951707,0.0442390818303771,0,2.04827837867235,0.0442390818303771
"W07000072","BLAENAU GWENT",NA,"Wales","Wales",51227,0.632166630878248,"LAB","PLAID_CYMRU",0.367681571146245,2017,0.147696393280632,0.580132164031621,0.00910943675889328,0,0,0.212450592885375,0.0300457015810277,0.0205657114624506,2.4696755866016,0.0506114130434783
"W07000073","BRIDGEND",NA,"Wales","Wales",62185,0.695585752191043,"LAB","CON",0.108657958617501,2017,0.397942434400647,0.506600393018148,0.0212460987169113,0,0,0.0412206681308519,0.0180557161021847,0.0149346896312565,2.3940527898233,0.0329904057334412
"W07000074","OGMORE",NA,"Wales","Wales",57125,0.65127352297593,"LAB","CON",0.372836254166219,2017,0.251424578002365,0.624260832168584,0.0159660251585851,0,0,0.0751532093323299,0.0331953553381357,0,2.17428760965053,0.0331953553381357
"W07000075","PONTYPRIDD",NA,"Wales","Wales",60564,0.658708143451555,"LAB","CON",0.286960445179726,2017,0.267082769338748,0.554043214518474,0.0492053942948814,0,0,0.102822479570863,0.0268461422770341,0,2.55094597702862,0.0268461422770341
"W07000076","CAERPHILLY",NA,"Wales","Wales",64381,0.641447010764045,"LAB","CON",0.292466765140325,2017,0.252149066518149,0.544615831658474,0.0175557546553018,0.0108240308012689,0,0.144368840351599,0.0304864760152069,0,2.61518102398867,0.0413105068164758
"W07000077","ISLWYN",NA,"Wales","Wales",56256,0.641584897610922,"LAB","CON",0.316183193417006,2017,0.272241154794559,0.588424348211565,0.0189787493419777,0,0,0.0758872911644917,0.0444684564874075,0,2.33396751736174,0.0444684564874075
"W07000078","VALE OF GLAMORGAN",NA,"Wales","Wales",73959,0.726321340202004,"CON","LAB",0.0407684575002792,2017,0.474719833203023,0.433951375702744,0.0189880486987602,0.00779999255370639,0,0.0427231095722104,0.0161584571279646,0.00565918314159127,2.40261892053237,0.0296176328232622
"W07000079","CARDIFF WEST",NA,"Wales","Wales",66775,0.69830026207413,"LAB","CON",0.269167256428403,2017,0.297540157412769,0.566707413841172,0.0260352999206502,0,0,0.0947479036651011,0.014969225160308,0,2.38341230096666,0.014969225160308
"W07000080","CARDIFF SOUTH AND PENARTH",NA,"Wales","Wales",76499,0.663224355873933,"LAB","CON",0.292967518133081,2017,0.301915799432356,0.594883317565437,0.0281851151056449,0.010485651214128,0,0.0426127404604226,0.0185666982024598,0.00335067801955219,2.23156775008316,0.03240302743614
