area_code,area_name,median_income,25th_percentile,75th_percentile,country
S92000003,Scotland ,29842,20202,42542,Scotland
S12000033,Aberdeen City,29958,21159,41847,Scotland
S12000034,Aberdeenshire,29666,19122,43233,Scotland
S12000041,Angus,28856,21162,40433,Scotland
S12000035,Argyll and Bute,26121,15881,37789,Scotland
S12000005,Clackmannanshire,x,x,x,Scotland
S12000006,Dumfries and Galloway,25893,17435,36108,Scotland
S12000042,Dundee City,27247,20102,35218,Scotland
S12000008,East Ayrshire,28445,x,x,Scotland
S12000045,East Dunbartonshire,35572,22954,49426,Scotland
S12000010,East Lothian,30001,21856,43526,Scotland
S12000011,East Renfrewshire,38762,24000,51616,Scotland
S12000036,City of Edinburgh,32240,22157,47578,Scotland
S12000014,Falkirk,30316,21662,40655,Scotland
S12000047,Fife,28242,19500,41619,Scotland
S12000049,Glasgow City,28836,18586,41626,Scotland
S12000017,Highland,29049,19051,42101,Scotland
S12000018,Inverclyde,x,x,x,Scotland
S12000019,Midlothian,30599,22632,44375,Scotland
S12000020,Moray,26750,14142,42574,Scotland
S12000013,Na h-Eileanan Siar,x,x,x,Scotland
S12000021,North Ayrshire,29885,20606,41290,Scotland
S12000050,North Lanarkshire,30480,20819,41590,Scotland
S12000023,Orkney Islands,x,x,x,Scotland
S12000048,Perth and Kinross,x,x,x,Scotland
S12000038,Renfrewshire,31009,21104,42931,Scotland
S12000026,Scottish Borders,27641,18293,37653,Scotland
S12000027,Shetland Islands,32705,x,x,Scotland
S12000028,South Ayrshire,27575,17671,45334,Scotland
S12000029,South Lanarkshire,32372,21336,44727,Scotland
S12000030,Stirling,30774,19918,x,Scotland
S12000039,West Dunbartonshire,29659,21633,43414,Scotland
S12000040,West Lothian,31788,21655,43456,Scotland
N92000002,Northern Ireland ,27173,18442,40308,Northern Ireland
