STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,SECTOR,Institutional sector,STANDARD_REVENUE,Revenue category,CTRY_SPECIFIC_REVENUE,Country-specific revenue category,UNIT_MEASURE,Unit of measure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,REVENUE_CODE,Revenue code,DECIMALS,Decimals,CURRENCY,Currency
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),Global Revenue Statistics - Comparative tax revenues,I,ESP,Spain,TAX_REV,Tax revenue,S1313,Local government,_T,Total tax revenue,_T,Total,XDC,National currency,A,Annual,2013,,32.696,,A,Normal value,9,Billions,TOTALTAX,,3,Three,EUR,Euro
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),Global Revenue Statistics - Comparative tax revenues,I,ESP,Spain,TAX_REV,Tax revenue,S1313,Local government,_T,Total tax revenue,_T,Total,XDC,National currency,A,Annual,2014,,34.058,,A,Normal value,9,Billions,TOTALTAX,,3,Three,EUR,Euro
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),Global Revenue Statistics - Comparative tax revenues,I,ESP,Spain,TAX_REV,Tax revenue,S1313,Local government,_T,Total tax revenue,_T,Total,XDC,National currency,A,Annual,2015,,35.004,,A,Normal value,9,Billions,TOTALTAX,,3,Three,EUR,Euro
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),Global Revenue Statistics - Comparative tax revenues,I,ESP,Spain,TAX_REV,Tax revenue,S1313,Local government,_T,Total tax revenue,_T,Total,XDC,National currency,A,Annual,2016,,36.063,,A,Normal value,9,Billions,TOTALTAX,,3,Three,EUR,Euro
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),Global Revenue Statistics - Comparative tax revenues,I,ESP,Spain,TAX_REV,Tax revenue,S1313,Local government,_T,Total tax revenue,_T,Total,XDC,National currency,A,Annual,2017,,37.321,,A,Normal value,9,Billions,TOTALTAX,,3,Three,EUR,Euro
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),Global Revenue Statistics - Comparative tax revenues,I,ESP,Spain,TAX_REV,Tax revenue,S1313,Local government,_T,Total tax revenue,_T,Total,XDC,National currency,A,Annual,2018,,38.916,,A,Normal value,9,Billions,TOTALTAX,,3,Three,EUR,Euro
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),Global Revenue Statistics - Comparative tax revenues,I,ESP,Spain,TAX_REV,Tax revenue,S1313,Local government,_T,Total tax revenue,_T,Total,XDC,National currency,A,Annual,2019,,39.698,,A,Normal value,9,Billions,TOTALTAX,,3,Three,EUR,Euro
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),Global Revenue Statistics - Comparative tax revenues,I,ESP,Spain,TAX_REV,Tax revenue,S1313,Local government,_T,Total tax revenue,_T,Total,XDC,National currency,A,Annual,2020,,36.466,,A,Normal value,9,Billions,TOTALTAX,,3,Three,EUR,Euro
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),Global Revenue Statistics - Comparative tax revenues,I,ESP,Spain,TAX_REV,Tax revenue,S1313,Local government,_T,Total tax revenue,_T,Total,XDC,National currency,A,Annual,2021,,39.998,,A,Normal value,9,Billions,TOTALTAX,,3,Three,EUR,Euro
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),Global Revenue Statistics - Comparative tax revenues,I,ESP,Spain,TAX_REV,Tax revenue,S1313,Local government,_T,Total tax revenue,_T,Total,XDC,National currency,A,Annual,2022,,41.219,,A,Normal value,9,Billions,TOTALTAX,,3,Three,EUR,Euro
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),Global Revenue Statistics - Comparative tax revenues,I,ESP,Spain,TAX_REV,Tax revenue,S1313,Local government,_T,Total tax revenue,_T,Total,XDC,National currency,A,Annual,2023,,42.887,,A,Normal value,9,Billions,TOTALTAX,,3,Three,EUR,Euro
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),Global Revenue Statistics - Comparative tax revenues,I,ESP,Spain,TAX_REV,Tax revenue,S1313,Local government,_T,Total tax revenue,_T,Total,XDC,National currency,A,Annual,2024,,43.797,,A,Normal value,9,Billions,TOTALTAX,,3,Three,EUR,Euro
