SDZ,Area,Count,Population,Value
N21000464,Erne_East_C,612,9490,0.3224446786090622
N21000465,Erne_East_D,1089,15100,0.3605960264900662
N21000466,Erne_East_E,840,13885,0.30248469571480013
N21000467,Erne_East_F,880,12820,0.34321372854914195
N21000468,Erne_West_A,804,11360,0.35387323943661975
N21000469,Erne_West_B,580,7875,0.3682539682539683
N21000470,Erne_West_C,953,14570,0.32704186684969117
N21000471,Erne_West_D,765,13415,0.28512858740216174
N21000472,Erne_West_E,655,12495,0.2621048419367747
N21000473,Erne_West_F,781,13585,0.2874493927125506
N21000474,Enniskillen_A,719,9585,0.37506520605112154
N21000475,Enniskillen_B,1125,13330,0.42198049512378094
N21000476,Enniskillen_C,683,11130,0.3068283917340521
N21000477,Enniskillen_D,744,12390,0.30024213075060535
N21000478,Enniskillen_E,661,8035,0.41132545115121344
N21000479,Enniskillen_F,817,11700,0.3491452991452991
N21000480,Enniskillen_G,839,14500,0.2893103448275862
N21000481,Enniskillen_H,911,11585,0.39318083728959863
N21000482,Erne_North_A,801,11415,0.3508541392904074
N21000483,Erne_North_B,959,12670,0.3784530386740332
N21000484,Erne_North_C,530,8995,0.2946081156197888
N21000485,Erne_North_D,835,11625,0.35913978494623655
N21000486,Erne_North_E,453,6820,0.3321114369501466
N21000487,Erne_North_F,709,13225,0.26805293005671077
N21000488,Erne_North_G,708,10670,0.33177132146204313
N21000489,West_Tyrone_A,724,12490,0.2898318654923939
N21000490,West_Tyrone_B,546,8430,0.3238434163701068
N21000491,West_Tyrone_C,827,14770,0.27995937711577523
N21000492,West_Tyrone_D,524,6085,0.4305669679539852
N21000493,West_Tyrone_E,789,13860,0.2846320346320346
N21000494,West_Tyrone_F,737,14330,0.25715282623866015
N21000495,West_Tyrone_G,793,13050,0.30383141762452104
N21000496,Omagh_A,1116,16055,0.3475552787293678
N21000497,Omagh_B,503,6155,0.40861088545897645
N21000498,Omagh_C,1005,13745,0.3655874863586759
N21000499,Omagh_D,812,8350,0.4862275449101796
N21000500,Omagh_E,905,11675,0.3875802997858672
N21000501,Omagh_F,712,8835,0.4029428409734013
N21000502,Omagh_G,887,12340,0.3594003241491086
N21000503,Omagh_H,1061,15240,0.3480971128608924
N21000504,Mid_Tyrone_A,825,14815,0.27843401957475533
N21000505,Mid_Tyrone_B,925,14390,0.32140375260597637
N21000506,Mid_Tyrone_C,465,9890,0.23508594539939331
N21000507,Mid_Tyrone_D,835,13805,0.3024266570083303
N21000508,Mid_Tyrone_E,930,15380,0.3023407022106632
N21000509,Mid_Tyrone_F,558,9070,0.30760749724366043
N21000510,Mid_Tyrone_G,648,10600,0.30566037735849055
N21000511,Downshire_West_A,861,13285,0.3240496800903274
N21000512,Downshire_West_B,755,14000,0.26964285714285713
N21000513,Downshire_West_C,831,13295,0.31252350507709664
N21000514,Downshire_West_D,627,11160,0.2809139784946237
N21000515,Downshire_West_E,596,8965,0.33240379252649194
N21000516,Downshire_West_F,665,8580,0.38752913752913754
N21000517,Downshire_West_G,1028,16680,0.3081534772182254
N21000518,Killultagh_A,438,12205,0.17943465792707908
N21000519,Killultagh_B,688,13635,0.2522918958562523
N21000520,Killultagh_C,956,16065,0.2975412387177093
N21000521,Killultagh_D,387,11355,0.17040951122853368
N21000522,Killultagh_E,521,16220,0.16060419235511714
N21000523,Killultagh_F,473,11255,0.2101288316303865
N21000524,Killultagh_G,1199,13675,0.4383912248628885
N21000525,Killultagh_H,595,15675,0.18979266347687399
N21000526,Lisburn_South_A,528,7115,0.37104708362614197
N21000527,Lisburn_South_B,826,12295,0.33590890605937374
N21000528,Lisburn_South_C,1069,14175,0.3770723104056437
N21000529,Lisburn_South_D,740,10405,0.35559827006246997
N21000530,Lisburn_South_E,562,18050,0.1556786703601108
N21000531,Lisburn_South_F,566,6910,0.40955137481910275
N21000532,Lisburn_South_G,690,14550,0.23711340206185566
N21000533,Lisburn_South_H,908,13135,0.34564141606395127
N21000534,Lisburn_South_J,922,11775,0.3915074309978769
N21000535,Lisburn_South_K,887,13180,0.33649468892261003
N21000536,Lisburn_North_A,655,6945,0.4715622750179986
N21000537,Lisburn_North_B,408,8165,0.24984690753214941
N21000538,Lisburn_North_C,872,14550,0.29965635738831614
N21000539,Lisburn_North_D,559,10610,0.26343072573044296
N21000540,Lisburn_North_E,404,10060,0.20079522862823063
N21000541,Lisburn_North_F,1057,15180,0.3481554677206851
N21000542,Lisburn_North_G,1279,18580,0.3441872981700754
N21000543,Lisburn_North_H,848,10900,0.38899082568807336
N21000544,Lisburn_North_J,689,11130,0.30952380952380953
N21000545,Lisburn_North_K,828,11120,0.3723021582733813
N21000546,Downshire_East_A,1058,16320,0.3241421568627451
N21000547,Downshire_East_B,619,8645,0.35801041064198963
N21000548,Downshire_East_C,473,9150,0.25846994535519124
N21000549,Downshire_East_D,705,11855,0.2973428932939688
N21000550,Downshire_East_E,1071,16690,0.3208508088675854
N21000551,Downshire_East_F,633,10840,0.29197416974169743
N21000552,Downshire_East_G,583,10235,0.28480703468490476
N21000553,Castlereagh_South_A,778,13300,0.2924812030075188
N21000554,Castlereagh_South_B,929,15570,0.298330122029544
N21000555,Castlereagh_South_C,657,10605,0.3097595473833098
N21000556,Castlereagh_South_D,945,14140,0.3341584158415842
N21000557,Castlereagh_South_E,727,18095,0.20088422216081792
N21000558,Castlereagh_South_F,634,7860,0.40330788804071244
N21000559,Castlereagh_South_G,734,10940,0.33546617915904936
N21000560,Castlereagh_South_H,538,11650,0.23090128755364808
N21000561,Castlereagh_South_J,866,15285,0.2832842656198888
N21000562,Castlereagh_East_A,795,12595,0.31560142913854705
N21000563,Castlereagh_East_B,492,12390,0.19854721549636803
N21000564,Castlereagh_East_C,788,11875,0.3317894736842105
N21000565,Castlereagh_East_D,533,9645,0.2763089683773976
N21000566,Castlereagh_East_E,697,9770,0.35670419651995905
N21000567,Castlereagh_East_F,747,11020,0.338929219600726
N21000568,Castlereagh_East_G,816,11115,0.36707152496626183
N21000569,Castlereagh_East_H,361,12310,0.14662875710804224
N21000570,Castlereagh_East_J,778,10805,0.3600185099490976
N21000571,Castlereagh_East_K,472,7970,0.2961104140526976
N21000572,Bannside_A,750,11465,0.32708242477104227
N21000573,Bannside_B,996,13295,0.3745769086122603
N21000574,Bannside_C,621,11115,0.2793522267206478
N21000575,Bannside_D,455,6850,0.33211678832116787
N21000576,Bannside_E,846,14265,0.29652996845425866
N21000577,Bannside_F,622,9395,0.33102714209686
N21000578,Bannside_G,429,8290,0.258745476477684
N21000579,Bannside_H,649,11760,0.27593537414965985
N21000580,Bannside_J,690,12775,0.2700587084148728
N21000581,Ballymena_A,734,9615,0.38169526781071245
N21000582,Ballymena_B,1192,14590,0.40849897189856066
N21000583,Ballymena_C,854,12430,0.34352373290426386
N21000584,Ballymena_D,882,13555,0.3253412025082995
N21000585,Ballymena_E,818,13035,0.31377061756808594
N21000586,Ballymena_F,1144,13535,0.4226080531954193
N21000587,Ballymena_G,857,13105,0.32697443723769554
N21000588,Ballymena_H,831,11145,0.37281292059219384
N21000589,Ballymena_J,474,5855,0.40478223740392827
N21000590,Ballymena_K,785,14590,0.2690198766278273
N21000591,Braid_A,808,14550,0.27766323024054984
N21000592,Braid_B,608,10630,0.28598306679209784
N21000593,Braid_C,1005,17330,0.28995960761684936
N21000594,Braid_D,504,6860,0.3673469387755102
N21000595,Braid_E,643,8625,0.3727536231884058
N21000596,Braid_F,917,15895,0.28845548914753066
N21000597,Braid_G,964,11905,0.40487190256194877
N21000598,Braid_H,992,17130,0.28955049620548745
N21000599,Braid_J,448,5595,0.4003574620196604
N21000600,Braid_K,569,10600,0.26839622641509436
N21000601,Coast_Road_A,556,7375,0.3769491525423729
N21000602,Coast_Road_B,432,6225,0.3469879518072289
N21000603,Coast_Road_C,703,9450,0.37195767195767193
N21000604,Coast_Road_D,896,10730,0.4175209692451072
N21000605,Coast_Road_E,895,10050,0.445273631840796
N21000606,Coast_Road_F,563,12020,0.2341930116472546
N21000607,Coast_Road_G,750,9855,0.380517503805175
N21000608,Coast_Road_H,921,10370,0.44406943105110896
N21000609,Coast_Road_J,885,8950,0.49441340782122906
N21000610,Larne_Lough_A,523,6135,0.42624286878565604
N21000611,Larne_Lough_B,973,10915,0.445716903344022
N21000612,Larne_Lough_C,612,15240,0.20078740157480315
N21000613,Larne_Lough_D,676,11500,0.29391304347826086
N21000614,Larne_Lough_E,747,10325,0.3617433414043583
N21000615,Larne_Lough_F,817,12385,0.3298344771901494
N21000616,Larne_Lough_G,459,7440,0.3084677419354839
N21000617,Larne_Lough_H,526,6825,0.3853479853479853
N21000618,Larne_Lough_J,880,10860,0.40515653775322286
N21000619,Carrick_Castle_A,553,12195,0.2267322673226732
N21000620,Carrick_Castle_B,644,9510,0.33859095688748686
N21000621,Carrick_Castle_C,789,13460,0.29309063893016346
N21000622,Carrick_Castle_D,880,10980,0.4007285974499089
N21000623,Carrick_Castle_E,699,11915,0.29332773814519514
N21000624,Carrick_Castle_F,813,10335,0.39332365747460085
N21000625,Carrick_Castle_G,936,8965,0.5220301171221416
N21000626,Carrick_Castle_H,469,6685,0.3507853403141361
N21000627,Carrick_Castle_J,754,8105,0.4651449722393584
N21000628,Knockagh_A,500,7780,0.3213367609254499
N21000629,Knockagh_B,732,8585,0.42632498543972047
N21000630,Knockagh_C,721,11470,0.3142981691368788
N21000631,Knockagh_D,501,7250,0.34551724137931034
N21000632,Knockagh_E,543,7735,0.3510019392372334
N21000633,Knockagh_F,873,13520,0.3228550295857988
N21000634,Knockagh_G,610,11585,0.2632714717306862
N21000635,Knockagh_H,671,10000,0.3355
N21000636,Knockagh_J,510,8440,0.30213270142180093
N21000637,Carntogher_A,879,15110,0.29086697551290536
N21000638,Carntogher_B,771,14040,0.2745726495726496
N21000639,Carntogher_C,934,16910,0.2761679479597871
N21000640,Carntogher_D,1009,18605,0.2711636656812685
N21000641,Carntogher_E,613,11695,0.2620778110303549
N21000642,Carntogher_F,805,9480,0.42457805907172996
N21000643,Moyola_A,499,9670,0.2580144777662875
N21000644,Moyola_B,492,8010,0.30711610486891383
N21000645,Moyola_C,765,15090,0.2534791252485089
N21000646,Moyola_D,604,9360,0.32264957264957267
N21000647,Moyola_E,837,14605,0.2865457035261897
N21000648,Moyola_F,696,11725,0.29680170575692966
N21000649,Moyola_G,622,12485,0.2490989187024429
N21000650,Moyola_H,665,11990,0.2773144286905755
N21000651,Magherafelt_A,959,14480,0.331146408839779
N21000652,Magherafelt_B,1001,14295,0.35012242042672265
N21000653,Magherafelt_C,844,16580,0.2545235223160434
N21000654,Magherafelt_D,866,16655,0.25998198739117384
N21000655,Magherafelt_E,595,12045,0.24699045246990453
N21000656,Magherafelt_F,577,10705,0.26950023353573094
N21000657,Magherafelt_G,629,11570,0.2718236819360415
N21000658,Cookstown_A,850,15815,0.2687322162503952
N21000659,Cookstown_B,976,14570,0.33493479752916955
N21000660,Cookstown_C,906,12680,0.35725552050473186
N21000661,Cookstown_D,859,13680,0.31396198830409355
N21000662,Cookstown_E,692,11795,0.29334463755828744
N21000663,Cookstown_F,815,11300,0.3606194690265487
N21000664,Cookstown_G,707,9940,0.35563380281690143
N21000665,Cookstown_H,549,10500,0.2614285714285714
N21000666,Cookstown_J,724,14315,0.25288159273489347
N21000667,Cookstown_K,508,8490,0.2991755005889281
N21000668,Torrent_A,891,14365,0.31012878524190746
N21000669,Torrent_B,829,14745,0.2811122414377755
N21000670,Torrent_C,707,11675,0.30278372591006425
N21000671,Torrent_D,929,19060,0.243704092339979
N21000672,Torrent_E,622,11610,0.2678725236864772
N21000673,Torrent_F,986,18460,0.2670639219934995
N21000674,Torrent_G,638,11145,0.28622700762673847
N21000675,Torrent_H,1093,14045,0.3891064435742257
N21000676,Dungannon_A,914,16880,0.2707345971563981
N21000677,Dungannon_B,691,12045,0.28684101286841013
N21000678,Dungannon_C,392,6225,0.314859437751004
N21000679,Dungannon_D,659,14480,0.22755524861878454
N21000680,Dungannon_E,631,13385,0.23571161748225627
N21000681,Dungannon_F,1156,18740,0.3084311632870864
N21000682,Dungannon_G,723,13860,0.2608225108225108
N21000683,Dungannon_H,831,14140,0.29384724186704386
N21000684,Dungannon_J,432,9705,0.22256568778979907
N21000685,Dungannon_K,404,8745,0.23098913664951398
N21000686,Clogher_Valley_A,760,14635,0.2596515203279809
N21000687,Clogher_Valley_B,957,18165,0.2634186622625929
N21000688,Clogher_Valley_C,445,8540,0.2605386416861827
N21000689,Clogher_Valley_D,772,15415,0.25040544923775543
N21000690,Clogher_Valley_E,975,20385,0.23914643119941134
N21000691,Clogher_Valley_F,877,15385,0.2850178745531362
N21000692,Clogher_Valley_G,614,10695,0.2870500233754091
N21000693,Clogher_Valley_H,441,6765,0.3259423503325942
