start,end,date,value,series
2016-01-01,2016-03-01,2016-02-01,0.023,nominal_pay
2016-02-01,2016-04-01,2016-03-01,0.023,nominal_pay
2016-03-01,2016-05-01,2016-04-01,0.022,nominal_pay
2016-04-01,2016-06-01,2016-05-01,0.023,nominal_pay
2016-05-01,2016-07-01,2016-06-01,0.022,nominal_pay
2016-06-01,2016-08-01,2016-07-01,0.023,nominal_pay
2016-07-01,2016-09-01,2016-08-01,0.024,nominal_pay
2016-08-01,2016-10-01,2016-09-01,0.025,nominal_pay
2016-09-01,2016-11-01,2016-10-01,0.026,nominal_pay
2016-10-01,2016-12-01,2016-11-01,0.025,nominal_pay
2016-11-01,2017-01-01,2016-12-01,0.023,nominal_pay
2016-12-01,2017-02-01,2017-01-01,0.02,nominal_pay
2017-01-01,2017-03-01,2017-02-01,0.018,nominal_pay
2017-02-01,2017-04-01,2017-03-01,0.018,nominal_pay
2017-03-01,2017-05-01,2017-04-01,0.02,nominal_pay
2017-04-01,2017-06-01,2017-05-01,0.021,nominal_pay
2017-05-01,2017-07-01,2017-06-01,0.022,nominal_pay
2017-06-01,2017-08-01,2017-07-01,0.021,nominal_pay
2017-07-01,2017-09-01,2017-08-01,0.022,nominal_pay
2017-08-01,2017-10-01,2017-09-01,0.023,nominal_pay
2017-09-01,2017-11-01,2017-10-01,0.023,nominal_pay
2017-10-01,2017-12-01,2017-11-01,0.024,nominal_pay
2017-11-01,2018-01-01,2017-12-01,0.025,nominal_pay
2017-12-01,2018-02-01,2018-01-01,0.028,nominal_pay
2018-01-01,2018-03-01,2018-02-01,0.029,nominal_pay
2018-02-01,2018-04-01,2018-03-01,0.029,nominal_pay
2018-03-01,2018-05-01,2018-04-01,0.028,nominal_pay
2018-04-01,2018-06-01,2018-05-01,0.027,nominal_pay
2018-05-01,2018-07-01,2018-06-01,0.029,nominal_pay
2018-06-01,2018-08-01,2018-07-01,0.031,nominal_pay
2018-07-01,2018-09-01,2018-08-01,0.032,nominal_pay
2018-08-01,2018-10-01,2018-09-01,0.033,nominal_pay
2018-09-01,2018-11-01,2018-10-01,0.033,nominal_pay
2018-10-01,2018-12-01,2018-11-01,0.034,nominal_pay
2018-11-01,2019-01-01,2018-12-01,0.035,nominal_pay
2018-12-01,2019-02-01,2019-01-01,0.034,nominal_pay
2019-01-01,2019-03-01,2019-02-01,0.034,nominal_pay
2019-02-01,2019-04-01,2019-03-01,0.034,nominal_pay
2019-03-01,2019-05-01,2019-04-01,0.036,nominal_pay
2019-04-01,2019-06-01,2019-05-01,0.039,nominal_pay
2019-05-01,2019-07-01,2019-06-01,0.039,nominal_pay
2019-06-01,2019-08-01,2019-07-01,0.038,nominal_pay
2019-07-01,2019-09-01,2019-08-01,0.036,nominal_pay
2019-08-01,2019-10-01,2019-09-01,0.035,nominal_pay
2019-09-01,2019-11-01,2019-10-01,0.033,nominal_pay
2019-10-01,2019-12-01,2019-11-01,0.032,nominal_pay
2019-11-01,2020-01-01,2019-12-01,0.03,nominal_pay
2019-12-01,2020-02-01,2020-01-01,0.029,nominal_pay
2020-01-01,2020-03-01,2020-02-01,0.027,nominal_pay
2020-02-01,2020-04-01,2020-03-01,0.017,nominal_pay
2020-03-01,2020-05-01,2020-04-01,0.007,nominal_pay
2020-04-01,2020-06-01,2020-05-01,-0.002,nominal_pay
2020-05-01,2020-07-01,2020-06-01,0.002,nominal_pay
2020-06-01,2020-08-01,2020-07-01,0.009,nominal_pay
2020-07-01,2020-09-01,2020-08-01,0.019,nominal_pay
2020-08-01,2020-10-01,2020-09-01,0.028,nominal_pay
2020-09-01,2020-11-01,2020-10-01,0.036,nominal_pay
2020-10-01,2020-12-01,2020-11-01,0.041,nominal_pay
2020-11-01,2021-01-01,2020-12-01,0.043,nominal_pay
2020-12-01,2021-02-01,2021-01-01,0.044,nominal_pay
2021-01-01,2021-03-01,2021-02-01,0.046,nominal_pay
2021-02-01,2021-04-01,2021-03-01,0.057,nominal_pay
2021-03-01,2021-05-01,2021-04-01,0.066,nominal_pay
2021-04-01,2021-06-01,2021-05-01,0.073,nominal_pay
2021-05-01,2021-07-01,2021-06-01,0.068,nominal_pay
2021-06-01,2021-08-01,2021-07-01,0.06,nominal_pay
2021-07-01,2021-09-01,2021-08-01,0.05,nominal_pay
2021-08-01,2021-10-01,2021-09-01,0.043,nominal_pay
2021-09-01,2021-11-01,2021-10-01,0.038,nominal_pay
2021-10-01,2021-12-01,2021-11-01,0.037,nominal_pay
2021-11-01,2022-01-01,2021-12-01,0.038,nominal_pay
2021-12-01,2022-02-01,2022-01-01,0.041,nominal_pay
2022-01-01,2022-03-01,2022-02-01,0.043,nominal_pay
2022-02-01,2022-04-01,2022-03-01,0.042,nominal_pay
2022-03-01,2022-05-01,2022-04-01,0.044,nominal_pay
2022-04-01,2022-06-01,2022-05-01,0.047,nominal_pay
2022-05-01,2022-07-01,2022-06-01,0.052,nominal_pay
2022-06-01,2022-08-01,2022-07-01,0.054,nominal_pay
2022-07-01,2022-09-01,2022-08-01,0.057,nominal_pay
2022-08-01,2022-10-01,2022-09-01,0.061,nominal_pay
2022-09-01,2022-11-01,2022-10-01,0.065,nominal_pay
2022-10-01,2022-12-01,2022-11-01,0.067,nominal_pay
2022-11-01,2023-01-01,2022-12-01,0.066,nominal_pay
2022-12-01,2023-02-01,2023-01-01,0.067,nominal_pay
2023-01-01,2023-03-01,2023-02-01,0.068,nominal_pay
2023-02-01,2023-04-01,2023-03-01,0.073,nominal_pay
2023-03-01,2023-05-01,2023-04-01,0.075,nominal_pay
2023-04-01,2023-06-01,2023-05-01,0.078,nominal_pay
2023-05-01,2023-07-01,2023-06-01,0.079,nominal_pay
2023-06-01,2023-08-01,2023-07-01,0.078,nominal_pay
2004-12-01,2005-02-01,2005-01-01,0.017,inflation
2005-01-01,2005-03-01,2005-02-01,0.017,inflation
2005-02-01,2005-04-01,2005-03-01,0.02,inflation
2005-03-01,2005-05-01,2005-04-01,0.019,inflation
2005-04-01,2005-06-01,2005-05-01,0.019,inflation
2005-05-01,2005-07-01,2005-06-01,0.02,inflation
2005-06-01,2005-08-01,2005-07-01,0.023,inflation
2005-07-01,2005-09-01,2005-08-01,0.024,inflation
2005-08-01,2005-10-01,2005-09-01,0.025,inflation
2005-09-01,2005-11-01,2005-10-01,0.024,inflation
2005-10-01,2005-12-01,2005-11-01,0.022,inflation
2005-11-01,2006-01-01,2005-12-01,0.021,inflation
2005-12-01,2006-02-01,2006-01-01,0.022,inflation
2006-01-01,2006-03-01,2006-02-01,0.022,inflation
2006-02-01,2006-04-01,2006-03-01,0.02,inflation
2006-03-01,2006-05-01,2006-04-01,0.022,inflation
2006-04-01,2006-06-01,2006-05-01,0.024,inflation
2006-05-01,2006-07-01,2006-06-01,0.026,inflation
2006-06-01,2006-08-01,2006-07-01,0.025,inflation
2006-07-01,2006-09-01,2006-08-01,0.026,inflation
2006-08-01,2006-10-01,2006-09-01,0.025,inflation
2006-09-01,2006-11-01,2006-10-01,0.025,inflation
2006-10-01,2006-12-01,2006-11-01,0.028,inflation
2006-11-01,2007-01-01,2006-12-01,0.029,inflation
2006-12-01,2007-02-01,2007-01-01,0.027,inflation
2007-01-01,2007-03-01,2007-02-01,0.027,inflation
2007-02-01,2007-04-01,2007-03-01,0.029,inflation
2007-03-01,2007-05-01,2007-04-01,0.027,inflation
2007-04-01,2007-06-01,2007-05-01,0.025,inflation
2007-05-01,2007-07-01,2007-06-01,0.025,inflation
2007-06-01,2007-08-01,2007-07-01,0.02,inflation
2007-07-01,2007-09-01,2007-08-01,0.02,inflation
2007-08-01,2007-10-01,2007-09-01,0.02,inflation
2007-09-01,2007-11-01,2007-10-01,0.023,inflation
2007-10-01,2007-12-01,2007-11-01,0.022,inflation
2007-11-01,2008-01-01,2007-12-01,0.023,inflation
2007-12-01,2008-02-01,2008-01-01,0.024,inflation
2008-01-01,2008-03-01,2008-02-01,0.026,inflation
2008-02-01,2008-04-01,2008-03-01,0.026,inflation
2008-03-01,2008-05-01,2008-04-01,0.03,inflation
2008-04-01,2008-06-01,2008-05-01,0.033,inflation
2008-05-01,2008-07-01,2008-06-01,0.037,inflation
2008-06-01,2008-08-01,2008-07-01,0.042,inflation
2008-07-01,2008-09-01,2008-08-01,0.044,inflation
2008-08-01,2008-10-01,2008-09-01,0.048,inflation
2008-09-01,2008-11-01,2008-10-01,0.042,inflation
2008-10-01,2008-12-01,2008-11-01,0.038,inflation
2008-11-01,2009-01-01,2008-12-01,0.03,inflation
2008-12-01,2009-02-01,2009-01-01,0.029,inflation
2009-01-01,2009-03-01,2009-02-01,0.031,inflation
2009-02-01,2009-04-01,2009-03-01,0.028,inflation
2009-03-01,2009-05-01,2009-04-01,0.023,inflation
2009-04-01,2009-06-01,2009-05-01,0.021,inflation
2009-05-01,2009-07-01,2009-06-01,0.017,inflation
2009-06-01,2009-08-01,2009-07-01,0.016,inflation
2009-07-01,2009-09-01,2009-08-01,0.014,inflation
2009-08-01,2009-10-01,2009-09-01,0.01,inflation
2009-09-01,2009-11-01,2009-10-01,0.012,inflation
2009-10-01,2009-12-01,2009-11-01,0.015,inflation
2009-11-01,2010-01-01,2009-12-01,0.021,inflation
2009-12-01,2010-02-01,2010-01-01,0.026,inflation
2010-01-01,2010-03-01,2010-02-01,0.021,inflation
2010-02-01,2010-04-01,2010-03-01,0.024,inflation
2010-03-01,2010-05-01,2010-04-01,0.027,inflation
2010-04-01,2010-06-01,2010-05-01,0.025,inflation
2010-05-01,2010-07-01,2010-06-01,0.024,inflation
2010-06-01,2010-08-01,2010-07-01,0.023,inflation
2010-07-01,2010-09-01,2010-08-01,0.024,inflation
2010-08-01,2010-10-01,2010-09-01,0.024,inflation
2010-09-01,2010-11-01,2010-10-01,0.025,inflation
2010-10-01,2010-12-01,2010-11-01,0.026,inflation
2010-11-01,2011-01-01,2010-12-01,0.031,inflation
2010-12-01,2011-02-01,2011-01-01,0.034,inflation
2011-01-01,2011-03-01,2011-02-01,0.037,inflation
2011-02-01,2011-04-01,2011-03-01,0.035,inflation
2011-03-01,2011-05-01,2011-04-01,0.038,inflation
2011-04-01,2011-06-01,2011-05-01,0.038,inflation
2011-05-01,2011-07-01,2011-06-01,0.036,inflation
2011-06-01,2011-08-01,2011-07-01,0.038,inflation
2011-07-01,2011-09-01,2011-08-01,0.039,inflation
2011-08-01,2011-10-01,2011-09-01,0.045,inflation
2011-09-01,2011-11-01,2011-10-01,0.043,inflation
2011-10-01,2011-12-01,2011-11-01,0.041,inflation
2011-11-01,2012-01-01,2011-12-01,0.037,inflation
2011-12-01,2012-02-01,2012-01-01,0.032,inflation
2012-01-01,2012-03-01,2012-02-01,0.031,inflation
2012-02-01,2012-04-01,2012-03-01,0.031,inflation
2012-03-01,2012-05-01,2012-04-01,0.028,inflation
2012-04-01,2012-06-01,2012-05-01,0.025,inflation
2012-05-01,2012-07-01,2012-06-01,0.023,inflation
2012-06-01,2012-08-01,2012-07-01,0.024,inflation
2012-07-01,2012-09-01,2012-08-01,0.023,inflation
2012-08-01,2012-10-01,2012-09-01,0.021,inflation
2012-09-01,2012-11-01,2012-10-01,0.024,inflation
2012-10-01,2012-12-01,2012-11-01,0.024,inflation
2012-11-01,2013-01-01,2012-12-01,0.024,inflation
2012-12-01,2013-02-01,2013-01-01,0.024,inflation
2013-01-01,2013-03-01,2013-02-01,0.025,inflation
2013-02-01,2013-04-01,2013-03-01,0.025,inflation
2013-03-01,2013-05-01,2013-04-01,0.022,inflation
2013-04-01,2013-06-01,2013-05-01,0.024,inflation
2013-05-01,2013-07-01,2013-06-01,0.026,inflation
2013-06-01,2013-08-01,2013-07-01,0.025,inflation
2013-07-01,2013-09-01,2013-08-01,0.024,inflation
2013-08-01,2013-10-01,2013-09-01,0.024,inflation
2013-09-01,2013-11-01,2013-10-01,0.02,inflation
2013-10-01,2013-12-01,2013-11-01,0.019,inflation
2013-11-01,2014-01-01,2013-12-01,0.019,inflation
2013-12-01,2014-02-01,2014-01-01,0.018,inflation
2014-01-01,2014-03-01,2014-02-01,0.016,inflation
2014-02-01,2014-04-01,2014-03-01,0.015,inflation
2014-03-01,2014-05-01,2014-04-01,0.017,inflation
2014-04-01,2014-06-01,2014-05-01,0.015,inflation
2014-05-01,2014-07-01,2014-06-01,0.018,inflation
2014-06-01,2014-08-01,2014-07-01,0.016,inflation
2014-07-01,2014-09-01,2014-08-01,0.015,inflation
2014-08-01,2014-10-01,2014-09-01,0.013,inflation
2014-09-01,2014-11-01,2014-10-01,0.013,inflation
2014-10-01,2014-12-01,2014-11-01,0.011,inflation
2014-11-01,2015-01-01,2014-12-01,0.007,inflation
2014-12-01,2015-02-01,2015-01-01,0.005,inflation
2015-01-01,2015-03-01,2015-02-01,0.004,inflation
2015-02-01,2015-04-01,2015-03-01,0.003,inflation
2015-03-01,2015-05-01,2015-04-01,0.003,inflation
2015-04-01,2015-06-01,2015-05-01,0.004,inflation
2015-05-01,2015-07-01,2015-06-01,0.003,inflation
2015-06-01,2015-08-01,2015-07-01,0.005,inflation
2015-07-01,2015-09-01,2015-08-01,0.004,inflation
2015-08-01,2015-10-01,2015-09-01,0.002,inflation
2015-09-01,2015-11-01,2015-10-01,0.002,inflation
2015-10-01,2015-12-01,2015-11-01,0.004,inflation
2015-11-01,2016-01-01,2015-12-01,0.005,inflation
2015-12-01,2016-02-01,2016-01-01,0.006,inflation
2016-01-01,2016-03-01,2016-02-01,0.006,inflation
2016-02-01,2016-04-01,2016-03-01,0.008,inflation
2016-03-01,2016-05-01,2016-04-01,0.007,inflation
2016-04-01,2016-06-01,2016-05-01,0.007,inflation
2016-05-01,2016-07-01,2016-06-01,0.008,inflation
2016-06-01,2016-08-01,2016-07-01,0.009,inflation
2016-07-01,2016-09-01,2016-08-01,0.01,inflation
2016-08-01,2016-10-01,2016-09-01,0.013,inflation
2016-09-01,2016-11-01,2016-10-01,0.013,inflation
2016-10-01,2016-12-01,2016-11-01,0.015,inflation
2016-11-01,2017-01-01,2016-12-01,0.018,inflation
2016-12-01,2017-02-01,2017-01-01,0.019,inflation
2017-01-01,2017-03-01,2017-02-01,0.023,inflation
2017-02-01,2017-04-01,2017-03-01,0.023,inflation
2017-03-01,2017-05-01,2017-04-01,0.026,inflation
2017-04-01,2017-06-01,2017-05-01,0.027,inflation
2017-05-01,2017-07-01,2017-06-01,0.026,inflation
2017-06-01,2017-08-01,2017-07-01,0.026,inflation
2017-07-01,2017-09-01,2017-08-01,0.027,inflation
2017-08-01,2017-10-01,2017-09-01,0.028,inflation
2017-09-01,2017-11-01,2017-10-01,0.028,inflation
2017-10-01,2017-12-01,2017-11-01,0.028,inflation
2017-11-01,2018-01-01,2017-12-01,0.027,inflation
2017-12-01,2018-02-01,2018-01-01,0.027,inflation
2018-01-01,2018-03-01,2018-02-01,0.025,inflation
2018-02-01,2018-04-01,2018-03-01,0.023,inflation
2018-03-01,2018-05-01,2018-04-01,0.022,inflation
2018-04-01,2018-06-01,2018-05-01,0.023,inflation
2018-05-01,2018-07-01,2018-06-01,0.023,inflation
2018-06-01,2018-08-01,2018-07-01,0.023,inflation
2018-07-01,2018-09-01,2018-08-01,0.024,inflation
2018-08-01,2018-10-01,2018-09-01,0.022,inflation
2018-09-01,2018-11-01,2018-10-01,0.022,inflation
2018-10-01,2018-12-01,2018-11-01,0.022,inflation
2018-11-01,2019-01-01,2018-12-01,0.02,inflation
2018-12-01,2019-02-01,2019-01-01,0.018,inflation
2019-01-01,2019-03-01,2019-02-01,0.018,inflation
2019-02-01,2019-04-01,2019-03-01,0.018,inflation
2019-03-01,2019-05-01,2019-04-01,0.02,inflation
2019-04-01,2019-06-01,2019-05-01,0.019,inflation
2019-05-01,2019-07-01,2019-06-01,0.019,inflation
2019-06-01,2019-08-01,2019-07-01,0.02,inflation
2019-07-01,2019-09-01,2019-08-01,0.017,inflation
2019-08-01,2019-10-01,2019-09-01,0.017,inflation
2019-09-01,2019-11-01,2019-10-01,0.015,inflation
2019-10-01,2019-12-01,2019-11-01,0.015,inflation
2019-11-01,2020-01-01,2019-12-01,0.014,inflation
2019-12-01,2020-02-01,2020-01-01,0.018,inflation
2020-01-01,2020-03-01,2020-02-01,0.017,inflation
2020-02-01,2020-04-01,2020-03-01,0.015,inflation
2020-03-01,2020-05-01,2020-04-01,0.009,inflation
2020-04-01,2020-06-01,2020-05-01,0.007,inflation
2020-05-01,2020-07-01,2020-06-01,0.008,inflation
2020-06-01,2020-08-01,2020-07-01,0.011,inflation
2020-07-01,2020-09-01,2020-08-01,0.005,inflation
2020-08-01,2020-10-01,2020-09-01,0.007,inflation
2020-09-01,2020-11-01,2020-10-01,0.009,inflation
2020-10-01,2020-12-01,2020-11-01,0.006,inflation
2020-11-01,2021-01-01,2020-12-01,0.008,inflation
2020-12-01,2021-02-01,2021-01-01,0.009,inflation
2021-01-01,2021-03-01,2021-02-01,0.007,inflation
2021-02-01,2021-04-01,2021-03-01,0.01,inflation
2021-03-01,2021-05-01,2021-04-01,0.016,inflation
2021-04-01,2021-06-01,2021-05-01,0.021,inflation
2021-05-01,2021-07-01,2021-06-01,0.024,inflation
2021-06-01,2021-08-01,2021-07-01,0.021,inflation
2021-07-01,2021-09-01,2021-08-01,0.03,inflation
2021-08-01,2021-10-01,2021-09-01,0.029,inflation
2021-09-01,2021-11-01,2021-10-01,0.038,inflation
2021-10-01,2021-12-01,2021-11-01,0.046,inflation
2021-11-01,2022-01-01,2021-12-01,0.048,inflation
2021-12-01,2022-02-01,2022-01-01,0.049,inflation
2022-01-01,2022-03-01,2022-02-01,0.055,inflation
2022-02-01,2022-04-01,2022-03-01,0.062,inflation
2022-03-01,2022-05-01,2022-04-01,0.078,inflation
2022-04-01,2022-06-01,2022-05-01,0.079,inflation
2022-05-01,2022-07-01,2022-06-01,0.082,inflation
2022-06-01,2022-08-01,2022-07-01,0.088,inflation
2022-07-01,2022-09-01,2022-08-01,0.086,inflation
2022-08-01,2022-10-01,2022-09-01,0.088,inflation
2022-09-01,2022-11-01,2022-10-01,0.096,inflation
2022-10-01,2022-12-01,2022-11-01,0.093,inflation
2022-11-01,2023-01-01,2022-12-01,0.092,inflation
2022-12-01,2023-02-01,2023-01-01,0.088,inflation
2023-01-01,2023-03-01,2023-02-01,0.092,inflation
2023-02-01,2023-04-01,2023-03-01,0.089,inflation
2023-03-01,2023-05-01,2023-04-01,0.078,inflation
2023-04-01,2023-06-01,2023-05-01,0.079,inflation
2023-05-01,2023-07-01,2023-06-01,0.073,inflation
2023-06-01,2023-08-01,2023-07-01,0.064,inflation
2023-07-01,2023-09-01,2023-08-01,0.063,inflation
