LSOA21CD,LSOA21NM,LAD24CD,LAD24NM,imd_rank,imd_decile,population,rurality_score,pct_rural,dominant_ruc,urban_rural_flag,town,dist_to_centre_km,dist_to_coast_km,coastal
E01027834,Scarborough 014F,E06000065,North Yorkshire,21614,7,1482,80.0,100.0,Larger rural: Further from a major town or city,Rural,Scarborough,12.050969957337356,2.6794164631597437,Coastal (≤5 km)
E01027835,Scarborough 014G,E06000065,North Yorkshire,12274,4,1696,88.0,100.0,Larger rural: Further from a major town or city,Rural,Scarborough,9.347911947830362,5.117995577538773,Inland
E01027836,Scarborough 004E,E06000065,North Yorkshire,22758,7,2139,97.14285714285714,100.0,Smaller rural: Further from a major town or city,Rural,Scarborough,7.624766297606292,1.914748265359737,Coastal (≤5 km)
E01027837,Scarborough 001A,E06000065,North Yorkshire,4717,2,1247,20.0,0.0,Urban: Further from a major town or city,Urban,Scarborough,27.302975743811697,1.0342633078520804,Coastal (≤5 km)
E01027838,Scarborough 003A,E06000065,North Yorkshire,26821,8,1587,20.0,0.0,Urban: Further from a major town or city,Urban,Scarborough,26.736105627917716,0.7383979359448629,Coastal (≤5 km)
E01027839,Scarborough 001B,E06000065,North Yorkshire,20282,7,2124,20.0,0.0,Urban: Further from a major town or city,Urban,Scarborough,27.848310339256372,1.1682199316598827,Coastal (≤5 km)
E01027840,Scarborough 002C,E06000065,North Yorkshire,7335,3,1924,97.5,100.0,Smaller rural: Further from a major town or city,Rural,Scarborough,37.961962698245365,3.8256338919287587,Coastal (≤5 km)
E01027841,Scarborough 002D,E06000065,North Yorkshire,13496,4,1295,100.0,100.0,Smaller rural: Further from a major town or city,Rural,Scarborough,31.85577894437547,3.368732390519812,Coastal (≤5 km)
E01027842,Scarborough 005A,E06000065,North Yorkshire,15682,5,1613,20.0,0.0,Urban: Further from a major town or city,Urban,Scarborough,2.5631756070284117,1.5813963206498767,Coastal (≤5 km)
E01027843,Scarborough 005B,E06000065,North Yorkshire,13479,4,1512,20.0,0.0,Urban: Further from a major town or city,Urban,Scarborough,2.9800000092663907,2.2927195301074796,Coastal (≤5 km)
E01027844,Scarborough 005C,E06000065,North Yorkshire,28774,9,1589,20.0,0.0,Urban: Further from a major town or city,Urban,Scarborough,2.8216393407588924,2.4026354239415206,Coastal (≤5 km)
E01027845,Scarborough 005D,E06000065,North Yorkshire,26027,8,1695,20.0,0.0,Urban: Further from a major town or city,Urban,Scarborough,2.6054644333301376,1.0634828162812457,Coastal (≤5 km)
E01027847,Scarborough 006D,E06000065,North Yorkshire,659,1,1882,20.0,0.0,Urban: Further from a major town or city,Urban,Scarborough,1.1393121648960194,0.4255533471533535,Coastal (≤5 km)
E01027849,Scarborough 007A,E06000065,North Yorkshire,19064,6,1157,20.0,0.0,Urban: Further from a major town or city,Urban,Scarborough,1.5857643997878572,0.5492301773582106,Coastal (≤5 km)
E01027850,Scarborough 007B,E06000065,North Yorkshire,4829,2,1324,20.0,0.0,Urban: Further from a major town or city,Urban,Scarborough,1.617238367755075,0.9728348745873302,Coastal (≤5 km)
E01027851,Scarborough 008D,E06000065,North Yorkshire,15185,5,1413,20.0,0.0,Urban: Further from a major town or city,Urban,Scarborough,1.1052242095273843,1.0160897588413664,Coastal (≤5 km)
E01027852,Scarborough 010B,E06000065,North Yorkshire,5284,2,1521,20.0,0.0,Urban: Further from a major town or city,Urban,Scarborough,0.42451732816529897,0.5189298255309232,Coastal (≤5 km)
E01027853,Scarborough 010C,E06000065,North Yorkshire,8865,3,1112,20.0,0.0,Urban: Further from a major town or city,Urban,Scarborough,0.7924947094516027,0.9152581983309611,Coastal (≤5 km)
E01027854,Scarborough 010D,E06000065,North Yorkshire,5785,2,1351,20.0,0.0,Urban: Further from a major town or city,Urban,Scarborough,0.25784008185298835,0.27633773024740377,Coastal (≤5 km)
E01027855,Scarborough 005E,E06000065,North Yorkshire,25141,8,1965,20.0,0.0,Urban: Further from a major town or city,Urban,Scarborough,3.7423619234708303,1.2370306847124657,Coastal (≤5 km)
E01027856,Scarborough 005F,E06000065,North Yorkshire,23710,8,1183,20.0,0.0,Urban: Further from a major town or city,Urban,Scarborough,3.697064511334409,2.686248679003468,Coastal (≤5 km)
E01027857,Scarborough 004F,E06000065,North Yorkshire,15642,5,1268,68.0,60.0,Smaller rural: Further from a major town or city,Rural,Scarborough,10.40799580567055,6.47921419574011,Inland
E01027858,Scarborough 012D,E06000065,North Yorkshire,25771,8,1296,20.0,0.0,Urban: Further from a major town or city,Urban,Scarborough,3.984290661833923,3.2287346557573104,Coastal (≤5 km)
E01027859,Scarborough 013D,E06000065,North Yorkshire,24641,8,1800,72.0,80.0,Larger rural: Further from a major town or city,Rural,Scarborough,5.0759093336652885,4.745510016353436,Coastal (≤5 km)
E01027860,Scarborough 012E,E06000065,North Yorkshire,21005,7,1618,50.0,50.0,Larger rural: Further from a major town or city,Urban,Scarborough,3.59303826698724,3.4896240002082286,Coastal (≤5 km)
E01027861,Scarborough 009D,E06000065,North Yorkshire,9261,3,1335,20.0,0.0,Urban: Further from a major town or city,Urban,Scarborough,1.1089598181022124,1.5593774508859526,Coastal (≤5 km)
E01027862,Scarborough 008E,E06000065,North Yorkshire,8167,3,1578,20.0,0.0,Urban: Further from a major town or city,Urban,Scarborough,0.7352110261953059,1.202550382132424,Coastal (≤5 km)
E01027863,Scarborough 009E,E06000065,North Yorkshire,27195,9,1341,20.0,0.0,Urban: Further from a major town or city,Urban,Scarborough,1.4867955693944817,1.8840012943356135,Coastal (≤5 km)
E01027864,Scarborough 003B,E06000065,North Yorkshire,4182,2,1421,20.0,0.0,Urban: Further from a major town or city,Urban,Scarborough,26.196130152301954,0.4022859537586944,Coastal (≤5 km)
E01027865,Scarborough 003C,E06000065,North Yorkshire,6386,2,1063,20.0,0.0,Urban: Further from a major town or city,Urban,Scarborough,26.714413314210233,0.08977771696418263,Coastal (≤5 km)
E01027866,Scarborough 003D,E06000065,North Yorkshire,13675,5,2053,20.0,0.0,Urban: Further from a major town or city,Urban,Scarborough,25.429726590944504,0.5135942233101252,Coastal (≤5 km)
