district,LAD25CD,LAD25NM,msa_name
CO2,E07000071,Colchester,Greater Essex
OX28,E07000181,,
NN2,E06000062,,
SE13,E09000023,,
WS7,E07000194,,
CO1,E07000071,Colchester,Greater Essex
E11,E09000031,,
DN1,E08000017,Doncaster,South Yorkshire
OL8,E08000004,Oldham,Greater Manchester
PR9,E08000014,Sefton,Liverpool City Region
EX20,E07000047,West Devon,Devon and Torbay
LS7,E08000035,Leeds,West Yorkshire
GL52,E07000078,,
BS19,E06000024,,
NN5,E06000062,,
NN12,E06000062,,
BN25,E07000063,Lewes,Sussex & Brighton
NN9,E06000061,,
UB1,E09000009,,
EX32,E07000043,North Devon,Devon and Torbay
YO16,E06000011,East Riding of Yorkshire,Hull & East Yorkshire
RG41,E06000041,,
N15,E09000014,,
CA2,E06000063,Cumberland,Cumbria
TA24,E06000066,,
RG26,E07000084,Basingstoke and Deane,Hampshire & Solent
CR8,E09000008,,
BD13,E08000032,Bradford,West Yorkshire
BD22,E08000032,Bradford,West Yorkshire
HP4,E07000096,,
SP11,E07000093,Test Valley,Hampshire & Solent
RG3,E06000038,,
SW7,E09000020,,
PE15,E07000010,Fenland,Cambridgeshire & Peterborough
OX18,E07000181,,
RH20,E07000227,Horsham,Sussex & Brighton
M31,E08000009,Trafford,Greater Manchester
ST13,E07000198,,
CA5,E06000063,Cumberland,Cumbria
IP4,E07000202,Ipswich,Norfolk & Suffolk
LE9,E07000129,,
FY5,E07000128,Wyre,Lancashire
EN6,E07000098,,
TA4,E06000066,,
SR3,E08000024,Sunderland,North East
IG8,E09000026,,
EN11,E07000095,,
BA3,E06000022,Bath and North East Somerset,West of England
LA12,E06000064,Westmorland and Furness,Cumbria
B13,E08000025,Birmingham,West Midlands
E10,E09000031,,
SO31,E07000087,Fareham,Hampshire & Solent
W14,E09000013,,
SO3,E07000086,Eastleigh,Hampshire & Solent
DL10,E06000065,North Yorkshire,York & North Yorkshire
CM8,E07000067,Braintree,Greater Essex
DN17,E06000013,North Lincolnshire,Greater Lincolnshire
IP13,E07000244,East Suffolk,Norfolk & Suffolk
CH41,E08000015,Wirral,Liverpool City Region
OL10,E08000005,Rochdale,Greater Manchester
PL6,E06000026,,
DE22,E06000015,Derby,East Midlands
B32,E08000025,Birmingham,West Midlands
BS8,E06000023,"Bristol, City of",West of England
NG12,E07000176,Rushcliffe,East Midlands
