GSScode,winner_2019,rqf4_rate,activity_rate,employment_rate,activity_rate_quintile,employment_rate_quintile,rqf4_rate_quintile
E14001223,Con,67.9,84.3,82.5,Highest Quintile,Highest Quintile,Highest Quintile
E14001224,Con,44.8,85.5,85.1,Highest Quintile,Highest Quintile,Third Quintile
E14001225,Lab,43.7,67.1,67.1,Lowest Quintile,Lowest Quintile,Third Quintile
E14001226,Con,58.8,80.5,79.7,Third Quintile,Fourth Quintile,Highest Quintile
E14001227,Con,57.7,91.6,90.5,Highest Quintile,Highest Quintile,Fourth Quintile
E14001228,Con,42.2,83.3,80.3,Fourth Quintile,Fourth Quintile,Second Quintile
E14001229,Lab,51.3,82.0,76.7,Fourth Quintile,Third Quintile,Fourth Quintile
E14001230,Con,68.4,77.4,76.7,Second Quintile,Third Quintile,Highest Quintile
E14001402,Con,59.3,81.8,74.6,Fourth Quintile,Second Quintile,Highest Quintile
E14001231,Lab,37.7,76.6,74.1,Second Quintile,Second Quintile,Second Quintile
E14001232,Con,49.2,85.1,83.5,Highest Quintile,Highest Quintile,Fourth Quintile
S14000083,SNP,41.4,72.6,70.3,Lowest Quintile,Second Quintile,Second Quintile
E14001233,Con,31.2,77.4,74.6,Second Quintile,Second Quintile,Lowest Quintile
E14001234,Con,54.7,81.4,81.4,Fourth Quintile,Fourth Quintile,Fourth Quintile
E14001235,Con,52.8,66.5,66.5,Lowest Quintile,Lowest Quintile,Fourth Quintile
E14001236,Lab,51.2,80.3,80.3,Third Quintile,Fourth Quintile,Fourth Quintile
N05000007,SF,,,,,,
S14000100,SNP,57.6,77.9,75.2,Third Quintile,Third Quintile,Fourth Quintile
E14001237,Con,56.8,90.9,88.2,Highest Quintile,Highest Quintile,Fourth Quintile
E14001238,Con,77.4,84.6,84.6,Highest Quintile,Highest Quintile,Highest Quintile
E14001239,Con,45.3,79.0,63.9,Third Quintile,Lowest Quintile,Third Quintile
E14001240,Con,49.0,83.8,83.1,Fourth Quintile,Highest Quintile,Fourth Quintile
N05000008,SDLP,,,,,,
E14001241,Con,45.7,79.5,77.5,Third Quintile,Third Quintile,Third Quintile
E14001242,Con,51.5,73.0,73.0,Lowest Quintile,Second Quintile,Fourth Quintile
E14001243,Con,24.7,72.2,61.7,Lowest Quintile,Lowest Quintile,Lowest Quintile
E14001244,Lab,51.5,82.2,81.4,Fourth Quintile,Fourth Quintile,Fourth Quintile
E14001245,Con,49.0,78.0,75.9,Third Quintile,Third Quintile,Fourth Quintile
E14001246,Con,33.0,78.9,75.7,Third Quintile,Third Quintile,Lowest Quintile
S14000084,SNP,51.7,70.5,65.0,Lowest Quintile,Lowest Quintile,Fourth Quintile
S14000085,SNP,69.8,77.3,75.6,Second Quintile,Third Quintile,Highest Quintile
S14000086,SNP,47.1,66.1,66.1,Lowest Quintile,Lowest Quintile,Third Quintile
S14000087,SNP,68.6,82.4,78.7,Fourth Quintile,Fourth Quintile,Highest Quintile
S14000088,SNP,36.3,81.5,79.8,Fourth Quintile,Fourth Quintile,Second Quintile
S14000089,SNP,59.5,72.7,65.4,Lowest Quintile,Lowest Quintile,Highest Quintile
E14001247,Con,30.5,84.3,81.2,Highest Quintile,Fourth Quintile,Lowest Quintile
S14000090,SNP,37.0,70.3,67.7,Lowest Quintile,Lowest Quintile,Second Quintile
E14001248,Con,44.5,89.8,85.9,Highest Quintile,Highest Quintile,Third Quintile
E14001249,Con,60.1,78.0,78.0,Third Quintile,Third Quintile,Highest Quintile
E14001250,Con,45.5,85.5,84.7,Highest Quintile,Highest Quintile,Third Quintile
S14000091,Con,52.8,87.0,84.6,Highest Quintile,Highest Quintile,Fourth Quintile
E14001251,Lab,49.4,68.2,66.1,Lowest Quintile,Lowest Quintile,Fourth Quintile
E14001252,Con,33.3,84.7,83.8,Highest Quintile,Highest Quintile,Lowest Quintile
W07000097,Lab,51.0,79.2,77.2,Third Quintile,Third Quintile,Fourth Quintile
E14001253,Con,29.7,71.4,64.8,Lowest Quintile,Lowest Quintile,Lowest Quintile
E14001254,Con,41.1,87.0,85.6,Highest Quintile,Highest Quintile,Second Quintile
E14001255,Con,20.2,76.0,72.1,Second Quintile,Second Quintile,Lowest Quintile
E14001256,Con,19.5,70.7,67.9,Lowest Quintile,Lowest Quintile,Lowest Quintile
E14001257,Lab,72.7,90.1,87.8,Highest Quintile,Highest Quintile,Highest Quintile
E14001258,Con,62.2,84.6,82.6,Highest Quintile,Highest Quintile,Highest Quintile
E14001259,Lab,72.0,79.3,67.6,Third Quintile,Lowest Quintile,Highest Quintile
E14001260,Lab,68.8,87.8,86.1,Highest Quintile,Highest Quintile,Highest Quintile
E14001261,Con,39.2,86.6,85.4,Highest Quintile,Highest Quintile,Second Quintile
E14001262,Lab,39.7,77.4,76.5,Second Quintile,Third Quintile,Second Quintile
E14001263,Con,50.8,89.0,81.8,Highest Quintile,Fourth Quintile,Fourth Quintile
S14000092,SNP,45.0,72.1,72.1,Lowest Quintile,Second Quintile,Third Quintile
E14001264,Lab,81.3,78.6,76.3,Third Quintile,Third Quintile,Highest Quintile
E14001214,Con,67.4,85.4,82.4,Highest Quintile,Highest Quintile,Highest Quintile
E14001392,Con,54.2,88.2,83.1,Highest Quintile,Highest Quintile,Fourth Quintile
E14001403,Con,46.0,86.4,86.4,Highest Quintile,Highest Quintile,Third Quintile
E14001265,Lab,77.8,74.9,73.5,Second Quintile,Second Quintile,Highest Quintile
E14001266,Con,45.2,84.7,81.6,Highest Quintile,Fourth Quintile,Third Quintile
E14001267,Con,27.7,74.9,66.6,Second Quintile,Lowest Quintile,Lowest Quintile
E14001268,Con,46.7,81.7,72.9,Fourth Quintile,Second Quintile,Third Quintile
E14001269,Con,45.9,81.8,81.1,Fourth Quintile,Fourth Quintile,Third Quintile
E14001270,Con,59.3,75.5,74.3,Second Quintile,Second Quintile,Highest Quintile
E14001271,Lab,50.4,85.0,73.4,Highest Quintile,Second Quintile,Fourth Quintile
E14001272,Lab,36.6,70.3,67.9,Lowest Quintile,Lowest Quintile,Second Quintile
E14001273,Con,38.5,71.5,71.5,Lowest Quintile,Second Quintile,Second Quintile
E14001274,Con,41.3,81.2,78.2,Fourth Quintile,Third Quintile,Second Quintile
E14001275,Con,32.4,67.5,66.1,Lowest Quintile,Lowest Quintile,Lowest Quintile
E14001276,Lab,48.8,64.1,59.4,Lowest Quintile,Lowest Quintile,Fourth Quintile
E14001277,Con,51.8,83.0,78.2,Fourth Quintile,Third Quintile,Fourth Quintile
E14001278,Con,43.9,79.8,78.1,Third Quintile,Third Quintile,Third Quintile
E14001279,Con,38.2,68.5,65.3,Lowest Quintile,Lowest Quintile,Second Quintile
E14001280,Con,59.1,85.7,84.2,Highest Quintile,Highest Quintile,Highest Quintile
E14001281,Con,41.0,79.6,77.9,Third Quintile,Third Quintile,Second Quintile
E14001395,Con,46.0,83.5,82.9,Fourth Quintile,Highest Quintile,Third Quintile
E14001282,Con,37.1,75.5,72.8,Second Quintile,Second Quintile,Second Quintile
E14001283,Con,56.7,82.4,78.0,Fourth Quintile,Third Quintile,Fourth Quintile
E14001393,Con,42.9,87.7,81.1,Highest Quintile,Fourth Quintile,Third Quintile
E14001496,Con,77.4,80.4,75.5,Third Quintile,Third Quintile,Highest Quintile
