name,forecasts,previousWinner,change,code
Foyle,,,,N05000008
West Tyrone,,,,N05000018
Fermanagh and South Tyrone,,,,N05000007
East Londonderry,,,,N05000006
Mid Ulster,,,,N05000010
Upper Bann,,,,N05000017
Newry and Armagh,,,,N05000011
North Antrim,,,,N05000012
South Antrim,,,,N05000014
Lagan Valley,,,,N05000009
East Antrim,,,,N05000005
Belfast West,,,,N05000004
Belfast South and Mid Down,,,,N05000003
South Down,,,,N05000015
Belfast North,,,,N05000002
Belfast East,,,,N05000001
Strangford,,,,N05000016
North Down,,,,N05000013
