typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,484,MEX,Mexico,0,W00,World,H4,HS,True,845020,"Washing machines; household or laundry-type, of a dry linen capacity exceeding 10kg",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,338817.0,False,5,u,338817.0,False,23991646.384,True,0.0,False,169828790.0,,169828790.0,4,True,False
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,528,NLD,Netherlands,0,W00,World,H4,HS,True,845020,"Washing machines; household or laundry-type, of a dry linen capacity exceeding 10kg",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,76.0,False,5,u,76.0,False,1068.846,True,0.0,False,7566.0,,7566.0,4,True,False
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,704,VNM,Viet Nam,0,W00,World,H4,HS,True,845020,"Washing machines; household or laundry-type, of a dry linen capacity exceeding 10kg",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,497355.0,False,5,u,497355.0,False,26440387.33,True,0.0,False,187162603.0,,187162603.0,4,True,False
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,705,SVN,Slovenia,0,W00,World,H4,HS,True,845020,"Washing machines; household or laundry-type, of a dry linen capacity exceeding 10kg",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,185.0,False,5,u,185.0,False,20746.854,True,0.0,False,146860.0,,146860.0,4,True,False
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,724,ESP,Spain,0,W00,World,H4,HS,True,845020,"Washing machines; household or laundry-type, of a dry linen capacity exceeding 10kg",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,5959.0,False,5,u,5959.0,False,2271648.193,True,0.0,False,16080233.0,,16080233.0,4,True,False
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,752,SWE,Sweden,0,W00,World,H4,HS,True,845020,"Washing machines; household or laundry-type, of a dry linen capacity exceeding 10kg",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,5325.0,False,5,u,5325.0,False,3015455.841,True,0.0,False,21345397.0,,21345397.0,4,True,False
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,764,THA,Thailand,0,W00,World,H4,HS,True,845020,"Washing machines; household or laundry-type, of a dry linen capacity exceeding 10kg",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,382340.0,False,5,u,382340.0,False,19785341.864,True,0.0,False,140053776.0,,140053776.0,4,True,False
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,792,TUR,Türkiye,0,W00,World,H4,HS,True,845020,"Washing machines; household or laundry-type, of a dry linen capacity exceeding 10kg",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,109.0,False,5,u,109.0,False,56325.887,True,0.0,False,398712.0,,398712.0,4,True,False
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,826,GBR,United Kingdom,0,W00,World,H4,HS,True,845020,"Washing machines; household or laundry-type, of a dry linen capacity exceeding 10kg",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,33.0,False,5,u,33.0,False,85340.404,True,0.0,False,604096.0,,604096.0,4,True,False
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,0,W00,World,0,W00,World,H4,HS,True,845090,Washing machines; parts for household or laundry-type,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7830912.981,True,-1,N/A,0.0,False,7830912.981,True,0.0,False,79472378.0,,79472378.0,6,False,True
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,40,AUT,Austria,0,W00,World,H4,HS,True,845090,Washing machines; parts for household or laundry-type,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,8644.391,True,-1,N/A,0.0,False,8644.391,True,0.0,False,87728.0,,87728.0,6,True,False
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,56,BEL,Belgium,0,W00,World,H4,HS,True,845090,Washing machines; parts for household or laundry-type,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,185269.896,True,-1,N/A,0.0,False,185269.896,True,0.0,False,1880220.0,,1880220.0,6,True,False
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,76,BRA,Brazil,0,W00,World,H4,HS,True,845090,Washing machines; parts for household or laundry-type,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,803.071,True,-1,N/A,0.0,False,803.071,True,0.0,False,8150.0,,8150.0,6,True,False
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,124,CAN,Canada,0,W00,World,H4,HS,True,845090,Washing machines; parts for household or laundry-type,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,44952.549,True,-1,N/A,0.0,False,44952.549,True,0.0,False,456203.0,,456203.0,6,True,False
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H4,HS,True,845090,Washing machines; parts for household or laundry-type,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2140705.842,True,-1,N/A,0.0,False,2140705.842,True,0.0,False,21725051.0,,21725051.0,6,True,False
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,170,COL,Colombia,0,W00,World,H4,HS,True,845090,Washing machines; parts for household or laundry-type,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2292.939,True,-1,N/A,0.0,False,2292.939,True,0.0,False,23270.0,,23270.0,6,True,False
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,196,CYP,Cyprus,0,W00,World,H4,HS,True,845090,Washing machines; parts for household or laundry-type,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1022.61,True,-1,N/A,0.0,False,1022.61,True,0.0,False,10378.0,,10378.0,6,True,False
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,203,CZE,Czechia,0,W00,World,H4,HS,True,845090,Washing machines; parts for household or laundry-type,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,42991.874,True,-1,N/A,0.0,False,42991.874,True,0.0,False,436305.0,,436305.0,6,True,False
