Date,Value,Series,Date Label
2022-10-01,2465,Long Term Sick,2022 Q4
2023-01-01,2550,Long Term Sick,2023 Q1
2023-04-01,2576,Long Term Sick,2023 Q2
1993-04-01,165,Discouraged workers,1993 Q2
1993-07-01,166,Discouraged workers,1993 Q3
1993-10-01,164,Discouraged workers,1993 Q4
1994-01-01,169,Discouraged workers,1994 Q1
1994-04-01,146,Discouraged workers,1994 Q2
1994-07-01,155,Discouraged workers,1994 Q3
1994-10-01,147,Discouraged workers,1994 Q4
1995-01-01,133,Discouraged workers,1995 Q1
1995-04-01,128,Discouraged workers,1995 Q2
1995-07-01,128,Discouraged workers,1995 Q3
1995-10-01,115,Discouraged workers,1995 Q4
1996-01-01,119,Discouraged workers,1996 Q1
1996-04-01,119,Discouraged workers,1996 Q2
1996-07-01,109,Discouraged workers,1996 Q3
1996-10-01,115,Discouraged workers,1996 Q4
1997-01-01,107,Discouraged workers,1997 Q1
1997-04-01,106,Discouraged workers,1997 Q2
1997-07-01,79,Discouraged workers,1997 Q3
1997-10-01,87,Discouraged workers,1997 Q4
1998-01-01,94,Discouraged workers,1998 Q1
1998-04-01,85,Discouraged workers,1998 Q2
1998-07-01,77,Discouraged workers,1998 Q3
1998-10-01,77,Discouraged workers,1998 Q4
1999-01-01,88,Discouraged workers,1999 Q1
1999-04-01,76,Discouraged workers,1999 Q2
1999-07-01,78,Discouraged workers,1999 Q3
1999-10-01,76,Discouraged workers,1999 Q4
2000-01-01,80,Discouraged workers,2000 Q1
2000-04-01,85,Discouraged workers,2000 Q2
2000-07-01,59,Discouraged workers,2000 Q3
2000-10-01,51,Discouraged workers,2000 Q4
2001-01-01,49,Discouraged workers,2001 Q1
2001-04-01,37,Discouraged workers,2001 Q2
2001-07-01,35,Discouraged workers,2001 Q3
2001-10-01,43,Discouraged workers,2001 Q4
2002-01-01,49,Discouraged workers,2002 Q1
2002-04-01,40,Discouraged workers,2002 Q2
2002-07-01,39,Discouraged workers,2002 Q3
2002-10-01,45,Discouraged workers,2002 Q4
2003-01-01,45,Discouraged workers,2003 Q1
2003-04-01,45,Discouraged workers,2003 Q2
2003-07-01,38,Discouraged workers,2003 Q3
2003-10-01,39,Discouraged workers,2003 Q4
2004-01-01,40,Discouraged workers,2004 Q1
2004-04-01,39,Discouraged workers,2004 Q2
2004-07-01,35,Discouraged workers,2004 Q3
2004-10-01,34,Discouraged workers,2004 Q4
2005-01-01,49,Discouraged workers,2005 Q1
2005-04-01,36,Discouraged workers,2005 Q2
2005-07-01,34,Discouraged workers,2005 Q3
2005-10-01,45,Discouraged workers,2005 Q4
2006-01-01,38,Discouraged workers,2006 Q1
2006-04-01,38,Discouraged workers,2006 Q2
2006-07-01,43,Discouraged workers,2006 Q3
2006-10-01,46,Discouraged workers,2006 Q4
