Code,Name,Borrowing,Assets,Population,Income,DebtToAssets,DebtToAssetsRank,DebtToPop,DebtToIncome,PopulationChange,Country,lad
E4304,Sefton,123488,41110,,,3.003843347,179,,,,E,E08000014
E0306,Wokingham,197005,66471,,,2.963773676,180,,,,E,E06000041
E3902,Wiltshire,391597,132486,,,2.955761363,181,,,,E,E06000054
E0801,Cornwall,1166655,397592,,,2.934301998,182,,,,E,E06000052
E1732,East Hampshire,118680,40450,,,2.933992583,183,,,,E,E07000085
S8201,Dumfries & Galloway,169177,58300,,,2.901835334,185,,,,S,S12000006
W7602,Vale of Glamorgan,145299,50495,,,2.877492821,186,,,,W,W06000014
E1932,Dacorum,337446,119178,,,2.831445401,187,,,,E,E07000096
W7702,Swansea,660913,234100,,,2.823208031,188,,,,W,W06000011
E1501,Southend-on-Sea,355460,127618,,,2.78534376,190,,,,E,E06000033
E3033,Broxtowe,90741,32716,,,2.773597017,191,,,,E,E07000172
E1401,Brighton & Hove,374800,135155,,,2.773112352,192,,,,E,E06000043
E1740,Rushmoor,162000,58993,,,2.746088519,193,,,,E,E07000092
E4505,Sunderland,557604,204518,,,2.726429947,194,,,,E,E08000024
E2001,East Riding of Yorkshire,404079,163466,,,2.471945236,198,,,,E,E06000011
W7101,Ceredigion,106353,43541,,,2.442594336,200,,,,W,W06000008
E3633,Guildford,286826,117719,,,2.436531061,201,,,,E,E07000209
E2333,Burnley,59025,24337,,,2.425319472,202,,,,E,E07000117
W7102,Carmarthenshire,412279,170500,,,2.418058651,203,,,,W,W06000010
E4606,Walsall,230389,95593,,,2.41010325,204,,,,E,E08000030
E1132,Exeter,165208,68632,,,2.407157011,205,,,,E,E07000041
S8706,East Renfrewshire,127250,53180,,,2.392816848,206,,,,S,S12000011
E5043,Kingston upon Thames,280551,118297,,,2.371581697,208,,,,E,E09000021
E0704,Stockton-on-Tees,101631,42966,,,2.36538193,209,,,,E,E06000004
E4206,Salford,367800,157275,,,2.338578922,211,,,,E,E08000006
E1032,Bolsover,90911,39000,,,2.331051282,212,,,,E,E07000033
E1037,High Peak,63777,27850,,,2.290017953,213,,,,E,E07000037
E1435,Lewes,47673,21116,,,2.257671908,215,,,,E,E07000063
E5046,Redbridge,344203,155000,,,2.220664516,216,,,,E,E09000026
E3834,Crawley,249325,115155,,,2.165125266,218,,,,E,E07000226
E1738,New Forest,118204,55957,,,2.112407742,219,,,,E,E07000091
E3639,Tandridge,99415,47875,,,2.076553525,220,,,,E,E07000215
E2801,North Northamptonshire,436474,210299,,,2.075492513,221,,,,E,E06000061
W7402,Caerphilly,310077,149977,,,2.067497016,222,,,,W,W06000018
E1701,Portsmouth,705655,353487,,,1.996268604,226,,,,E,E06000044
E4702,Calderdale,129690,66300,,,1.956108597,227,,,,E,E08000033
